"geneId"	"seqnames"	"start"	"end"	"geneStrand"	"annotation"	"group"	"gene_name"
"ENSMUSG00000089761.3"	"chr14"	51392411	51392543	1	"Intron (ENSMUST00000162998.1/ENSMUSG00000068399.5, intron 3 of 6)"	"sidd"	"Vmn2r-ps111"
"ENSMUSG00000089762.3"	"chr2"	30472552	30472683	2	"Promoter (1-2kb)"	"sidd"	"Ier5l"
"ENSMUSG00000089773.7"	"chr4"	112029751	112029861	1	"Downstream (<=300bp)"	"sidd"	"Skint1"
"ENSMUSG00000089776.1"	"chr8"	120053702	120053818	2	"Intron (ENSMUST00000127664.1/ENSMUSG00000092329.1, intron 1 of 15)"	"sidd"	"Gm15684"
"ENSMUSG00000089782.1"	"chr1"	97947789	97947912	2	"Promoter (1-2kb)"	"sidd"	"Gm3531"
"ENSMUSG00000089792.3"	"chr6"	131574660	131574847	1	"Distal Intergenic"	"sidd"	"Gm16571"
"ENSMUSG00000089795.1"	"chr14"	9837356	9837494	1	"Intron (ENSMUST00000161302.7/ENSMUSG00000060579.13, intron 4 of 6)"	"sidd"	"Hmgb3-ps"
"ENSMUSG00000089804.2"	"chr15"	37233452	37233588	2	"Promoter (<=1kb)"	"sidd"	"Gm16136"
"ENSMUSG00000089819.1"	"chr8"	99004664	99004796	1	"Distal Intergenic"	"sidd"	"Gm15679"
"ENSMUSG00000089822.1"	"chr1"	58324169	58324305	2	"Intron (ENSMUST00000114366.2/ENSMUSG00000079554.2, intron 20 of 35)"	"sidd"	"Gm15759"
"ENSMUSG00000089833.2"	"chr14"	10745374	10745510	1	"Intron (ENSMUST00000226067.1/ENSMUSG00000089833.2, intron 1 of 3)"	"sidd"	"Fhitos"
"ENSMUSG00000089866.1"	"chr1"	105004668	105004814	2	"Distal Intergenic"	"sidd"	"Gm15699"
"ENSMUSG00000089871.1"	"chr5"	15681565	15681738	1	"Promoter (<=1kb)"	"sidd"	"Speer4cos"
"ENSMUSG00000089872.10"	"chr1"	190843672	190843846	2	"Promoter (<=1kb)"	"sidd"	"Rps6kc1"
"ENSMUSG00000089874.1"	"chr16"	22517624	22517731	1	"Exon (ENSMUST00000159309.1/ENSMUSG00000089874.1, exon 2 of 2)"	"sidd"	"9230117E06Rik"
"ENSMUSG00000089877.1"	"chr1"	44609229	44609344	1	"Intron (ENSMUST00000074525.9/ENSMUSG00000056870.9, intron 1 of 10)"	"sidd"	"Gm16102"
"ENSMUSG00000089885.2"	"chr18"	89476809	89476925	2	"Intron (ENSMUST00000097495.4/ENSMUSG00000073514.4, intron 4 of 7)"	"sidd"	"Gm16296"
"ENSMUSG00000089924.1"	"chr3"	141632490	141632624	2	"Intron (ENSMUST00000106236.8/ENSMUSG00000059921.15, intron 1 of 15)"	"sidd"	"Gm15689"
"ENSMUSG00000089934.1"	"chr10"	114610691	114610845	1	"Intron (ENSMUST00000061632.8/ENSMUSG00000050663.8, intron 3 of 18)"	"sidd"	"4930473D10Rik"
"ENSMUSG00000089937.1"	"chr1"	85345229	85345351	2	"Distal Intergenic"	"sidd"	"Gm7281"
"ENSMUSG00000089941.1"	"chr17"	10481989	10482124	1	"Intron (ENSMUST00000159602.2/ENSMUSG00000089633.2, intron 1 of 1)"	"sidd"	"Gm16168"
"ENSMUSG00000089948.1"	"chr6"	148060066	148060208	2	"Intron (ENSMUST00000032443.13/ENSMUSG00000030303.15, intron 1 of 11)"	"sidd"	"Far2os1"
"ENSMUSG00000089963.3"	"chrX"	38096573	38096709	1	"Distal Intergenic"	"sidd"	"Rhox11-ps3"
"ENSMUSG00000089964.1"	"chr1"	74847715	74847798	1	"Distal Intergenic"	"sidd"	"Gm16582"
"ENSMUSG00000089965.1"	"chr1"	70909909	70910141	2	"Distal Intergenic"	"sidd"	"Gm16236"
"ENSMUSG00000089975.2"	"chr5"	29219200	29219426	1	"Promoter (1-2kb)"	"sidd"	"Gm7420"
"ENSMUSG00000089982.7"	"chr1"	16277465	16277597	1	"Intron (ENSMUST00000162751.7/ENSMUSG00000025920.19, intron 12 of 13)"	"sidd"	"Gm7568"
"ENSMUSG00000089984.7"	"chr5"	137624610	137624725	2	"Promoter (<=1kb)"	"sidd"	"Fbxo24"
"ENSMUSG00000089991.2"	"chr1"	139936124	139936262	2	"Promoter (<=1kb)"	"sidd"	"Gm16332"
"ENSMUSG00000089992.3"	"chr5"	61777932	61778136	1	"Distal Intergenic"	"sidd"	"G6pd2"
"ENSMUSG00000090006.1"	"chr5"	99523712	99523925	2	"Intron (ENSMUST00000209346.1/ENSMUSG00000089809.9, intron 3 of 16)"	"sidd"	"Gm16227"
"ENSMUSG00000090012.1"	"chr17"	49850359	49850472	2	"Intron (ENSMUST00000162854.1/ENSMUSG00000023999.14, intron 15 of 22)"	"sidd"	"Gm16555"
"ENSMUSG00000090015.8"	"chr5"	109933513	109933664	1	"Promoter (<=1kb)"	"sidd"	"Gm15446"
"ENSMUSG00000090043.1"	"chr8"	85861344	85861503	2	"Intron (ENSMUST00000159716.7/ENSMUSG00000036879.15, intron 2 of 4)"	"sidd"	"Gm16167"
"ENSMUSG00000090048.1"	"chr17"	44483615	44483756	1	"Distal Intergenic"	"sidd"	"Runx2os3"
"ENSMUSG00000090061.9"	"chr5"	63231430	63231673	1	"Distal Intergenic"	"sidd"	"Nwd2"
"ENSMUSG00000090066.2"	"chr3"	138075615	138075806	1	"Intron (ENSMUST00000163080.2/ENSMUSG00000090066.2, intron 1 of 1)"	"sidd"	"1110002E22Rik"
"ENSMUSG00000090084.7"	"chrX"	10077597	10077743	2	"Intron (ENSMUST00000044789.9/ENSMUSG00000090084.7, intron 1 of 9)"	"sidd"	"Srpx"
"ENSMUSG00000090095.1"	"chr3"	152791204	152791361	2	"Intron (ENSMUST00000162642.7/ENSMUSG00000039047.17, intron 10 of 13)"	"sidd"	"Rpl29-ps1"
"ENSMUSG00000090104.1"	"chr14"	26385988	26386181	1	"Intron (ENSMUST00000059648.9/ENSMUSG00000021874.12, intron 4 of 7)"	"sidd"	"Slmapos2"
"ENSMUSG00000090112.8"	"chr10"	11128376	11128579	1	"Distal Intergenic"	"sidd"	"Shprh"
"ENSMUSG00000090116.1"	"chr8"	99466080	99466287	2	"Intron (ENSMUST00000153366.1/ENSMUSG00000052479.5, intron 1 of 4)"	"sidd"	"Gm15680"
"ENSMUSG00000090119.1"	"chr13"	76881374	76881519	1	"Intron (ENSMUST00000125209.7/ENSMUSG00000021596.16, intron 15 of 20)"	"sidd"	"Gm8185"
"ENSMUSG00000090125.3"	"chr4"	124653836	124653950	1	"Promoter (2-3kb)"	"sidd"	"Pou3f1"
"ENSMUSG00000090132.2"	"chrX"	105527612	105527764	1	"Distal Intergenic"	"sidd"	"Cypt2"
"ENSMUSG00000090151.1"	"chr6"	8465379	8465502	2	"Intron (ENSMUST00000162564.6/ENSMUSG00000107705.1, intron 4 of 10)"	"sidd"	"Gm16043"
"ENSMUSG00000090152.1"	"chr12"	101672842	101672976	1	"Intron (ENSMUST00000162735.7/ENSMUSG00000021187.14, intron 8 of 11)"	"sidd"	"Gm16285"
"ENSMUSG00000090179.1"	"chr7"	6405644	6405821	2	"Promoter (<=1kb)"	"sidd"	"Gm16307"
"ENSMUSG00000090222.2"	"chr1"	173811942	173812151	2	"Distal Intergenic"	"sidd"	"Ifi203-ps"
"ENSMUSG00000090224.1"	"chr17"	68413469	68413586	2	"Intron (ENSMUST00000150573.7/ENSMUSG00000041565.17, intron 4 of 6)"	"sidd"	"Gm15974"
"ENSMUSG00000090242.1"	"chr10"	11376987	11377139	2	"Intron (ENSMUST00000069106.4/ENSMUSG00000055493.4, intron 1 of 3)"	"sidd"	"Rpl17-ps11"
"ENSMUSG00000090257.1"	"chr16"	25937978	25938162	1	"Distal Intergenic"	"sidd"	"Gm4524"
"ENSMUSG00000090258.7"	"chr12"	76776774	76776905	1	"Intron (ENSMUST00000041262.13/ENSMUSG00000090258.7, intron 3 of 3)"	"sidd"	"Churc1"
"ENSMUSG00000090284.2"	"chr14"	120770885	120771018	1	"Distal Intergenic"	"sidd"	"Gm17613"
"ENSMUSG00000090302.1"	"chr5"	88269488	88269673	1	"Promoter (<=1kb)"	"sidd"	"Gm7714"
"ENSMUSG00000090303.3"	"chr3"	64034296	64034512	2	"Distal Intergenic"	"sidd"	"Vmn2r-ps3"
"ENSMUSG00000090314.2"	"chr3"	92890100	92890266	2	"Distal Intergenic"	"sidd"	"2310050C09Rik"
"ENSMUSG00000090315.2"	"chr17"	20021635	20021812	2	"Distal Intergenic"	"sidd"	"Vmn2r104"
"ENSMUSG00000090323.2"	"chr1"	146107618	146107823	1	"Distal Intergenic"	"sidd"	"Gm5263"
"ENSMUSG00000090326.2"	"chr5"	63062957	63063102	1	"Distal Intergenic"	"sidd"	"Dthd1"
"ENSMUSG00000090362.2"	"chr7"	86958395	86958556	1	"Distal Intergenic"	"sidd"	"Vmn2r79"
"ENSMUSG00000090383.2"	"chr7"	41870018	41870157	2	"Promoter (2-3kb)"	"sidd"	"Vmn2r58"
"ENSMUSG00000090389.2"	"chr14"	43117747	43117907	2	"Distal Intergenic"	"sidd"	"Cdv3-ps"
"ENSMUSG00000090417.4"	"chr17"	18237336	18237535	2	"Distal Intergenic"	"sidd"	"Vmn2r94"
"ENSMUSG00000090436.2"	"chr7"	86158253	86158424	2	"Intron (ENSMUST00000167830.2/ENSMUSG00000090436.2, intron 5 of 5)"	"sidd"	"Vmn2r75"
"ENSMUSG00000090451.1"	"chr18"	78407256	78407418	1	"Intron (ENSMUST00000237674.1/ENSMUSG00000024552.16, intron 2 of 21)"	"sidd"	"Gm6133"
"ENSMUSG00000090455.2"	"chr7"	142260512	142260686	2	"Promoter (2-3kb)"	"sidd"	"Gm2431"
"ENSMUSG00000090466.1"	"chr12"	103801342	103801459	2	"Promoter (2-3kb)"	"sidd"	"Gm17043"
"ENSMUSG00000090523.2"	"chr18"	32574660	32574818	2	"Distal Intergenic"	"sidd"	"Gypc"
"ENSMUSG00000090534.1"	"chr14"	118230803	118230995	1	"Distal Intergenic"	"sidd"	"Gm4675"
"ENSMUSG00000090544.3"	"chr15"	26994530	26994705	1	"Distal Intergenic"	"sidd"	"Gm6576"
"ENSMUSG00000090577.1"	"chr5"	3033506	3033641	1	"Distal Intergenic"	"sidd"	"Gm3027"
"ENSMUSG00000090589.1"	"chr2"	180099411	180099535	1	"Promoter (<=1kb)"	"sidd"	"Gm17180"
"ENSMUSG00000090602.3"	"chr9"	16912504	16912709	1	"Distal Intergenic"	"sidd"	"Gm5611"
"ENSMUSG00000090623.3"	"chr1"	139650333	139650444	2	"Intron (ENSMUST00000170441.3/ENSMUSG00000090623.3, intron 1 of 5)"	"sidd"	"Cfhr3"
"ENSMUSG00000090629.2"	"chr16"	58944001	58944109	2	"Distal Intergenic"	"sidd"	"Olfr180"
"ENSMUSG00000090655.2"	"chr17"	57486798	57486947	2	"Distal Intergenic"	"sidd"	"Vmn2r120"
"ENSMUSG00000090659.9"	"chr13"	67793776	67793925	1	"Distal Intergenic"	"sidd"	"Zfp493"
"ENSMUSG00000090660.1"	"chr14"	19673547	19673657	2	"Distal Intergenic"	"sidd"	"Gm17030"
"ENSMUSG00000090667.2"	"chr6"	98349943	98350091	2	"Distal Intergenic"	"sidd"	"Gm765"
"ENSMUSG00000090671.1"	"chr5"	26010813	26010995	1	"Distal Intergenic"	"sidd"	"Gm5067"
"ENSMUSG00000090675.2"	"chr17"	37533881	37534081	1	"Distal Intergenic"	"sidd"	"Olfr111"
"ENSMUSG00000090682.4"	"chr1"	45999343	45999480	2	"Distal Intergenic"	"sidd"	"Gm3852"
"ENSMUSG00000090710.3"	"chr9"	36463322	36463457	1	"Distal Intergenic"	"sidd"	"Pate11"
"ENSMUSG00000090715.2"	"chr7"	23497413	23497547	2	"Distal Intergenic"	"sidd"	"Vmn1r167"
"ENSMUSG00000090732.1"	"chr8"	81649808	81649959	2	"Intron (ENSMUST00000172167.8/ENSMUSG00000037940.17, intron 2 of 4)"	"sidd"	"4930579O11Rik"
"ENSMUSG00000090737.1"	"chr19"	28779844	28780000	2	"Distal Intergenic"	"sidd"	"Gm6788"
"ENSMUSG00000090762.2"	"chr7"	12731269	12731386	2	"Promoter (1-2kb)"	"sidd"	"Vmn2r56"
"ENSMUSG00000090765.1"	"chr12"	114629049	114629161	1	"Promoter (1-2kb)"	"sidd"	"Ighv1-13"
"ENSMUSG00000090773.3"	"chr7"	85319487	85319678	1	"Intron (ENSMUST00000173382.1/ENSMUSG00000090773.3, intron 5 of 5)"	"sidd"	"Vmn2r-ps69"
"ENSMUSG00000090774.2"	"chr7"	85940212	85940350	2	"Distal Intergenic"	"sidd"	"Vmn2r74"
"ENSMUSG00000090788.2"	"chr14"	43380953	43381107	1	"Distal Intergenic"	"sidd"	"Gm9597"
"ENSMUSG00000090839.1"	"chr4"	39376254	39376398	2	"Distal Intergenic"	"sidd"	"Gm17094"
"ENSMUSG00000090882.1"	"chr16"	60907966	60908103	1	"Distal Intergenic"	"sidd"	"Gm17065"
"ENSMUSG00000090891.3"	"chr6"	87110758	87110883	1	"Exon (ENSMUST00000170124.3/ENSMUSG00000090891.3, exon 2 of 2)"	"sidd"	"D6Ertd527e"
"ENSMUSG00000090927.1"	"chr14"	5928098	5928267	1	"Promoter (2-3kb)"	"sidd"	"Gm17047"
"ENSMUSG00000090942.1"	"chr18"	60315531	60315675	1	"Intron (ENSMUST00000238180.1/ENSMUSG00000118361.1, intron 1 of 2)"	"sidd"	"F830016B08Rik"
"ENSMUSG00000090946.3"	"chr12"	32392707	32392839	1	"Intron (ENSMUST00000218751.1/ENSMUSG00000112865.1, intron 5 of 6)"	"sidd"	"Ccdc71l"
"ENSMUSG00000090963.2"	"chr5"	110061094	110061273	2	"Intron (ENSMUST00000210275.1/ENSMUSG00000090963.2, intron 1 of 3)"	"sidd"	"Gm17655"
"ENSMUSG00000091002.2"	"chr7"	138254902	138255021	2	"Intron (ENSMUST00000160436.1/ENSMUSG00000091002.2, intron 7 of 11)"	"sidd"	"Tcerg1l"
"ENSMUSG00000091006.3"	"chr7"	85397792	85397962	2	"3' UTR"	"sidd"	"Vmn2r69"
"ENSMUSG00000091007.1"	"chr12"	36420878	36421053	2	"Intron (ENSMUST00000221452.1/ENSMUSG00000043153.6, intron 2 of 9)"	"sidd"	"D630036H23Rik"
"ENSMUSG00000091008.1"	"chr6"	42973369	42973502	1	"Distal Intergenic"	"sidd"	"Gm17472"
"ENSMUSG00000091011.1"	"chr14"	44773903	44774010	1	"Distal Intergenic"	"sidd"	"Gm17187"
"ENSMUSG00000091012.2"	"chr6"	66659810	66660029	2	"Distal Intergenic"	"sidd"	"Vmn1r34"
"ENSMUSG00000091017.1"	"chr1"	191156521	191156620	2	"Distal Intergenic"	"sidd"	"Fam71a"
"ENSMUSG00000091019.1"	"chr18"	7946550	7946712	1	"Distal Intergenic"	"sidd"	"Gm7502"
"ENSMUSG00000091020.3"	"chr1"	16785123	16785242	2	"Distal Intergenic"	"sidd"	"Gm5828"
"ENSMUSG00000091045.9"	"chr7"	12705201	12705302	2	"Intron (ENSMUST00000233304.1/ENSMUSG00000090762.2, intron 6 of 6)"	"sidd"	"Vmn2r55"
"ENSMUSG00000091058.2"	"chr17"	77543759	77543998	2	"Distal Intergenic"	"sidd"	"Gm17538"
"ENSMUSG00000091059.2"	"chr5"	109212811	109212971	2	"3' UTR"	"sidd"	"Vmn2r14"
"ENSMUSG00000091076.2"	"chr17"	23363012	23363160	1	"Distal Intergenic"	"sidd"	"Vmn2r115"
"ENSMUSG00000091117.1"	"chr7"	110424191	110424392	1	"Promoter (<=1kb)"	"sidd"	"Gm9064"
"ENSMUSG00000091119.2"	"chr15"	3382513	3382649	2	"Intron (ENSMUST00000069451.10/ENSMUSG00000055737.12, intron 3 of 10)"	"sidd"	"Ccdc152"
"ENSMUSG00000091155.1"	"chr14"	62652202	62652368	1	"Distal Intergenic"	"sidd"	"Serpine3"
"ENSMUSG00000091165.1"	"chr18"	6185304	6185445	1	"Distal Intergenic"	"sidd"	"Gm17036"
"ENSMUSG00000091175.2"	"chr3"	91134959	91135063	2	"Distal Intergenic"	"sidd"	"S100a7l2"
"ENSMUSG00000091189.1"	"chr14"	51748213	51748366	1	"Distal Intergenic"	"sidd"	"Ear-ps3"
"ENSMUSG00000091193.2"	"chr16"	77864029	77864166	1	"Distal Intergenic"	"sidd"	"Gm17333"
"ENSMUSG00000091194.1"	"chr15"	22878763	22878904	1	"Intron (ENSMUST00000163361.7/ENSMUSG00000040420.15, intron 1 of 6)"	"sidd"	"Gm19840"
"ENSMUSG00000091205.3"	"chr7"	85613942	85614184	1	"Promoter (1-2kb)"	"sidd"	"Vmn2r71"
"ENSMUSG00000091206.2"	"chr17"	18115892	18116049	1	"Intron (ENSMUST00000172359.2/ENSMUSG00000091206.2, intron 5 of 5)"	"sidd"	"Vmn2r91"
"ENSMUSG00000091223.2"	"chr3"	4235781	4235954	1	"Distal Intergenic"	"sidd"	"Gm8775"
"ENSMUSG00000091233.3"	"chr7"	25879369	25879531	2	"Promoter (2-3kb)"	"sidd"	"Gm6434"
"ENSMUSG00000091248.1"	"chr9"	36599226	36599350	2	"Distal Intergenic"	"sidd"	"Pate8"
"ENSMUSG00000091255.1"	"chr5"	14952722	14952854	2	"Distal Intergenic"	"sidd"	"Speer4e"
"ENSMUSG00000091272.2"	"chr3"	68878848	68878993	2	"Distal Intergenic"	"sidd"	"Gm17641"
"ENSMUSG00000091273.1"	"chr5"	17106336	17106468	2	"Distal Intergenic"	"sidd"	"Gm6673"
"ENSMUSG00000091277.2"	"chr12"	48559599	48559752	2	"Promoter (<=1kb)"	"sidd"	"Gm1818"
"ENSMUSG00000091280.1"	"chr12"	106340817	106340955	1	"Distal Intergenic"	"sidd"	"Gm17032"
"ENSMUSG00000091283.1"	"chr1"	57921026	57921198	2	"Intron (ENSMUST00000163239.7/ENSMUSG00000038305.15, intron 7 of 11)"	"sidd"	"Gm17234"
"ENSMUSG00000091288.1"	"chr2"	96696847	96696980	1	"Intron (ENSMUST00000135431.7/ENSMUSG00000050587.14, intron 2 of 6)"	"sidd"	"Gm17075"
"ENSMUSG00000091293.1"	"chr14"	51818110	51818262	1	"Intron (ENSMUST00000053821.4/ENSMUSG00000050961.4, intron 6 of 8)"	"sidd"	"Gm6047"
"ENSMUSG00000091345.9"	"chr9"	105889496	105889654	2	"Intron (ENSMUST00000190193.7/ENSMUSG00000091345.9, intron 32 of 40)"	"sidd"	"Col6a5"
"ENSMUSG00000091350.2"	"chr17"	18188357	18188484	1	"3' UTR"	"sidd"	"Vmn2r92"
"ENSMUSG00000091361.2"	"chr3"	78897559	78897719	2	"Distal Intergenic"	"sidd"	"Gm5277"
"ENSMUSG00000091376.1"	"chr3"	59984224	59984367	1	"Distal Intergenic"	"sidd"	"Aadacl2"
"ENSMUSG00000091382.2"	"chr6"	57398857	57399102	2	"Distal Intergenic"	"sidd"	"Vmn1r18"
"ENSMUSG00000091386.2"	"chr6"	43031888	43032063	1	"Distal Intergenic"	"sidd"	"Olfr443-ps1"
"ENSMUSG00000091408.3"	"chr6"	136452684	136452824	2	"Distal Intergenic"	"sidd"	"Gm6728"
"ENSMUSG00000091411.1"	"chr9"	36130075	36130223	2	"Promoter (1-2kb)"	"sidd"	"Gm5916"
"ENSMUSG00000091459.1"	"chr16"	61228764	61228921	1	"Distal Intergenic"	"sidd"	"Gm17054"
"ENSMUSG00000091468.3"	"chr10"	79325225	79325442	1	"Distal Intergenic"	"sidd"	"Vmn2r82"
"ENSMUSG00000091474.2"	"chr7"	41607722	41607916	1	"Intron (ENSMUST00000205587.1/ENSMUSG00000091474.2, intron 2 of 2)"	"sidd"	"2610021A01Rik"
"ENSMUSG00000091483.1"	"chr5"	3147882	3148107	1	"Distal Intergenic"	"sidd"	"Gm8715"
"ENSMUSG00000091491.2"	"chr17"	18910756	18910879	1	"Distal Intergenic"	"sidd"	"Vmn2r97"
"ENSMUSG00000091531.2"	"chr17"	37322668	37322811	2	"Distal Intergenic"	"sidd"	"Olfr102"
"ENSMUSG00000091541.2"	"chr6"	57086232	57086348	1	"Distal Intergenic"	"sidd"	"Vmn1r9"
"ENSMUSG00000091557.2"	"chr14"	19164636	19164816	1	"Downstream (<=300bp)"	"sidd"	"Gm8584"
"ENSMUSG00000091572.9"	"chr3"	64253047	64253206	2	"Distal Intergenic"	"sidd"	"Vmn2r3"
"ENSMUSG00000091577.2"	"chr13"	103139877	103139993	2	"Intron (ENSMUST00000166726.7/ENSMUSG00000034751.17, intron 3 of 26)"	"sidd"	"Gm6211"
"ENSMUSG00000091601.3"	"chr17"	37148911	37149046	2	"Promoter (2-3kb)"	"sidd"	"Olfr93"
"ENSMUSG00000091631.2"	"chr17"	18379892	18380041	1	"Distal Intergenic"	"sidd"	"Vmn2r95"
"ENSMUSG00000091636.2"	"chr17"	69451253	69451379	1	"Intron (ENSMUST00000169935.1/ENSMUSG00000091636.2, intron 1 of 1)"	"sidd"	"Akain1"
"ENSMUSG00000091652.2"	"chr7"	5217628	5217780	1	"Promoter (<=1kb)"	"sidd"	"Vmn1r57"
"ENSMUSG00000091662.9"	"chr7"	10571293	10571399	2	"Distal Intergenic"	"sidd"	"Vmn1r69"
"ENSMUSG00000091682.2"	"chr13"	19277840	19278024	1	"Distal Intergenic"	"sidd"	"Trgc3"
"ENSMUSG00000091697.2"	"chr18"	90290405	90290510	2	"Distal Intergenic"	"sidd"	"Eif3s6-ps2"
"ENSMUSG00000091721.4"	"chr3"	132617997	132618200	1	"Distal Intergenic"	"sidd"	"Gimd1"
"ENSMUSG00000091722.2"	"chr14"	75435123	75435307	1	"Distal Intergenic"	"sidd"	"Siah3"
"ENSMUSG00000091723.2"	"chr14"	106718532	106718679	2	"Distal Intergenic"	"sidd"	"Gm17366"
"ENSMUSG00000091730.1"	"chr10"	20643239	20643369	1	"Intron (ENSMUST00000020165.13/ENSMUSG00000019990.15, intron 1 of 12)"	"sidd"	"Gm17230"
"ENSMUSG00000091742.2"	"chr17"	46454491	46454605	2	"3' UTR"	"sidd"	"Gm5093"
"ENSMUSG00000091757.1"	"chr14"	42142159	42142395	2	"Distal Intergenic"	"sidd"	"Gm17064"
"ENSMUSG00000091764.3"	"chr8"	69642221	69642345	1	"Distal Intergenic"	"sidd"	"Zfp964"
"ENSMUSG00000091771.1"	"chr17"	19756050	19756286	1	"Distal Intergenic"	"sidd"	"Vmn2r103"
"ENSMUSG00000091785.2"	"chr18"	30467386	30467543	2	"Distal Intergenic"	"sidd"	"Rpl29-ps5"
"ENSMUSG00000091817.1"	"chr5"	10410299	10410433	1	"Distal Intergenic"	"sidd"	"Gm17091"
"ENSMUSG00000091821.1"	"chrX"	123226818	123226916	2	"Distal Intergenic"	"sidd"	"Srsx"
"ENSMUSG00000091825.1"	"chr10"	73206102	73206222	1	"Intron (ENSMUST00000123398.8/ENSMUSG00000052613.16, intron 1 of 13)"	"sidd"	"Gm5778"
"ENSMUSG00000091827.2"	"chr5"	17370105	17370237	1	"Promoter (2-3kb)"	"sidd"	"Speer4f2"
"ENSMUSG00000091844.2"	"chr1"	44050406	44050544	2	"Distal Intergenic"	"sidd"	"Gm8251"
"ENSMUSG00000091859.2"	"chr17"	19518255	19518358	1	"Intron (ENSMUST00000166081.2/ENSMUSG00000091859.2, intron 1 of 5)"	"sidd"	"Vmn2r100"
"ENSMUSG00000091874.2"	"chr7"	5175035	5175190	2	"Distal Intergenic"	"sidd"	"Vmn1r56"
"ENSMUSG00000091888.3"	"chr10"	79173139	79173271	1	"Intron (ENSMUST00000165834.3/ENSMUSG00000091888.3, intron 4 of 5)"	"sidd"	"Vmn2r80"
"ENSMUSG00000091897.1"	"chr5"	15007376	15007511	2	"Distal Intergenic"	"sidd"	"Gm17019"
"ENSMUSG00000091905.3"	"chr12"	64763365	64763503	1	"Distal Intergenic"	"sidd"	"Dnajb6-ps"
"ENSMUSG00000091967.5"	"chr3"	64373674	64373809	2	"Distal Intergenic"	"sidd"	"Vmn2r128"
"ENSMUSG00000091970.3"	"chr5"	125837642	125837764	2	"Distal Intergenic"	"sidd"	"Gm4868"
"ENSMUSG00000092021.8"	"chr5"	105332469	105332617	2	"Intron (ENSMUST00000100960.10/ENSMUSG00000092021.8, intron 3 of 10)"	"sidd"	"Gbp11"
"ENSMUSG00000092042.1"	"chr9"	121825147	121825375	1	"Intron (ENSMUST00000152043.2/ENSMUSG00000092042.1, intron 1 of 1)"	"sidd"	"Gm17163"
"ENSMUSG00000092048.3"	"chr10"	130439727	130439923	2	"Distal Intergenic"	"sidd"	"Vmn2r85"
"ENSMUSG00000092055.1"	"chr14"	41210485	41210688	2	"Distal Intergenic"	"sidd"	"Gm7925"
"ENSMUSG00000092066.1"	"chr12"	106411890	106412052	2	"Distal Intergenic"	"sidd"	"1700121N20Rik"
"ENSMUSG00000092071.1"	"chr7"	89641628	89641805	2	"Exon (ENSMUST00000162145.1/ENSMUSG00000030621.17, exon 4 of 4)"	"sidd"	"A230065N10Rik"
"ENSMUSG00000092080.2"	"chr5"	109349723	109349959	1	"Intron (ENSMUST00000165180.2/ENSMUSG00000092080.2, intron 3 of 5)"	"sidd"	"Vmn2r16"
"ENSMUSG00000092083.4"	"chr1"	15285220	15285354	1	"Promoter (1-2kb)"	"sidd"	"Kcnb2"
"ENSMUSG00000092092.1"	"chr8"	7324208	7324322	1	"Distal Intergenic"	"sidd"	"Gm17215"
"ENSMUSG00000092094.5"	"chr5"	7364430	7364592	2	"Distal Intergenic"	"sidd"	"Zfp804b"
"ENSMUSG00000092107.1"	"chr14"	51786019	51786148	2	"Distal Intergenic"	"sidd"	"Ear-ps4"
"ENSMUSG00000092120.2"	"chr17"	17688331	17688486	1	"Distal Intergenic"	"sidd"	"Vmn2r90"
"ENSMUSG00000092173.1"	"chr7"	7761097	7761206	2	"Distal Intergenic"	"sidd"	"Vmn2r-ps38"
"ENSMUSG00000092179.2"	"chr7"	85800907	85801098	1	"Promoter (2-3kb)"	"sidd"	"Vmn2r-ps75"
"ENSMUSG00000092184.1"	"chr9"	116979953	116980079	1	"Intron (ENSMUST00000111773.9/ENSMUSG00000039607.17, intron 3 of 14)"	"sidd"	"Gm18489"
"ENSMUSG00000092187.1"	"chr7"	64350407	64350552	2	"Intron (ENSMUST00000163289.6/ENSMUSG00000033458.17, intron 10 of 13)"	"sidd"	"Gm20457"
"ENSMUSG00000092217.2"	"chr7"	84807381	84807485	2	"Distal Intergenic"	"sidd"	"Vmn2r-ps62"
"ENSMUSG00000092219.1"	"chr17"	35724555	35724653	2	"Distal Intergenic"	"sidd"	"Gm20443"
"ENSMUSG00000092220.1"	"chr1"	88217910	88218061	2	"Promoter (<=1kb)"	"sidd"	"Gm20528"
"ENSMUSG00000092224.2"	"chr17"	36096348	36096467	2	"Promoter (<=1kb)"	"sidd"	"Gm8815"
"ENSMUSG00000092228.1"	"chr6"	89911617	89911723	1	"Distal Intergenic"	"sidd"	"Vmn1r-ps28"
"ENSMUSG00000092230.1"	"chr15"	36117010	36117122	2	"Intron (ENSMUST00000172831.7/ENSMUSG00000037627.16, intron 3 of 27)"	"sidd"	"Gm18889"
"ENSMUSG00000092245.1"	"chr1"	119962950	119963130	1	"Intron (ENSMUST00000174370.7/ENSMUSG00000036962.12, intron 6 of 23)"	"sidd"	"Gm17973"
"ENSMUSG00000092247.2"	"chr6"	90228699	90228847	2	"Intron (ENSMUST00000204789.1/ENSMUSG00000092247.2, intron 1 of 3)"	"sidd"	"Gm20426"
"ENSMUSG00000092248.1"	"chr7"	12134174	12134315	1	"Distal Intergenic"	"sidd"	"Vmn1r-ps63"
