group	coordinates	miRNA (+ strand)	miRNA (- strand)	miRNA (intersection)	annotation	gene_info	cCRE (+-200bp slop)	LINE/LTR repeats (+-200bp slop)
sidd	chr6:96287928-96288055	miR-34/449	miR-141/200a, miR-203a (2), miR-491		Intron	1700123L14Rik (-)		LINE@Lx (-)
sidd	chr6:96471143-96471335	miR-1193, miR-194, miR-411	miR-186		Promoter (1-2kb)	Gm22971 (-)		LTR@RLTR21 (+)
sidd	chr6:96712478-96712606	miR-136	miR-122, miR-186, miR-187, miR-203a (2)		Distal Intergenic	Gm26011 (-)		LINE@L1_Mus1 (-)
sidd	chr6:9678481-9678597	miR-423	miR-421		Distal Intergenic	Gm5110 (-)		LINE@L1Md_F2 (-)
sidd	chr6:97548304-97548452	miR-493, miR-542, miR-758			Promoter (<=1kb)	Gm25852 (-)		
sidd	chr6:97684956-97685107	miR-1197, miR-154, miR-670	miR-185, miR-203a, miR-376c, miR-410		Distal Intergenic	Gm24565 (+)		LINE@L1Md_F2 (-), LINE@L1Md_F (+)
sidd	chr6:98349942-98350091	miR-135, miR-216b			Distal Intergenic	Gm765 (-)		LINE@L1_Mus4 (+)
sidd	chr6:9855049-9855167	miR-122			Distal Intergenic	Gm5110 (-)		LINE@Lx3_Mus (+), LINE@Lx6 (+)
sidd	chr6:98849744-98849877	miR-203a (2)	miR-204/211		Distal Intergenic	Gm32381 (-)		LINE@L1_Mus4 (+)
sidd	chr6:9943595-9943732	miR-181, miR-543	miR-142, miR-186, miR-340		Distal Intergenic	Gm5110 (-)		LTR@MT2C_Mm (-), LTR@MERVL-int (-), LTR@ORR1A3-int (-), LTR@MERVL-int (-), LTR@MERVL-int (-)
sidd	chr6:99522363-99522490	miR-204/211			Promoter (<=1kb)	Foxp1 (-)	pELS@EM10E0829621, pELS (CTCF-bound)@EM10E0829622	
sidd	chr6:99866874-99867123	miR-134, miR-140, miR-296, miR-758	miR-188, miR-204/211		Distal Intergenic	Tpt1-ps3 (-)		LTR@MTB_Mm-int (+), LTR@MTB_Mm (+)
sidd	chr6:99895856-99896007	miR-155, miR-410, miR-543	miR-296, miR-376ab		Promoter (<=1kb)	Gm43067 (-)		LTR@ORR1B1 (-), LTR@RMER17C-int (+)
sidd	chr6:99994809-99994909	miR-217	miR-371 (290), miR-410		Distal Intergenic	Gm33201 (-)		LINE@L2c (+), LTR@MTB (+)
sidd	chr7:101011322-101011422	miR-25/32/92/363/367, miR-29, miR-539	miR-1/206, miR-130/301/454, miR-299, miR-499		Promoter (<=1kb)	P2ry2 (-)		
sidd	chr7:101498982-101499192	miR-140, miR-149, miR-361, miR-431, miR-532	miR-184, miR-299		Promoter (2-3kb)	Pde2a (+)		
sidd	chr7:102605993-102606123		miR-203a (2), miR-488		Promoter (1-2kb)	Olfr552 (+)		LINE@Lx (-)
sidd	chr7:102808703-102808852	miR-203a (2)	miR-493		Distal Intergenic	Olfr564 (+)		LINE@Lx3B (+), LINE@L1_Mus1 (+), LINE@Lx3B (+)
sidd	chr7:102921485-102921653	miR-30, miR-330, miR-670	miR-203a (2), miR-218, miR-224		Promoter (2-3kb)	Olfr572 (+)		LINE@L1MD (+), LINE@L1_Mus2 (-)
sidd	chr7:102941074-102941242	miR-374, miR-410	miR-374	miR-374	Promoter (1-2kb)	Olfr573-ps1 (-)		LTR@RMER6C (+)
sidd	chr7:10295813-10296019	miR-142, miR-325, miR-377, miR-448	miR-124, miR-128		Distal Intergenic	Vmn1r-ps48 (+)		LTR@IAPEY2_LTR (-)
sidd	chr7:103266178-103266325	miR-203a, miR-299, miR-361, miR-491, miR-670			Promoter (<=1kb)	Gm23550 (-)		LINE@L1Md_A (+), LTR@MERVL-int (-)
sidd	chr7:103271447-103271582		miR-192/215, miR-29		Promoter (<=1kb)	Gm23973 (+)		LTR@RMER2 (-)
sidd	chr7:103281314-103281465	miR-129, miR-146			Distal Intergenic	Gm23973 (+)		LINE@L1Md_A (+)
sidd	chr7:103295259-103295366	miR-452	miR-219, miR-335, miR-411		Distal Intergenic	Olfr596 (+)		LTR@RLTR6-int (+)
sidd	chr7:10338504-10338671	miR-203a, miR-9	miR-670		Distal Intergenic	Gm45400 (+)		LINE@Lx (+), LINE@L1Md_F2 (+)
sidd	chr7:103514682-103514850	miR-203a			Promoter (2-3kb)	Olfr610 (-)		LINE@L1Md_F2 (+)
sidd	chr7:103541051-103541226	miR-1197, miR-203a (2)			Promoter (1-2kb)	Olfr612 (-)		LINE@L1_Mus1 (+)
sidd	chr7:103633629-103633742	miR-186, miR-203a (2)	miR-186, miR-455	miR-186	Distal Intergenic	Olfr621-ps1 (-)		LINE@L1_Mus2 (+), LINE@L1_Mus3 (-)
sidd	chr7:103633960-103634121		miR-186, miR-203a		Distal Intergenic	Olfr621-ps1 (-)		LINE@L1_Mus3 (-), LINE@L1_Mus3 (-), LINE@L1_Mus3 (-)
sidd	chr7:103967201-103967381	miR-203a, miR-361, miR-382, miR-410	miR-204/211, miR-670, miR-876		Distal Intergenic	Olfr635 (+)		LINE@L1Md_T (-), LINE@L1_Mus3 (+), LINE@L1_Mus2 (-)
sidd	chr7:104103062-104103220	miR-142, miR-203a	miR-330, miR-670		Promoter (1-2kb)	Olfr646 (+)		LINE@L1Md_F2 (+)
sidd	chr7:104379894-104380122	miR-203a, miR-495 (2), miR-655	miR-183, miR-186, miR-455, miR-670, miR-874, miR-96/1271		Distal Intergenic	Trim30b (-)		LINE@Lx2B2 (+), LINE@Lx2B2 (+)
sidd	chr7:104510908-104511045	miR-1249, miR-203a (2)	miR-188, miR-204/211		Distal Intergenic	Trim30d (-)		LINE@L1_Mus2 (+), LINE@L1VL1 (+)
sidd	chr7:104612603-104612808	miR-183 (2), miR-203a (2), miR-340, miR-431, miR-448, miR-802	miR-17/20/93/106/519d		Promoter (1-2kb)	Olfr656 (+)		LINE@L1_Mus1 (+)
sidd	chr7:104633370-104633581	miR-140, miR-193, miR-33	miR-181, miR-340, miR-374		Promoter (2-3kb)	Olfr657 (+)		LINE@L1Md_F3 (-)
sidd	chr7:10469661-10469801	miR-873	miR-101, miR-27, miR-495, miR-496		Promoter (<=1kb)	Gm30645 (-)		LTR@MTC (-)
sidd	chr7:104721739-104721880		miR-448		Distal Intergenic	Olfr664 (-)		LINE@L1Md_T (-), LTR@MMETn-int (-)
sidd	chr7:105014637-105014831	miR-203a (2)	miR-410, miR-448, miR-505, miR-539, miR-760		Distal Intergenic	Olfr674-ps1 (-)		LINE@L1Md_F2 (+)
sidd	chr7:10511761-10511914	miR-330, miR-494	miR-302c		Intron	Gm18193 (-)		LINE@L1_Mus1 (+)
sidd	chr7:105186795-105186950	miR-670	miR-203a (2)		Promoter (<=1kb)	Olfr685 (-)		LTR@RMER12 (-), LINE@L1_Mus4 (-)
sidd	chr7:105193750-105193910	miR-204/211, miR-374	miR-181, miR-203a, miR-409		Distal Intergenic	Olfr685 (-)		LINE@Lx9 (-), LINE@Lx4B (-)
sidd	chr7:105269715-105269845	miR-203a (2)	miR-140		Distal Intergenic	Olfr687 (+)		LINE@L1_Mus3 (+), LINE@L1VL4 (-)
sidd	chr7:105280689-105280830	miR-216a (2), miR-340, miR-421, miR-495	miR-383, miR-496		Distal Intergenic	Olfr687 (+)		LTR@ORR1G (-), LINE@Lx5b (+)
sidd	chr7:105306396-105306502	miR-325	miR-182, miR-203a (4)		Distal Intergenic	Olfr689 (+)		LINE@Lx5c (-), LINE@Lx2 (-), LINE@Lx5c (-)
sidd	chr7:105664777-105664904		miR-101, miR-873		Intron	Dnhd1 (+)		LTR@MTB (-), LINE@Lx (+)
sidd	chr7:10571292-10571399	miR-203a	miR-125, miR-323a		Distal Intergenic	Vmn1r69 (-)		LINE@L1_Mus1 (+)
sidd	chr7:106241122-106241274	miR-133	miR-18, miR-665		Distal Intergenic	Gvin1 (-)		LTR@RLTR13B2 (+), LINE@Lx9 (-)
sidd	chr7:106270215-106270355	miR-128, miR-495	miR-203a (2)		Distal Intergenic	Gm27150 (-)		LTR@IAPLTR4 (+), LINE@L1_Mus3 (+)
sidd	chr7:106270884-106271037		miR-150, miR-204/211, miR-383		Distal Intergenic	Gm27150 (-)		LINE@L1_Mus3 (+), LTR@RLTR45 (+)
sidd	chr7:106357275-106357481	miR-23, miR-544a	miR-369		Distal Intergenic	Gm8989 (-)		LINE@L1Md_F2 (+)
sidd	chr7:10638575-10638709	miR-142, miR-203a (2)			Distal Intergenic	Vmn1r70 (+)		LINE@L1_Mus4 (+), LTR@MER89 (-)
sidd	chr7:10638728-10638888	miR-27, miR-532 (2)	miR-27, miR-361, miR-488, miR-496, miR-544a	miR-27	Distal Intergenic	Vmn1r70 (+)		LINE@L1_Mus4 (+), LTR@MER89 (-)
sidd	chr7:106467985-106468127	miR-125, miR-203a, miR-371 (290)	miR-296		Distal Intergenic	Gm8995 (-)		LINE@L1Md_T (+), LINE@L1_Mus3 (+)
sidd	chr7:10647259-10647406	miR-185, miR-30, miR-374	miR-136		Promoter (2-3kb)	Vmn1r-ps51 (+)		LINE@L1Md_F2 (+), LINE@L1_Mus2 (+)
sidd	chr7:10647446-10647604	miR-146, miR-493	miR-369, miR-374		Promoter (2-3kb)	Vmn1r-ps51 (+)		LINE@L1_Mus2 (+)
sidd	chr7:106534969-106535099	miR-129			Distal Intergenic	Gm8995 (-)		LINE@L1Md_F2 (-)
sidd	chr7:10654585-10654759	miR-129, miR-136, miR-493, miR-9	miR-495		Promoter (2-3kb)	Gm6900 (-)		LINE@Lx (-)
sidd	chr7:106560850-106560972	miR-122, miR-342, miR-377	miR-203a		Distal Intergenic	Gm1966 (-)		LINE@Lx3_Mus (+), LTR@IAPEY5_LTR (+)
sidd	chr7:106646698-106646822		miR-379		Distal Intergenic	Olfr693 (-)		LINE@L1_Mus3 (+), LINE@L1VL2 (+)
sidd	chr7:106658624-106658740	miR-214	miR-299		Distal Intergenic	Olfr693 (-)		LTR@ETnERV-int (-)
sidd	chr7:10670220-10670412	miR-1249, miR-203a, miR-376ab	miR-539 (2)		Promoter (2-3kb)	Vmn1r-ps52 (-)		LTR@RMER19B (+), LINE@L1_Mur3 (+), LINE@L1Md_F3 (+)
sidd	chr7:106760300-106760457	miR-145, miR-483, miR-668	miR-142, miR-146, miR-665		Distal Intergenic	Olfr698 (-)		LINE@L1Md_F3 (+), LINE@Lx (-)
sidd	chr7:106765756-106765898	miR-186, miR-203a (2)	miR-186	miR-186	Distal Intergenic	Olfr698 (-)		LINE@L1_Mus3 (+), LINE@Lx (-)
sidd	chr7:106779729-106779832	miR-181, miR-369, miR-9	miR-133 (2), miR-142, miR-186, miR-204/211		Distal Intergenic	Olfr699 (-)		LINE@Lx5c (-), LINE@L1_Mur3 (-), LINE@L1Md_F2 (-)
sidd	chr7:106782451-106782644	miR-361, miR-875	miR-216a, miR-495		Distal Intergenic	Olfr699 (-)		LINE@Lx3A (-)
sidd	chr7:106834854-106835020	miR-132/212, miR-203a (2), miR-216a, miR-361	miR-452		Promoter (<=1kb)	Olfr702 (-)		LINE@Lx2A1 (-), LINE@L1_Mus3 (+), LINE@L1_Mus3 (+)
sidd	chr7:106919646-106919802	miR-203a (2), miR-340	miR-7		Distal Intergenic	Olfr1532-ps1 (+)		LINE@L1_Mus1 (+), LINE@L1_Mus1 (-), LTR@RLTR10 (+)
sidd	chr7:10705990-10706134	miR-140, miR-329/362, miR-381, miR-433	miR-383 (2)		Intron	Nlrp4b (+)		LINE@L1Md_F3 (-), LINE@L1VL4 (+), LINE@L1Md_A (+)
sidd	chr7:107421280-107421414		miR-203a, miR-655		Intron	Syt9 (+)		LINE@Lx (-)
sidd	chr7:107534268-107534393		miR-137		Intron	Syt9 (+)		LTR@ORR1B1 (+), LTR@MTEa (+), LTR@RMER17C (-)
sidd	chr7:107870795-107870946		miR-186, miR-203a, miR-30		Distal Intergenic	Gm10156 (+)		LINE@L1VL1 (-), LINE@L1_Mus1 (-), LINE@L1Md_F2 (-), LINE@L1_Mus1 (-)
sidd	chr7:107952772-107952880	miR-325			Promoter (<=1kb)	Gm9449 (-)		LTR@MTD (-), LTR@MTD (-), LINE@L1VL4 (-)
sidd	chr7:107963394-107963603	miR-186, miR-203a, miR-23, miR-374	miR-203a (2), miR-369, miR-374, miR-655, miR-670	miR-203a, miR-374	Promoter (1-2kb)	Olfr476 (+)		LINE@L1Md_F2 (+), LINE@L1_Mus2 (-)
sidd	chr7:107975751-107975866	miR-136	miR-203a (2)		Distal Intergenic	Olfr476 (+)		LINE@L1_Mus1 (-)
sidd	chr7:108013749-108013883	miR-203a (2), miR-302abd	miR-381, miR-653		Distal Intergenic	Gm6702 (+)		LINE@L1Md_T (-), LINE@Lx (-)
sidd	chr7:108043611-108043735		miR-129		Distal Intergenic	Olfr479 (+)		LINE@Lx2 (+), LINE@L1Md_T (+)
sidd	chr7:108114514-108114656	miR-136, miR-203a (2), miR-532	miR-124, miR-186, miR-302abd		Distal Intergenic	Gm25424 (-)		LINE@L1_Mus2 (+)
sidd	chr7:108176371-108176531	miR-374			Distal Intergenic	Olfr486 (-)		LINE@Lx7 (+), LINE@L1_Mus3 (+)
sidd	chr7:108216074-108216238	miR-374	miR-26		Promoter (1-2kb)	Olfr487 (-)		LINE@Lx7 (+), LINE@L1_Mus3 (+)
sidd	chr7:108232407-108232568	miR-874	miR-122, miR-186, miR-203a (3)		Distal Intergenic	Olfr487 (-)		LTR@MLTR25A (-), LINE@Lx3_Mus (-), LINE@L1_Mus1 (-)
sidd	chr7:108238481-108238643		miR-410		Distal Intergenic	Olfr488 (-)		LINE@L1_Mus2 (-), LINE@L1_Mus2 (-), LINE@L1Md_A (-)
sidd	chr7:108306017-108306253	miR-216a	miR-143		Promoter (2-3kb)	Gm44594 (-)		LTR@RLTR13E (-)
sidd	chr7:108415857-108416007	miR-221/222			Promoter (1-2kb)	Olfr496-ps1 (+)		LTR@MT2C_Mm (-), LTR@MTA_Mm (+)
sidd	chr7:108438227-108438369	miR-455	miR-1/206		Distal Intergenic	Olfr497 (+)		LINE@Lx9 (+), LINE@Lx3_Mus (-)
sidd	chr7:108452058-108452213	miR-101 (2), miR-122	miR-137		Distal Intergenic	Gm44611 (-)		LINE@Lx3_Mus (+), LINE@L1Md_T (+)
sidd	chr7:108556408-108556507		miR-383		Distal Intergenic	Olfr504 (-)		LTR@ETnERV-int (-), LTR@ERVB7_1-LTR_MM (-), LINE@L1Md_A (-)
sidd	chr7:108588896-108589020	miR-203a, miR-331	miR-188, miR-202, miR-204/211		Distal Intergenic	Gm19127 (-)		LINE@Lx (+)
sidd	chr7:108670374-108670543	miR-203a (2)	miR-129		Promoter (2-3kb)	Olfr510 (+)		LINE@Lx2 (+)
sidd	chr7:108728847-108728974	miR-203a (2)	miR-129		Distal Intergenic	Olfr512 (+)		LINE@Lx (+)
sidd	chr7:108748341-108748500	miR-433	miR-186		Promoter (2-3kb)	Olfr513 (+)		LTR@MTA_Mm (+), LINE@Lx3C (-), LINE@Lx3C (-)
sidd	chr7:108840975-108841192	miR-17/20/93/106/519d, miR-302abd, miR-302c	miR-302abd, miR-330	miR-302abd	Promoter (2-3kb)	Olfr515-ps1 (-)		LINE@L1_Mus2 (-)
sidd	chr7:108865230-108865363	miR-186 (3)	miR-216a		Promoter (<=1kb)	Gm17992 (+)		LINE@L1Md_F (-)
sidd	chr7:108986090-108986197		miR-125, miR-411 (2)		Intron	Tub (+)		
sidd	chr7:109016008-109016147	miR-1/206, miR-203a (2), miR-873	miR-204/211		Promoter (1-2kb)	Tub (+)	pELS (CTCF-bound)@EM10E0859752	LINE@L1_Mus3 (+)
sidd	chr7:109024197-109024420	miR-188, miR-199, miR-331, miR-374, miR-491, miR-496			Promoter (2-3kb)	Tub (+)		
sidd	chr7:109076236-109076430	miR-101	miR-183		Promoter (<=1kb)	Gm25450 (-)		LINE@L1Md_F2 (-), LINE@L3 (+)
sidd	chr7:109138559-109138683	miR-181, miR-494, miR-543	miR-203a, miR-24, miR-486		3' UTR	Gm44781 (+)		
sidd	chr7:109191519-109191663	miR-17/20/93/106/519d, miR-25/32/92/363/367, miR-302abd			Distal Intergenic	Lmo1 (-)	dELS@EM10E0859802, dELS@EM10E0859803	
sidd	chr7:109192542-109192683	miR-199	miR-221/222, miR-382, miR-501/502, miR-670		Distal Intergenic	Lmo1 (-)		
sidd	chr7:109241212-109241366	miR-1251, miR-9	miR-125, miR-377		Distal Intergenic	Gm45024 (-)		
sidd	chr7:109255992-109256103	miR-665	miR-183, miR-325, miR-96/1271		Distal Intergenic	Gm45024 (-)	CTCF-only (CTCF-bound)@EM10E0859823	
sidd	chr7:109393567-109393740	miR-122, miR-133, miR-142, miR-186	miR-494, miR-653		Intron	Gm9105 (-)		LINE@Lx3_Mus (+), LINE@HAL1 (+)
sidd	chr7:110424190-110424392	miR-186, miR-203a	miR-203a (3), miR-340	miR-203a	Promoter (<=1kb)	Gm9064 (+)		LINE@L1Md_F2 (+), LINE@L1_Mus1 (-), LINE@L1_Mus1 (+)
sidd	chr7:110846613-110846714		miR-186		Promoter (2-3kb)	Rnf141 (-)		LTR@ORR1C2 (-), LINE@L1_Mus3 (-)
sidd	chr7:111034567-111034721	miR-374 (2)	miR-21/590, miR-374	miR-374	Promoter (<=1kb)	Ctr9 (+)		LTR@MTD (+)
sidd	chr7:111353214-111353335	miR-129, miR-455	miR-140, miR-299, miR-340, miR-582		Distal Intergenic	5430402P08Rik (+)		LTR@ORR1B1 (+), LINE@Lx9 (-), LTR@RLTR8 (-)
sidd	chr7:111615989-111616118	miR-504, miR-7			Intron	Galnt18 (-)		
sidd	chr7:112167604-112167715	miR-369, miR-374 (2), miR-486, miR-655			Distal Intergenic	Dkk3 (-)		LTR@MTE2a (+), LTR@MTA_Mm (+)
sidd	chr7:112598110-112598225	let-7/miR-98, miR-670	miR-203a, miR-216a		Distal Intergenic	Gm24154 (-)		LTR@ORR1D2 (+), LINE@L1Md_F3 (-), LTR@ORR1D2 (+)
sidd	chr7:113041858-113041987	miR-329/362, miR-487b, miR-7	miR-203a, miR-22		Distal Intergenic	Gm33586 (+)		
sidd	chr7:113329134-113329235	miR-203a	miR-670		Promoter (2-3kb)	Btbd10 (-)		LINE@L1Md_F2 (-), LINE@L1_Mus2 (+), LINE@L1_Mus2 (+)
sidd	chr7:113984803-113985033	miR-217, miR-670	miR-185, miR-186, miR-30, miR-381, miR-409		Intron	Gm45615 (+)		LTR@MTD (-), LINE@Lx9 (-)
sidd	chr7:114176983-114177179		miR-433		Distal Intergenic	Gm45454 (-)		LINE@Lx2 (+), LTR@MYSERV-int (+)
sidd	chr7:114337459-114337654	miR-330	miR-154, miR-302abd, miR-302c, miR-875		Intron	Psma1 (-)		LTR@RLTR13C2 (+), LINE@Lx4A (+)
sidd	chr7:114758638-114758787	miR-210, miR-499	miR-329/362, miR-338, miR-369, miR-410, miR-655		Intron	Insc (+)		
sidd	chr7:11485430-11485622	let-7/miR-98, miR-142, miR-196, miR-200bc/429, miR-340	miR-204/211		Distal Intergenic	Gm45551 (+)		LTR@RLTR6-int (+)
sidd	chr7:11485893-11486095	miR-1251 (2), miR-15/16/195/424/497, miR-28/708, miR-374, miR-383, miR-532	miR-151a, miR-205, miR-338		Distal Intergenic	Gm45551 (+)		LTR@RLTR6-int (+)
sidd	chr7:114915854-114915995	miR-218	miR-495		Distal Intergenic	Rps4l-ps (-)		LINE@L1MC4 (-), LTR@RLTR20A4 (+)
sidd	chr7:115418218-115418379	miR-144, miR-205			Distal Intergenic	Sox6 (-)		LTR@ORR1B1 (-)
sidd	chr7:115920915-115921047		miR-330		Intron	Sox6 (-)		
sidd	chr7:116034160-116034257		miR-204/211		Promoter (<=1kb)	Sox6 (-)	pELS (CTCF-bound)@EM10E0861780, dELS@EM10E0861781	
sidd	chr7:116868832-116868963		miR-146		Distal Intergenic	Gm4366 (-)		LINE@L1Md_F2 (-)
sidd	chr7:117068274-117068407	miR-1197, miR-132/212, miR-26, miR-421, miR-433	miR-203a (2)		Distal Intergenic	Gm26054 (-)		LTR@MTC (+), LINE@L1_Mus1 (-)
sidd	chr7:117160605-117160763	miR-186	miR-338		Distal Intergenic	Gm39075 (+)		LINE@L1_Mus2 (+)
sidd	chr7:117176712-117176828	miR-142	miR-330		Distal Intergenic	Gm39075 (+)		LTR@ORR1A3 (+)
sidd	chr7:117252656-117252798		miR-186, miR-203a (2)		Intron	Gm39075 (+)		LTR@RLTR11A (+), LINE@L1_Mus1 (-)
sidd	chr7:117698455-117698702	miR-140, miR-203a (2), miR-299	miR-181, miR-216a, miR-330		Distal Intergenic	Gm24063 (+)		LINE@L1_Mur3 (+), LINE@L1_Mus3 (+), LINE@L1_Mur3 (+), LTR@MLT1H (+)
sidd	chr7:118035363-118035478	miR-203a (2), miR-30	miR-409		Distal Intergenic	Rps15a (-)		LINE@Lx2 (+), LTR@ORR1F (+)
sidd	chr7:118373181-118373402	miR-485	miR-182, miR-382, miR-544a		Distal Intergenic	Gm32766 (-)		LTR@ORR1A2 (+)
sidd	chr7:11844289-11844455	miR-18			Promoter (1-2kb)	Gm6929 (-)		LINE@Lx (-)
sidd	chr7:118512794-118512917	miR-203a (2), miR-383			Intron	Coq7 (-)		LTR@MTC (+), LINE@L1_Mus1 (+), LTR@MTC (+)
sidd	chr7:118518331-118518481	miR-216a, miR-495			Intron	Coq7 (-)	CTCF-only (CTCF-bound)@EM10E0862321	LTR@MTE2a (+)
sidd	chr7:118993722-118993897	miR-218, miR-302abd, miR-302c	miR-217, miR-330 (3), miR-9		Promoter (1-2kb)	Gprc5b (-)	pELS@EM10E0862517, pELS@EM10E0862518, pELS@EM10E0862519	
sidd	chr7:119059998-119060198	miR-489	miR-203a, miR-340 (2)		Distal Intergenic	Gprc5b (-)		LINE@Lx2 (-)
sidd	chr7:11908616-11908771	miR-203a (2), miR-382	miR-329/362		Distal Intergenic	Vmn1r-ps56 (-)		LINE@L1_Mus3 (+), LTR@RLTR22_Mus (-)
sidd	chr7:119127559-119127685		miR-122, miR-340		Distal Intergenic	Gpr139 (-)		LTR@RMER20B (-), LINE@Lx3_Mus (-)
sidd	chr7:119375883-119376036	miR-379	miR-369, miR-374, miR-496		Distal Intergenic	Gm23321 (-)		LTR@MLT1J (+)
sidd	chr7:119623241-119623347	miR-221/222	miR-203a (2)		Promoter (2-3kb)	Gm19950 (-)		LINE@Lx (-)
sidd	chr7:119733161-119733289	miR-182, miR-216b	miR-188		Promoter (2-3kb)	Gm44866 (-)		LTR@MuRRS4-int (+)
sidd	chr7:119758148-119758310	miR-203a (2), miR-376ab, miR-670			Promoter (2-3kb)	Acsm3 (+)		LINE@L1_Mus4 (+), LINE@Lx6 (+)
sidd	chr7:12010084-12010315	miR-204/211, miR-383, miR-499	miR-203a (2), miR-342, miR-377, miR-411, miR-539, miR-653		Distal Intergenic	Vmn1r-ps60 (+)		
sidd	chr7:120154889-120155021	miR-873	miR-136		Promoter (1-2kb)	4930505K13Rik (+)		LINE@Lx6 (+), LTR@ORR1A2 (-)
sidd	chr7:12018104-12018249		miR-142, miR-223		Distal Intergenic	Gm18854 (+)		LINE@Lx (+)
sidd	chr7:12028455-12028581	miR-485	miR-128, miR-219		Intron	Gm18854 (+)		LTR@RMER19B (+)
sidd	chr7:120303773-120303972	miR-142, miR-203a (2), miR-221/222			Intron	Abca15 (+)		LINE@L1_Mus3 (+)
sidd	chr7:120451890-120452046	miR-495	miR-204/211, miR-381, miR-655		Intron	Abca16 (+)		LINE@Lx (+)
sidd	chr7:120475556-120475725		miR-101, miR-296		Promoter (<=1kb)	Abca16 (+)		LINE@L1_Mus1 (+)
sidd	chr7:120496146-120496272		miR-203a		Intron	Gm9165 (+)		LINE@Lx3A (-), LINE@L1Md_F2 (-)
sidd	chr7:12069817-12069946		miR-203a, miR-382		Distal Intergenic	Gm10179 (-)		LINE@L1_Mus1 (+), LINE@L1Md_A (-)
sidd	chr7:120969971-120970160	miR-210	miR-199, miR-30, miR-330, miR-382		Intron	Cdr2 (-)	dELS@EM10E0862896	
sidd	chr7:12107507-12107651	miR-142, miR-203a (2), miR-9	miR-137		Promoter (2-3kb)	Gm45562 (-)		LINE@Lx4A (+), LINE@L1_Mus2 (+), LINE@Lx4A (+), LTR@RLTR14-int (+), LTR@RLTR14-int (+)
sidd	chr7:121285343-121285451	miR-136	miR-203a, miR-30		Intron	4930486N12Rik (-)		LINE@L1Md_F3 (-)
sidd	chr7:12134173-12134315	miR-199, miR-423			Distal Intergenic	Vmn1r-ps63 (+)		LINE@L1Md_F2 (-), LINE@L1_Mus3 (-)
sidd	chr7:12206552-12206711	miR-186	miR-182, miR-186, miR-31, miR-330, miR-455, miR-873	miR-186	Promoter (<=1kb)	Gm45364 (-)		LTR@MMERVK9C_I-int (-), LTR@ETnERV2-int (-)
sidd	chr7:12244767-12244931		miR-30, miR-495		Distal Intergenic	Vmn1r81 (-)		LINE@L1_Mur2 (-), LINE@L1_Mur2 (-)
sidd	chr7:122699066-122699268	miR-137, miR-501/502, miR-655	miR-425, miR-496		Promoter (2-3kb)	Gm44749 (-)		LTR@ORR1B2 (-), LINE@L1_Mus1 (-), LINE@L1_Mus1 (+)
sidd	chr7:12277891-12278046		miR-203a (2), miR-488		Distal Intergenic	Vmn1r81 (-)		LINE@Lx (-), LINE@L1_Mus3 (-)
sidd	chr7:122852540-122852675	miR-155	miR-369		Distal Intergenic	Gm29759 (+)		LTR@MTD (+), LTR@ORR1F (+), LTR@MER34 (-)
sidd	chr7:122892772-122892912	miR-203a (2)	miR-146, miR-204/211		Distal Intergenic	Gm29759 (+)		LINE@L1_Mus3 (+), LTR@ORR1D2 (-), LINE@L1_Mm (-)
sidd	chr7:123557912-123558038		miR-142, miR-155		Distal Intergenic	Zkscan2 (-)		LINE@L1Md_F3 (-)
sidd	chr7:123559797-123559912		miR-203a (2)		Distal Intergenic	Zkscan2 (-)		LINE@Lx (-)
sidd	chr7:123726421-123726550	miR-10, miR-23, miR-339, miR-377			Distal Intergenic	Gm23788 (-)		LTR@RLTR20A4 (-)
sidd	chr7:123761205-123761327	miR-137	miR-186, miR-199		Distal Intergenic	Gm23788 (-)		LINE@Lx8b (+), LINE@L1_Mus3 (-)
sidd	chr7:123771313-123771442		miR-129		Distal Intergenic	Gm23788 (-)		LINE@L1Md_A (-), LINE@L1Md_T (-)
sidd	chr7:12393607-12393719	miR-875			Promoter (<=1kb)	Vmn1r-ps66 (-)		LINE@Lx2 (+), LINE@L1_Mur3 (+), LINE@L1_Mur3 (+)
sidd	chr7:12394159-12394317	miR-409	miR-181, miR-203a (2), miR-494, miR-543 (2)		Promoter (1-2kb)	Vmn1r-ps66 (-)		LINE@L1_Mus3 (-), LINE@Lx2 (-)
sidd	chr7:123961954-123962085	miR-101, miR-183 (2)			Intron	Gm26974 (-)		LTR@MTC (-), LINE@HAL1ME (+), LINE@Lx5 (+)
sidd	chr7:124029311-124029450	miR-101, miR-144, miR-433, miR-539	miR-200bc/429, miR-495		Intron	Gm27040 (-)		LTR@MTB (+)
sidd	chr7:12425152-12425295	miR-335			Promoter (2-3kb)	Zfp551 (-)		LINE@L1_Mus2 (-)
sidd	chr7:124326531-124326691	miR-203a (2)	miR-455 (2)		Intron	Gm15338 (+)		LTR@MLT1B (-), LINE@L1_Mus2 (+)
sidd	chr7:124865233-124865369	miR-203a (2), miR-488, miR-873			Distal Intergenic	Gm45092 (+)		LINE@Lx (+), LINE@L1M4 (+)
sidd	chr7:124997710-124997856	miR-122, miR-379	miR-186, miR-26, miR-483		Distal Intergenic	Gm45093 (-)		LINE@L1MA5 (-), LTR@ERVB7_1-LTR_MM (-)
