Flipon	Coordinates	Gene Name	Gene Strand	Gene Feature
sidd	chr3:159187629-159187762	Gm20752	+	Intron
sidd	chr3:159292507-159292745	Gm43655	+	Intron
sidd	chr3:159311317-159311450	Gm43655	+	Distal Intergenic
sidd	chr3:159458249-159458365	Gm43655	+	Distal Intergenic
sidd	chr3:159543561-159543745	Depdc1a	+	Distal Intergenic
sidd	chr3:159573379-159573539	Rpe65	+	Distal Intergenic
sidd	chr3:159578004-159578206	Rpe65	+	Distal Intergenic
sidd	chr3:159593019-159593185	Rpe65	+	Distal Intergenic
sidd	chr3:159593949-159594138	Rpe65	+	Distal Intergenic
sidd	chr3:159748459-159748621	Wls	+	Distal Intergenic
sidd	chr3:159925775-159925950	Gm23941	-	Intron
sidd	chr4:3075438-3075678	Gm27878	-	Distal Intergenic
sidd	chr4:3082374-3082498	Vmn1r-ps2	-	Distal Intergenic
sidd	chr4:3087380-3087531	Vmn1r-ps2	-	Distal Intergenic
sidd	chr4:3179465-3179568	Vmn1r3	-	Distal Intergenic
sidd	chr4:3225707-3225943	AI838599	+	Distal Intergenic
sidd	chr4:3342145-3342290	Gm11786	+	Distal Intergenic
sidd	chr4:3459946-3460056	Gm11785	+	Distal Intergenic
sidd	chr4:3533579-3533729	Mir3471-2	+	Distal Intergenic
sidd	chr4:3651000-3651121	2210414B05Rik	+	Distal Intergenic
sidd	chr4:3997988-3998110	Sdr16c5	-	Intron
sidd	chr4:4080076-4080228	Sdr16c6	-	Promoter (2-3kb)
sidd	chr4:4203914-4204044	Penk	-	Distal Intergenic
sidd	chr4:4247243-4247357	Penk	-	Distal Intergenic
sidd	chr4:4323675-4323908	Penk	-	Distal Intergenic
sidd	chr4:4475004-4475185	Gm11780	-	Distal Intergenic
sidd	chr4:4547307-4547474	Gm11780	-	Distal Intergenic
sidd	chr4:5019110-5019243	Gm11779	-	Distal Intergenic
sidd	chr4:5052171-5052329	Gm11779	-	Distal Intergenic
sidd	chr4:5149516-5149629	Gm11779	-	Distal Intergenic
sidd	chr4:5181858-5181996	Gm11779	-	Distal Intergenic
sidd	chr4:5332832-5332959	Gm11782	-	Distal Intergenic
sidd	chr4:5877370-5877469	Gm11796	-	Intron
sidd	chr4:6125430-6125571	Gm11797	+	Distal Intergenic
sidd	chr4:6158941-6159095	Ubxn2b	+	Distal Intergenic
sidd	chr4:6250087-6250248	Gm11798	-	Distal Intergenic
sidd	chr4:6308592-6308750	Cyp7a1	-	Distal Intergenic
sidd	chr4:6461588-6461728	Nsmaf	-	Distal Intergenic
sidd	chr4:6479252-6479396	Nsmaf	-	Distal Intergenic
sidd	chr4:6552284-6552446	Gm11801	+	Distal Intergenic
sidd	chr4:6706342-6706542	Tox	-	Intron
sidd	chr4:6990468-6990600	Tox	-	Promoter (<=1kb)
sidd	chr4:7031740-7031940	Gm11804	-	Distal Intergenic
sidd	chr4:7535861-7535997	8430436N08Rik	+	Distal Intergenic
sidd	chr4:7612601-7612796	8430436N08Rik	+	Distal Intergenic
sidd	chr4:7658353-7658517	8430436N08Rik	+	Distal Intergenic
sidd	chr4:7749837-7749969	Gm11795	+	Distal Intergenic
sidd	chr4:7813713-7813830	Gm23860	+	Distal Intergenic
sidd	chr4:7957225-7957374	Gm23860	+	Distal Intergenic
sidd	chr4:8221808-8221957	Gm25355	+	Intron
sidd	chr4:8301284-8301444	Car8	-	Distal Intergenic
sidd	chr4:8305790-8305993	Car8	-	Distal Intergenic
sidd	chr4:8332894-8333026	Car8	-	Distal Intergenic
sidd	chr4:8400957-8401155	Gm37386	-	Distal Intergenic
sidd	chr4:8485917-8486056	Gm11810	-	Distal Intergenic
sidd	chr4:9086791-9086915	Gm23423	+	Distal Intergenic
sidd	chr4:9189082-9189210	Gm23423	+	Distal Intergenic
sidd	chr4:9290566-9290712	Gm11816	-	Intron
sidd	chr4:9668226-9668416	Asph	-	Promoter (<=1kb)
sidd	chr4:9679871-9679977	Asph	-	Distal Intergenic
sidd	chr4:9735829-9735970	4930412C18Rik	+	Distal Intergenic
sidd	chr4:9870937-9871084	Gdf6	+	Distal Intergenic
sidd	chr4:10145804-10146047	Gm11835	+	Distal Intergenic
sidd	chr4:10335925-10336118	Gm11814	-	Distal Intergenic
sidd	chr4:10347558-10347769	Gm11814	-	Distal Intergenic
sidd	chr4:10389789-10389933	Gm11814	-	Distal Intergenic
sidd	chr4:10791571-10791715	1700123O12Rik	-	Intron
sidd	chr4:10843752-10843908	Mir3471-1	-	Promoter (1-2kb)
sidd	chr4:10886032-10886240	2610301B20Rik	+	Intron
sidd	chr4:11789678-11789827	Cdh17	+	Intron
sidd	chr4:11825815-11826006	Cdh17	+	Distal Intergenic
sidd	chr4:11908482-11908626	Gm22477	+	Distal Intergenic
sidd	chr4:11942234-11942391	Gm25002	+	Distal Intergenic
sidd	chr4:12200191-12200320	Fam92a	-	Distal Intergenic
sidd	chr4:12547036-12547153	Gm37985	+	Distal Intergenic
sidd	chr4:12988074-12988209	Triqk	+	Distal Intergenic
sidd	chr4:13943514-13943707	Gm11823	-	Intron
sidd	chr4:14159205-14159378	Gm11824	+	Distal Intergenic
sidd	chr4:14405943-14406074	Gm11836	+	Distal Intergenic
sidd	chr4:14652724-14652898	Slc26a7	-	Intron
sidd	chr4:14680062-14680206	Slc26a7	-	Intron
sidd	chr4:14685826-14685950	Slc26a7	-	Intron
sidd	chr4:14692569-14692729	Lrrc69	-	Intron
sidd	chr4:14693690-14693833	Lrrc69	-	Intron
sidd	chr4:15009198-15009322	Gm11844	+	Intron
sidd	chr4:15020572-15020698	Gm11844	+	Promoter (1-2kb)
sidd	chr4:15103956-15104122	Necab1	-	Intron
sidd	chr4:15122462-15122583	Necab1	-	Intron
sidd	chr4:15143053-15143169	Necab1	-	Intron
sidd	chr4:15313409-15313602	Tmem64	+	Distal Intergenic
sidd	chr4:15639717-15639850	Gm11857	+	Distal Intergenic
sidd	chr4:15710023-15710174	Gm11858	-	Distal Intergenic
sidd	chr4:15747767-15747971	Gm11858	-	Distal Intergenic
sidd	chr4:15757843-15758002	Gm11858	-	Distal Intergenic
sidd	chr4:15826623-15826722	Gm11855	-	Distal Intergenic
sidd	chr4:15841867-15841981	Gm11855	-	Distal Intergenic
sidd	chr4:15952871-15953037	Nbn	+	Distal Intergenic
sidd	chr4:16340032-16340158	Gm37355	+	Distal Intergenic
sidd	chr4:16368332-16368475	Gm37355	+	Distal Intergenic
sidd	chr4:16544812-16544949	Gm11861	+	Distal Intergenic
sidd	chr4:16651599-16651741	Gm24978	+	Distal Intergenic
sidd	chr4:16831858-16832009	Gm23975	-	Distal Intergenic
sidd	chr4:16857961-16858118	Gm23975	-	Distal Intergenic
sidd	chr4:16893465-16893638	Gm23975	-	Distal Intergenic
sidd	chr4:16906102-16906258	Gm23975	-	Distal Intergenic
sidd	chr4:16985768-16985923	Gm11848	-	Distal Intergenic
sidd	chr4:17010168-17010334	Gm11848	-	Distal Intergenic
sidd	chr4:17072991-17073163	Gm11850	-	Distal Intergenic
sidd	chr4:17134745-17134880	Gm11850	-	Distal Intergenic
sidd	chr4:17182093-17182330	Gm11849	-	Distal Intergenic
sidd	chr4:17325850-17325999	Gm11849	-	Distal Intergenic
sidd	chr4:17344409-17344594	Gm11849	-	Distal Intergenic
sidd	chr4:17756894-17757063	Mmp16	+	Distal Intergenic
sidd	chr4:18069748-18069880	Mmp16	+	Intron
sidd	chr4:18127760-18127934	Gm11852	+	Distal Intergenic
sidd	chr4:18217924-18218080	Gm11852	+	Distal Intergenic
sidd	chr4:18340766-18340911	Gm11867	+	Distal Intergenic
sidd	chr4:18378703-18378831	Gm11867	+	Distal Intergenic
sidd	chr4:18477955-18478070	Gm11853	+	Intron
sidd	chr4:18551646-18551817	Gm11853	+	Intron
sidd	chr4:18582819-18582996	Gm11853	+	Intron
sidd	chr4:18710250-18710401	Gm25971	+	Promoter (1-2kb)
sidd	chr4:19015049-19015215	Gm12392	+	Intron
sidd	chr4:19070503-19070642	Cnbd1	-	Intron
sidd	chr4:19085485-19085682	Cnbd1	-	Intron
sidd	chr4:19142806-19143045	Cnbd1	-	Distal Intergenic
sidd	chr4:19165453-19165583	Cnbd1	-	Distal Intergenic
sidd	chr4:19206070-19206231	Gm12393	+	Distal Intergenic
sidd	chr4:19382025-19382215	Gm11877	+	Intron
sidd	chr4:19386622-19386747	Gm11877	+	Intron
sidd	chr4:19742022-19742157	Gm12354	-	Distal Intergenic
sidd	chr4:19806293-19806422	Slc7a13	+	Distal Intergenic
sidd	chr4:19971610-19971781	4930480G23Rik	-	Intron
sidd	chr4:20028111-20028275	Ggh	+	Intron
sidd	chr4:20225227-20225353	Gm11872	+	Intron
sidd	chr4:20340863-20341025	Gm11872	+	Promoter (2-3kb)
sidd	chr4:20461827-20462010	Gm11873	+	Intron
sidd	chr4:20793699-20793814	Nkain3	-	Distal Intergenic
sidd	chr4:20796375-20796505	Nkain3	-	Distal Intergenic
sidd	chr4:21100548-21100702	Gm11871	-	Distal Intergenic
sidd	chr4:21263210-21263380	Gm22817	+	Distal Intergenic
sidd	chr4:21306626-21306786	Gm25977	+	Distal Intergenic
sidd	chr4:21319584-21319743	Gm25977	+	Distal Intergenic
sidd	chr4:21689257-21689407	Prdm13	-	Distal Intergenic
sidd	chr4:21927152-21927318	Faxc	+	Distal Intergenic
sidd	chr4:22025746-22025871	Gm11885	-	Distal Intergenic
sidd	chr4:22203632-22203752	Gm11882	+	Distal Intergenic
sidd	chr4:22577740-22577884	Gm11881	-	Distal Intergenic
sidd	chr4:22621943-22622078	Gm11879	+	Distal Intergenic
sidd	chr4:22671133-22671269	Gm11879	+	Distal Intergenic
sidd	chr4:22806481-22806624	Gm24078	+	Distal Intergenic
sidd	chr4:22897444-22897548	1700025O08Rik	-	Distal Intergenic
sidd	chr4:22908676-22908855	1700025O08Rik	-	Distal Intergenic
sidd	chr4:22933801-22933982	1700025O08Rik	-	Intron
sidd	chr4:23044648-23044795	1700025O08Rik	-	Distal Intergenic
sidd	chr4:23142187-23142296	Gm11884	+	Distal Intergenic
sidd	chr4:23265436-23265565	Gm11884	+	Intron
sidd	chr4:23364837-23365003	Gm11884	+	Intron
sidd	chr4:23434112-23434265	Gm11888	+	Distal Intergenic
sidd	chr4:23541506-23541626	Gm11889	-	Distal Intergenic
sidd	chr4:23588744-23588897	Gm25978	-	Distal Intergenic
sidd	chr4:23640303-23640464	Gm25978	-	Distal Intergenic
sidd	chr4:23888159-23888292	Gm28448	-	Distal Intergenic
sidd	chr4:23900919-23901123	Gm28448	-	Distal Intergenic
sidd	chr4:23952546-23952694	Gm28448	-	Distal Intergenic
sidd	chr4:24053497-24053648	Gm28448	-	Distal Intergenic
sidd	chr4:24090718-24090861	Gm11892	+	Distal Intergenic
sidd	chr4:24164471-24164620	Gm11892	+	Distal Intergenic
sidd	chr4:24207660-24207870	Gm11892	+	Distal Intergenic
sidd	chr4:24231097-24231267	Gm11892	+	Distal Intergenic
sidd	chr4:24309000-24309129	Gm11892	+	Distal Intergenic
sidd	chr4:24346080-24346220	Gm11891	+	Distal Intergenic
sidd	chr4:24366047-24366173	Gm11891	+	Distal Intergenic
sidd	chr4:24380598-24380740	Gm11891	+	Distal Intergenic
sidd	chr4:24662255-24662466	Klhl32	-	Intron
sidd	chr4:24676323-24676477	Klhl32	-	Promoter (<=1kb)
sidd	chr4:24748493-24748711	Klhl32	-	Intron
sidd	chr4:25085483-25085639	Gpr63	+	Intron
sidd	chr4:25244083-25244194	Fhl5	-	Promoter (1-2kb)
sidd	chr4:25401914-25402057	Gm11894	+	Distal Intergenic
sidd	chr4:25476175-25476310	Gm25975	-	Distal Intergenic
sidd	chr4:25637625-25637752	Gm24977	-	Intron
sidd	chr4:25744552-25744711	Fut9	-	Intron
sidd	chr4:25920514-25920669	Gm24965	+	Distal Intergenic
sidd	chr4:26091123-26091276	Gm24965	+	Distal Intergenic
sidd	chr4:26408695-26408818	Gm11903	+	Distal Intergenic
sidd	chr4:26481535-26481709	Gng2-ps1	-	Distal Intergenic
sidd	chr4:26537661-26537795	Gng2-ps1	-	Distal Intergenic
sidd	chr4:26648224-26648324	Gm11905	-	Intron
sidd	chr4:26786661-26786793	4930548K13Rik	-	Distal Intergenic
sidd	chr4:26787000-26787139	4930548K13Rik	-	Distal Intergenic
sidd	chr4:26857560-26857713	4930548K13Rik	-	Distal Intergenic
sidd	chr4:26981710-26981835	Gm11904	-	Distal Intergenic
sidd	chr4:27107556-27107716	Gm11904	-	Distal Intergenic
sidd	chr4:27112811-27112952	Gm11904	-	Distal Intergenic
sidd	chr4:27113177-27113313	Gm11904	-	Distal Intergenic
sidd	chr4:27146840-27147066	Gm11904	-	Distal Intergenic
sidd	chr4:27179188-27179334	Gm11902	-	Distal Intergenic
sidd	chr4:27456072-27456201	Gm11901	+	Distal Intergenic
sidd	chr4:27516620-27516792	Gm11901	+	Distal Intergenic
sidd	chr4:27519967-27520098	Gm11901	+	Distal Intergenic
sidd	chr4:27771543-27771727	Gm25173	+	Distal Intergenic
sidd	chr4:28249368-28249538	Gm11907	+	Distal Intergenic
sidd	chr4:28521841-28522004	Gm11908	-	Distal Intergenic
sidd	chr4:28744472-28744661	Epha7	+	Distal Intergenic
sidd	chr4:28982401-28982538	Gm11917	+	Distal Intergenic
sidd	chr4:29154356-29154497	Gm11918	+	Distal Intergenic
sidd	chr4:29198699-29198908	Gm11919	+	Distal Intergenic
sidd	chr4:29246848-29246944	Gm11919	+	Distal Intergenic
sidd	chr4:29360025-29360173	Gm11923	+	Distal Intergenic
sidd	chr4:29495567-29495755	Gm11923	+	Distal Intergenic
sidd	chr4:29698939-29699075	Gm11923	+	Distal Intergenic
sidd	chr4:29719356-29719502	Gm11923	+	Distal Intergenic
sidd	chr4:29752119-29752296	Gm11923	+	Distal Intergenic
sidd	chr4:29875581-29875703	Gm11925	+	Distal Intergenic
sidd	chr4:29993714-29993872	Gm11925	+	Distal Intergenic
sidd	chr4:30004676-30004833	Gm11925	+	Distal Intergenic
sidd	chr4:30070339-30070500	Gm11925	+	Distal Intergenic
sidd	chr4:30172703-30172839	Gm11925	+	Distal Intergenic
sidd	chr4:30445378-30445617	Gm11924	+	Intron
sidd	chr4:30501541-30501715	Gm11924	+	Intron
sidd	chr4:30965323-30965476	Gm25705	-	Distal Intergenic
sidd	chr4:31045445-31045604	Gm25705	-	Distal Intergenic
sidd	chr4:31138752-31138916	Gm25705	-	Distal Intergenic
sidd	chr4:31138939-31139022	Gm25705	-	Distal Intergenic
sidd	chr4:31154795-31154919	Gm25705	-	Distal Intergenic
sidd	chr4:31237959-31238114	Gm25705	-	Distal Intergenic
sidd	chr4:31373232-31373392	Gm11922	+	Distal Intergenic
sidd	chr4:31401852-31402021	Gm11922	+	Distal Intergenic
sidd	chr4:31678008-31678158	Map3k7	+	Distal Intergenic
sidd	chr4:31729308-31729446	Map3k7	+	Distal Intergenic
sidd	chr4:31740784-31740916	Map3k7	+	Distal Intergenic
sidd	chr4:31814849-31815016	Map3k7	+	Distal Intergenic
sidd	chr4:31854889-31855001	Map3k7	+	Distal Intergenic
sidd	chr4:31938245-31938459	Map3k7	+	Distal Intergenic
sidd	chr4:32046542-32046661	Gm11927	+	Distal Intergenic
sidd	chr4:32046916-32047047	Gm11927	+	Distal Intergenic
sidd	chr4:32965206-32965347	Gm11942	+	Promoter (<=1kb)
sidd	chr4:32984065-32984197	Rragd	+	Promoter (<=1kb)
sidd	chr4:33128824-33128976	Gabrr1	+	Distal Intergenic
sidd	chr4:33224988-33225120	Srsf12	+	Intron
sidd	chr4:33662330-33662403	Gm24341	-	Distal Intergenic
sidd	chr4:33821130-33821297	Cnr1	+	Distal Intergenic
sidd	chr4:34060359-34060489	Spaca1	-	Distal Intergenic
sidd	chr4:34137653-34137822	Gm12753	+	Distal Intergenic
sidd	chr4:34143185-34143352	Gm12753	+	Distal Intergenic
sidd	chr4:34170266-34170436	Gm12753	+	Distal Intergenic
sidd	chr4:34727522-34727655	Cfap206	-	Promoter (2-3kb)
sidd	chr4:35432080-35432222	Gm12365	+	Distal Intergenic
sidd	chr4:35444757-35444934	Gm12365	+	Distal Intergenic
sidd	chr4:35454519-35454689	Gm12365	+	Distal Intergenic
sidd	chr4:35555052-35555185	Gm12365	+	Distal Intergenic
sidd	chr4:35623461-35623604	Gm12365	+	Distal Intergenic
sidd	chr4:35633176-35633314	Gm12365	+	Distal Intergenic
sidd	chr4:35686906-35687031	Lingo2	-	Distal Intergenic
sidd	chr4:35705933-35706167	Lingo2	-	Distal Intergenic
sidd	chr4:35706244-35706359	Lingo2	-	Distal Intergenic
sidd	chr4:35827937-35828118	Lingo2	-	Intron
sidd	chr4:35888603-35888771	Lingo2	-	Intron
sidd	chr4:36064584-36064768	Lingo2	-	Intron
sidd	chr4:36137463-36137645	Lingo2	-	Promoter (1-2kb)
sidd	chr4:36174381-36174521	Lingo2	-	Intron
sidd	chr4:36563784-36563937	Mir876	-	Intron
sidd	chr4:36591404-36591591	Mir876	-	Intron
sidd	chr4:36788711-36788880	Gm23314	+	Intron
sidd	chr4:36937348-36937510	Lingo2	-	Intron
sidd	chr4:37205918-37206051	Rpl23a-ps6	-	Distal Intergenic
sidd	chr4:37256364-37256485	Gm12374	+	Intron
sidd	chr4:37619530-37619707	Gm12375	-	Distal Intergenic
sidd	chr4:37924706-37924914	Gm12375	-	Distal Intergenic
sidd	chr4:38053917-38054065	Gm12379	+	Distal Intergenic
sidd	chr4:38214334-38214502	Gm12380	+	Distal Intergenic
sidd	chr4:38387132-38387299	Gm12380	+	Distal Intergenic
sidd	chr4:38491621-38491776	Gm12382	+	Distal Intergenic
sidd	chr4:38604495-38604618	Gm12382	+	Intron
sidd	chr4:38918565-38918788	Gm12381	-	Distal Intergenic
sidd	chr4:38949912-38950060	Gm12381	-	Distal Intergenic
sidd	chr4:39004896-39005054	Gm12381	-	Distal Intergenic
sidd	chr4:39093051-39093219	Gm25581	-	Distal Intergenic
sidd	chr4:39311838-39311970	Gm23607	+	Distal Intergenic
sidd	chr4:39376253-39376398	Gm17094	-	Distal Intergenic
sidd	chr4:39426206-39426360	Gm17094	-	Intron
sidd	chr4:39612036-39612181	Gm12385	+	Distal Intergenic
sidd	chr4:39671962-39672118	Gm12385	+	Distal Intergenic
sidd	chr4:39856023-39856118	Gm22850	+	Distal Intergenic
sidd	chr4:40099499-40099663	Gm12389	-	Distal Intergenic
sidd	chr4:40124295-40124423	Gm12389	-	Distal Intergenic
sidd	chr4:40402072-40402294	Gm23338	-	Distal Intergenic
sidd	chr4:40443924-40444082	Gm23338	-	Distal Intergenic
sidd	chr4:40493478-40493650	Tmem215	+	Intron
sidd	chr4:41663811-41663890	Cntfr	-	Promoter (<=1kb)
sidd	chr4:42220450-42220662	Gm13301	+	Intron
sidd	chr4:42912014-42912137	Phf24	+	Distal Intergenic
sidd	chr4:42935995-42936148	Phf24	+	Promoter (2-3kb)
sidd	chr4:43195774-43195941	Gm25010	-	Intron
sidd	chr4:43802717-43802889	Gm12492	-	Promoter (2-3kb)
sidd	chr4:44086908-44087073	Gne	-	Promoter (2-3kb)
sidd	chr4:44952843-44952975	Gm12678	+	Distal Intergenic
sidd	chr4:45083883-45084008	Fbxo10	-	Promoter (<=1kb)
sidd	chr4:45561044-45561186	Gm12411	+	Distal Intergenic
sidd	chr4:45835403-45835613	Igfbpl1	-	Distal Intergenic
sidd	chr4:45925924-45926059	Ccdc180	+	Intron
sidd	chr4:46203168-46203389	Xpa	-	Distal Intergenic
sidd	chr4:46237532-46237691	Gm12444	-	Distal Intergenic
sidd	chr4:46304517-46304669	Gm12447	+	Intron
sidd	chr4:46340043-46340185	Gm12446	-	Intron
sidd	chr4:46664987-46665142	Tbc1d2	-	Intron
sidd	chr4:47069385-47069487	Gm12422	-	Promoter (2-3kb)
sidd	chr4:47395298-47395455	Tgfbr1	+	Intron
sidd	chr4:47457235-47457396	Gm12430	+	Distal Intergenic
sidd	chr4:47498421-47498581	Sec61b	+	Distal Intergenic
sidd	chr4:47559420-47559606	Gm27601	+	Distal Intergenic
sidd	chr4:47841442-47841563	Gm22670	+	Intron
sidd	chr4:47901672-47901811	Gm22670	+	Intron
sidd	chr4:48048785-48048870	Nr4a3	+	Promoter (<=1kb)
sidd	chr4:48049293-48049527	Nr4a3	+	Promoter (<=1kb)
sidd	chr4:48775642-48775797	Gm24573	-	Distal Intergenic
sidd	chr4:48866747-48866900	Gm23746	+	Distal Intergenic
sidd	chr4:49015898-49016014	Gm12442	+	Distal Intergenic
sidd	chr4:49033518-49033679	Plppr1	+	Distal Intergenic
sidd	chr4:49183775-49183975	Gm22685	+	Intron
sidd	chr4:49340987-49341104	Gm12453	+	Promoter (1-2kb)
sidd	chr4:49372202-49372341	Acnat2	-	Distal Intergenic
sidd	chr4:49401465-49401612	Acnat2	-	Intron
sidd	chr4:49443074-49443254	Acnat1	-	Distal Intergenic
sidd	chr4:49498858-49499014	Baat	-	Intron
sidd	chr4:49671919-49672039	Ppp3r2	-	Intron
sidd	chr4:50412464-50412680	Gm25485	+	Distal Intergenic
sidd	chr4:50631251-50631406	Gm25485	+	Distal Intergenic
sidd	chr4:50716715-50716868	Gm25485	+	Distal Intergenic
sidd	chr4:50930738-50930902	Gm12460	+	Distal Intergenic
sidd	chr4:51034605-51034753	Gm12460	+	Distal Intergenic
sidd	chr4:51095696-51095815	Gm12460	+	Distal Intergenic
sidd	chr4:51128802-51128988	Gm12460	+	Distal Intergenic
sidd	chr4:51206538-51206734	Cylc2	+	Distal Intergenic
sidd	chr4:51275385-51275581	Amd-ps4	-	Distal Intergenic
sidd	chr4:51329720-51329890	Amd-ps4	-	Distal Intergenic
sidd	chr4:51454575-51454726	Gm22563	+	Distal Intergenic
sidd	chr4:51761069-51761226	Gm24943	+	Distal Intergenic
sidd	chr4:51952529-51952684	Gm12461	+	Distal Intergenic
sidd	chr4:52019156-52019294	C630028M04Rik	-	Intron
sidd	chr4:52129904-52130047	Gm12465	-	Distal Intergenic
sidd	chr4:52222005-52222156	Gm12466	+	Distal Intergenic
sidd	chr4:52334437-52334585	Gm12475	-	Distal Intergenic
sidd	chr4:52418741-52418888	Smc2os	-	Distal Intergenic
sidd	chr4:52422238-52422377	Smc2os	-	Distal Intergenic
sidd	chr4:52867504-52867681	Olfr273	-	Distal Intergenic
sidd	chr4:52932207-52932375	Olfr271-ps1	-	Distal Intergenic
sidd	chr4:52991737-52991935	Nipsnap3a	+	Promoter (2-3kb)
sidd	chr4:53291870-53292003	Gm12495	+	Distal Intergenic
sidd	chr4:53369856-53369986	Gm12496	-	Distal Intergenic
sidd	chr4:53375644-53375766	Gm12496	-	Distal Intergenic
sidd	chr4:55531993-55532130	Klf4	-	Promoter (<=1kb)
sidd	chr4:56428040-56428174	Gm12518	+	Distal Intergenic
sidd	chr4:56433306-56433476	Gm12518	+	Distal Intergenic
sidd	chr4:56505946-56506086	Gm12518	+	Distal Intergenic
sidd	chr4:56673277-56673428	Gm26144	-	Distal Intergenic
sidd	chr4:56732636-56732785	Gm26657	+	Distal Intergenic
sidd	chr4:57167705-57167821	Gm12530	+	Distal Intergenic
sidd	chr4:57971947-57972112	Txn1	-	Distal Intergenic
sidd	chr4:57974975-57975118	Txn1	-	Distal Intergenic
sidd	chr4:58434931-58435092	Mir3095	-	Distal Intergenic
sidd	chr4:58645407-58645609	Gm12580	-	Distal Intergenic
sidd	chr4:58685776-58685929	Gm12580	-	Distal Intergenic
sidd	chr4:59108716-59108841	Shoc1	-	Promoter (2-3kb)
sidd	chr4:59178496-59178658	Ugcg	+	Distal Intergenic
sidd	chr4:59304349-59304483	Susd1	-	Distal Intergenic
sidd	chr4:59325954-59326108	Susd1	-	Intron
sidd	chr4:59971689-59971830	Mup6	+	Intron
sidd	chr4:61827470-61827578	Mup5	-	Distal Intergenic
sidd	chr4:61847183-61847335	Mup-ps23	-	Distal Intergenic
sidd	chr4:61852657-61852791	Mup-ps23	-	Distal Intergenic
sidd	chr4:61890386-61890525	Mup-ps18	-	Distal Intergenic
sidd	chr4:61900082-61900197	Mup-ps18	-	Distal Intergenic
sidd	chr4:61900322-61900570	Mup-ps18	-	Distal Intergenic
sidd	chr4:62218198-62218303	Zfp37	-	Intron
sidd	chr4:62870253-62870444	Gm24117	+	Distal Intergenic
sidd	chr4:63077429-63077552	Zfp618	+	Intron
sidd	chr4:63115582-63115818	Zfp618	+	3' UTR
sidd	chr4:63186656-63186744	Kif12	-	Distal Intergenic
sidd	chr4:63194957-63195067	Col27a1	+	Distal Intergenic
sidd	chr4:63213565-63213723	Col27a1	+	Promoter (<=1kb)
sidd	chr4:63592695-63592888	Gm11213	-	Distal Intergenic
sidd	chr4:63619105-63619261	Tex48	-	Intron
sidd	chr4:63826100-63826237	Tnfsf8	-	Distal Intergenic
sidd	chr4:63893890-63894051	Rpl17-ps4	-	Promoter (2-3kb)
sidd	chr4:64177267-64177411	8030451A03Rik	+	Distal Intergenic
sidd	chr4:64203138-64203276	8030451A03Rik	+	Distal Intergenic
sidd	chr4:64275607-64275763	Gm11217	-	Promoter (<=1kb)
sidd	chr4:64376270-64376418	Gm23950	+	Distal Intergenic
sidd	chr4:64472960-64473093	Gm23950	+	Distal Intergenic
sidd	chr4:64526530-64526657	Gm23950	+	Distal Intergenic
sidd	chr4:64587966-64588090	Gm23950	+	Distal Intergenic
sidd	chr4:64619741-64619875	Gm23950	+	Distal Intergenic
sidd	chr4:64622370-64622526	Gm23950	+	Distal Intergenic
sidd	chr4:64623226-64623373	Gm23950	+	Distal Intergenic
sidd	chr4:64734499-64734687	Gm11218	-	Distal Intergenic
sidd	chr4:64794759-64794902	Gm11218	-	Distal Intergenic
sidd	chr4:64806052-64806189	Gm11218	-	Distal Intergenic
sidd	chr4:64967379-64967529	Gm11219	+	Distal Intergenic
sidd	chr4:65038845-65039094	Gm11219	+	Distal Intergenic
sidd	chr4:65628974-65629109	Trim32	+	Intron
sidd	chr4:65808275-65808423	Trim32	+	Intron
sidd	chr4:65823060-65823197	Trim32	+	Intron
sidd	chr4:65845005-65845139	Trim32	+	Intron
sidd	chr4:65861300-65861444	Trim32	+	Intron
sidd	chr4:65947733-65947869	Trim32	+	Intron
sidd	chr4:65995183-65995327	Gm11484	+	Intron
sidd	chr4:66486997-66487113	Gm25480	+	Distal Intergenic
sidd	chr4:66507574-66507729	Gm25480	+	Distal Intergenic
sidd	chr4:66559841-66559964	Gm25480	+	Distal Intergenic
sidd	chr4:66576682-66576781	Gm25480	+	Distal Intergenic
sidd	chr4:67015549-67015689	Gm11403	+	Distal Intergenic
sidd	chr4:67060756-67060900	Gm11403	+	Distal Intergenic
sidd	chr4:67207341-67207508	Gm11403	+	Distal Intergenic
sidd	chr4:67338979-67339128	Gm11403	+	Distal Intergenic
sidd	chr4:67582339-67582495	Gm44497	+	Distal Intergenic
sidd	chr4:68248929-68249071	Tcp1-ps1	-	Distal Intergenic
sidd	chr4:68314355-68314494	Gm12911	-	Intron
sidd	chr4:68454748-68454929	Gm12911	-	Distal Intergenic
sidd	chr4:68522356-68522466	Gm12911	-	Distal Intergenic
sidd	chr4:69063940-69064067	Gm24697	+	Distal Intergenic
sidd	chr4:69112326-69112488	Gm24697	+	Promoter (1-2kb)
sidd	chr4:69177449-69177577	Gm24697	+	Distal Intergenic
sidd	chr4:69322407-69322555	Gm11404	-	Distal Intergenic
sidd	chr4:69415044-69415190	Gm11404	-	Distal Intergenic
sidd	chr4:69524786-69524899	Gm11221	+	Distal Intergenic
sidd	chr4:69570082-69570246	Gm11221	+	Distal Intergenic
sidd	chr4:69629570-69629686	Gm11221	+	Distal Intergenic
sidd	chr4:69808242-69808388	Gm11222	+	Distal Intergenic
