Flipon	Coordinates	LINE/LTR (+-200bp)
sidd	chr4:94157915-94158040	LINE@L1_Mus1(-)
sidd	chr4:94261821-94261942	LINE@L1_Mus4(-)
sidd	chr4:94263074-94263209	LINE@L1Md_F2(-)
sidd	chr4:94403030-94403177	LINE@Lx2(-)
sidd	chr4:94845654-94845808	LINE@L1Md_T(-), LINE@L1M2(-)
sidd	chr4:95041737-95041940	LINE@Lx2(-), LINE@Lx2(-), LINE@Lx2(-)
sidd	chr4:95085242-95085381	LTR@ORR1B1(-), LINE@L1M5(+)
sidd	chr4:95263483-95263609	LINE@L1_Mus1(-)
sidd	chr4:95269620-95269748	LINE@L1_Mus1(-)
sidd	chr4:95420851-95420947	LTR@MT-int(+), LINE@Lx8(+)
sidd	chr4:95459993-95460242	LTR@RMER17C(+), LTR@MLT1C(-)
sidd	chr4:95638762-95638901	LINE@L1_Mus2(+)
sidd	chr4:95975487-95975603	LINE@L1_Mus1(-)
sidd	chr4:96060637-96060838	LINE@L1_Mus1(+), LTR@ORR1E(+)
sidd	chr4:96082235-96082357	LINE@L1Md_F2(-)
sidd	chr4:96092587-96092738	LTR@MLTR14(+), LINE@L1_Mus3(+), LTR@MLTR14(+)
sidd	chr4:96169941-96170139	LINE@L1Md_T(-)
sidd	chr4:96178648-96178853	LINE@L1_Mus2(+)
sidd	chr4:96278907-96279053	LINE@Lx3A(-), LINE@Lx3A(-), LINE@L1_Mus3(-)
sidd	chr4:96341280-96341432	LINE@MusHAL1(+), LINE@Lx(-)
sidd	chr4:96383956-96384089	LTR@ETnERV-int(-)
sidd	chr4:96438356-96438568	LINE@L1Md_F2(-)
sidd	chr4:96450542-96450665	LINE@L1_Mus2(-)
sidd	chr4:96464159-96464341	LINE@L1Md_F3(-), LINE@L1VL4(-), LINE@L1VL4(-)
sidd	chr4:96483619-96483819	LINE@L1_Mus3(-)
sidd	chr4:96655641-96655806	LINE@L1Md_F2(-)
sidd	chr4:96759197-96759322	LINE@Lx3C(+), LINE@Lx3C(+)
sidd	chr4:96892678-96892880	LINE@L1_Mus3(+)
sidd	chr4:96923364-96923568	LINE@L1Md_F3(+)
sidd	chr4:96946534-96946624	LINE@L1_Mus2(+), LTR@IAPLTR1a_Mm(+)
sidd	chr4:97070609-97070768	LINE@L1_Mus2(+)
sidd	chr4:97552932-97553092	LTR@RMER19B(+)
sidd	chr4:97668457-97668569	LINE@Lx(-)
sidd	chr4:97722995-97723207	LINE@Lx8(-), LINE@Lx8(-)
sidd	chr4:98233918-98234137	LINE@Lx2(+), LINE@Lx6(-)
sidd	chr4:98277876-98278002	LINE@Lx8b(+), LTR@MTB_Mm(-)
sidd	chr4:98629110-98629265	LINE@Lx4B(-), LINE@L1_Mus4(-), LINE@L1_Mus4(-)
sidd	chr4:98980417-98980551	LINE@Lx3_Mus(+), LTR@MTC(+)
sidd	chr4:99314154-99314309	LINE@Lx(-)
sidd	chr4:99795373-99795555	LINE@L1_Mus2(-), LTR@RMER3D-int(+)
sidd	chr4:100087211-100087347	LINE@L1Md_F2(+), LTR@MTC(+), LTR@ORR1B1(-)
sidd	chr4:100343652-100343771	LTR@MTD(-), LINE@L1Md_F2(-)
sidd	chr4:100753698-100753863	LTR@ORR1A4(-)
sidd	chr4:101268213-101268414	LTR@MTD(+), LINE@Lx2(-), LINE@Lx2(-)
sidd	chr4:101536179-101536354	LTR@MTD(-)
sidd	chr4:101841915-101842063	LINE@L1Md_F2(+), LTR@ORR1A2-int(+)
sidd	chr4:101896855-101896957	LTR@RLTR17B_Mm(-)
sidd	chr4:102244033-102244185	LINE@Lx(-), LINE@Lx(+)
sidd	chr4:103027155-103027284	LINE@L1_Mus1(-)
sidd	chr4:103233772-103234001	LTR@RLTR17D_Mm(-), LTR@MLT1A0(-)
sidd	chr4:103336326-103336466	LTR@ORR1D2(-), LINE@L1Md_T(-)
sidd	chr4:103538051-103538188	LTR@ORR1D1(-), LINE@L1_Mus1(-), LINE@L1_Mus3(+)
sidd	chr4:104760612-104760770	LTR@MTC(-), LTR@MTC(+)
sidd	chr4:104816157-104816347	LTR@MTD(+)
sidd	chr4:105011061-105011217	LINE@Lx(+), LINE@L1_Rod(+)
sidd	chr4:105020077-105020289	LINE@Lx(+), LINE@L1M2(+)
sidd	chr4:105052229-105052441	LTR@MTB(-)
sidd	chr4:105573299-105573434	LINE@L1Md_F2(+)
sidd	chr4:106060293-106060523	LINE@L1_Mur2(+)
sidd	chr4:106166114-106166276	LTR@MTEa(+), LTR@MTE-int(+), LTR@ORR1D1(-)
sidd	chr4:106257423-106257608	LINE@Lx(+)
sidd	chr4:106259727-106259947	LINE@Lx4A(+), LINE@Lx7(-)
sidd	chr4:107691545-107691679	LINE@Lx9(-), LINE@Lx9(-)
sidd	chr4:107839764-107839990	LINE@L1MA4A(-), LTR@MLT1A0(-)
sidd	chr4:107865496-107865639	LTR@MTC(-), LINE@L1_Mus1(-)
sidd	chr4:107990133-107990340	LTR@RMER4B(-), LTR@RMER4B(-)
sidd	chr4:108145888-108146050	LTR@RLTR9E(-), LTR@ETnERV2-int(-), LTR@RLTR4_Mm(-)
sidd	chr4:108976687-108976816	LINE@Lx3A(-)
sidd	chr4:109566131-109566291	LINE@L1_Mus1(+), LTR@MTC(+)
sidd	chr4:110066976-110067083	LINE@L1MC5(-), LTR@ORR1A2(-)
sidd	chr4:110067296-110067465	LTR@ORR1A2(-), LINE@L1MC5(-)
sidd	chr4:110380229-110380345	LINE@Lx4A(-)
sidd	chr4:110455949-110456096	LINE@L1_Mus3(-)
sidd	chr4:110531027-110531177	LINE@Lx2(-)
sidd	chr4:110755572-110755797	LINE@Lx3C(-), LTR@MLT1A1(+)
sidd	chr4:110767580-110767720	LINE@L1Md_T(-), LINE@Lx4B(-)
sidd	chr4:110815072-110815212	LINE@L1_Mus3(+)
sidd	chr4:110876406-110876580	LINE@L2a(+), LTR@IAPEY_LTR(-)
sidd	chr4:111075414-111075567	LTR@ORR1A0(+)
sidd	chr4:111289877-111290098	LINE@L1_Mus2(+), LINE@L1ME1(-)
sidd	chr4:111345210-111345355	LTR@ORR1D2(-), LINE@L1_Mus3(-)
sidd	chr4:111395201-111395322	LINE@L1_Mus4(+)
sidd	chr4:111544012-111544138	LTR@RLTR26_Mus(+), LINE@L1Md_F2(-)
sidd	chr4:111679247-111679378	LINE@Lx5c(-), LINE@L1_Mus1(-)
sidd	chr4:111699791-111699966	LINE@L1_Mus2(+), LINE@Lx8(+)
sidd	chr4:111714696-111714878	LTR@RLTR21(+)
sidd	chr4:111912299-111912386	LINE@Lx9(+), LINE@Lx3A(-)
sidd	chr4:111995131-111995287	LINE@L1_Mus4(-)
sidd	chr4:112029750-112029861	LINE@Lx5c(+), LINE@L1_Mus2(-)
sidd	chr4:112074187-112074315	LTR@ORR1A2(-), LINE@L1_Mus2(-)
sidd	chr4:112096833-112096970	LINE@Lx2(-), LINE@L1Md_A(-), LINE@Lx2(-)
sidd	chr4:112121536-112121730	LINE@L1_Mus3(-)
sidd	chr4:112128015-112128177	LTR@RMER4A(+), LINE@L1_Mus1(-), LTR@RMER4A(+)
sidd	chr4:112167997-112168133	LINE@Lx(+), LINE@Lx5c(+), LINE@Lx8b(+)
sidd	chr4:112180926-112181085	LINE@L1_Mus3(+)
sidd	chr4:112321649-112321779	LINE@Lx(+), LINE@Lx(+), LINE@L1_Mus4(-)
sidd	chr4:112351393-112351518	LTR@ERVB7_1-LTR_MM(-)
sidd	chr4:112359497-112359641	LINE@MusHAL1(+), LTR@RLTR10(+)
sidd	chr4:112410606-112410755	LINE@Lx5b(+), LINE@L1Md_F2(+)
sidd	chr4:112494457-112494610	LINE@L1_Mus1(+), LINE@L1_Mus1(+)
sidd	chr4:112524295-112524496	LINE@L1Md_F2(+)
sidd	chr4:112926463-112926641	LTR@MERVL-int(+)
sidd	chr4:113043646-113043764	LINE@L1_Mus3(-), LTR@RMER3D-int(+), LTR@RMER3D-int(+)
sidd	chr4:113120336-113120503	LTR@MurERV4-int(-), LINE@L1_Mus3(+)
sidd	chr4:113270722-113270879	LINE@Lx(+), LINE@L1_Mus4(-)
sidd	chr4:113532814-113532952	LINE@L1Md_T(-)
sidd	chr4:113799313-113799453	LTR@RMER17A2(+), LTR@BGLII(+)
sidd	chr4:113951564-113951718	LINE@L1_Mus2(+), LINE@L1_Mus2(+)
sidd	chr4:113954047-113954228	LINE@L1_Mus2(+), LTR@MYSERV6-int(+)
sidd	chr4:113992965-113993101	LINE@Lx7(+)
sidd	chr4:113998865-113999035	LINE@L1_Mus1(+)
sidd	chr4:114094280-114094483	LTR@MTA_Mm(-), LINE@Lx2A1(+), LTR@IAP1-MM_LTR(+)
sidd	chr4:114108954-114109091	LINE@L1_Mur2(+), LINE@L1VL2(-)
sidd	chr4:114174338-114174532	LINE@Lx3_Mus(-), LINE@L1Md_T(+)
sidd	chr4:114207758-114207879	LINE@L1_Mus3(+), LINE@L1Md_F2(-)
sidd	chr4:114338242-114338427	LTR@MTA_Mm(-)
sidd	chr4:114340940-114341077	LINE@Lx3_Mus(-)
sidd	chr4:114725229-114725340	LINE@Lx2B2(-)
sidd	chr4:114930427-114930580	LINE@L1_Mus1(+)
sidd	chr4:115143447-115143618	LINE@L1Md_A(+)
sidd	chr4:115283470-115283592	LINE@L1_Mus1(+), LTR@RLTR26C_MM(+), LINE@L1_Mus1(+)
sidd	chr4:115361272-115361429	LINE@L1_Mus3(-)
sidd	chr4:115417605-115417757	LINE@Lx6(-), LINE@L1_Mus4(-)
sidd	chr4:115453345-115453590	LINE@L1_Mus3(+), LINE@L3(-)
sidd	chr4:115478586-115478716	LINE@L1_Mus4(+)
sidd	chr4:115548824-115548998	LINE@L1_Mus2(+), LINE@L1M3(+)
sidd	chr4:115583583-115583761	LINE@Lx3_Mus(+), LINE@L1Md_F2(+)
sidd	chr4:116348265-116348418	LINE@L1MCa(+), LINE@Lx(+)
sidd	chr4:117495621-117495779	LINE@L1MEg(+)
sidd	chr4:118262956-118263044	LINE@L2(+)
sidd	chr4:118743725-118743895	LTR@MMERVK9C_I-int(+)
sidd	chr4:118747180-118747320	LTR@RLTR9D(+), LINE@Lx7(-)
sidd	chr4:118882160-118882319	LINE@L1_Mus2(+), LINE@L1_Mus2(+)
sidd	chr4:118908907-118909060	LINE@Lx(+), LINE@Lx(+)
sidd	chr4:119691256-119691373	LTR@RLTR23(+)
sidd	chr4:119920311-119920488	LTR@LTR72_RN(-)
sidd	chr4:121243845-121244084	LINE@L1_Mur2(-), LINE@L1_Mus4(-)
sidd	chr4:121295154-121295250	LINE@L1_Mus1(-), LINE@L1Md_T(-)
sidd	chr4:121300888-121301005	LINE@L1Md_F2(-)
sidd	chr4:121384428-121384564	LINE@L1_Mus2(+), LINE@L1_Mus2(-), LINE@L1_Mus2(+)
sidd	chr4:121457136-121457298	LINE@Lx3_Mus(-)
sidd	chr4:121909030-121909222	LINE@L1_Mus3(-)
sidd	chr4:121936549-121936675	LTR@IAPLTR4_I(+), LTR@IAPEY3-int(+), LTR@ERVB4_1B-I_MM-int(+), LTR@ERVB4_1B-I_MM-int(+)
sidd	chr4:121952410-121952603	LINE@L1Md_F2(+)
sidd	chr4:121959941-121960049	LINE@L1Md_F2(-)
sidd	chr4:121993893-121994043	LINE@L1Md_A(-)
sidd	chr4:121995274-121995429	LINE@Lx(+), LINE@L1Md_A(-)
sidd	chr4:121998984-121999186	LINE@Lx(+), LTR@RLTR26D_MM(+)
sidd	chr4:122009464-122009613	LTR@ERVB4_1B-I_MM-int(-)
sidd	chr4:122016965-122017118	LTR@MTA_Mm-int(+), LTR@MTA_Mm(+)
sidd	chr4:122023703-122023865	LTR@ERVB4_2-I_MM-int(+)
sidd	chr4:122026245-122026327	LINE@Lx2(+)
sidd	chr4:122797245-122797365	LTR@RLTR10B(-)
sidd	chr4:123856817-123856974	LTR@RLTR21(-)
sidd	chr4:124027930-124028023	LTR@MTC(+)
sidd	chr4:124043651-124043764	LINE@L1Md_F2(-), LTR@ORR1B2(+)
sidd	chr4:124653835-124653950	LINE@Lx2(+), LINE@Lx2(+)
sidd	chr4:125647872-125648042	LTR@MTD(-)
sidd	chr4:125791272-125791374	LTR@MLT1J(-), LTR@MTC(+)
sidd	chr4:126472555-126472701	LINE@Lx(+)
sidd	chr4:127067893-127068015	LINE@L1_Mus2(+), LTR@MTD(-)
sidd	chr4:127111891-127112126	LTR@ORR1A2(-)
sidd	chr4:127310897-127310991	LINE@Lx4B(+)
sidd	chr4:127466569-127466750	LINE@L1_Mus1(+), LTR@ORR1A4(+)
sidd	chr4:127775406-127775560	LTR@ORR1D2(+)
sidd	chr4:128501514-128501713	LINE@L1MB3(-)
sidd	chr4:128829992-128830190	LTR@MTB-int(+), LTR@MTB(+)
sidd	chr4:128842013-128842243	LTR@MTC(+), LINE@L1MA4(+)
sidd	chr4:128862783-128862909	LINE@L1MEi(-)
sidd	chr4:130080254-130080451	LINE@L2a(+)
sidd	chr4:130085596-130085695	LINE@L2c(-)
sidd	chr4:130230274-130230422	LTR@RLTR25A(-), LTR@RLTR25A(-)
sidd	chr4:131013040-131013168	LTR@IAPLTR2b(-), LTR@RMER19B(+), LTR@MTD(-)
sidd	chr4:131463760-131463977	LTR@ORR1D1(-), LTR@MTD(-)
sidd	chr4:131645860-131645959	LTR@MTB(+)
sidd	chr4:131665682-131665824	LTR@RMER19B(+)
sidd	chr4:131669375-131669461	LTR@MTD(-), LINE@Lx5(-)
sidd	chr4:131675253-131675380	LINE@L1Md_F2(+), LTR@MTC(+)
sidd	chr4:134383491-134383682	LTR@ORR1E(+), LTR@ORR1A2(-)
sidd	chr4:135005907-135006025	LTR@RMER19B(-)
sidd	chr4:137255395-137255500	LTR@MTEa(-)
sidd	chr4:138958382-138958488	LINE@Lx9(+), LTR@MTD(-)
sidd	chr4:139161855-139162004	LTR@MTB_Mm-int(-)
sidd	chr4:139171203-139171337	LINE@L1_Mus3(-)
sidd	chr4:139944363-139944471	LTR@ORR1A1(+), LTR@MTEa(+)
sidd	chr4:140026792-140026976	LTR@MLT1G(+)
sidd	chr4:140161800-140162010	LTR@MTC(-)
sidd	chr4:140451063-140451278	LINE@L1MD(+)
sidd	chr4:141313300-141313526	LINE@L2b(-)
sidd	chr4:142202152-142202240	LINE@Lx3_Mus(+)
sidd	chr4:142288495-142288641	LTR@RMER12C(+), LTR@RMER6B(-)
sidd	chr4:142289945-142290108	LTR@MTC(-), LTR@RMER12C(+)
sidd	chr4:142445004-142445177	LTR@MTA_Mm(-), LTR@MTB-int(+), LTR@MTB(+)
sidd	chr4:143688822-143688941	LINE@L1Md_F2(+), LINE@Lx(+)
sidd	chr4:143710828-143711001	LINE@L1_Mur2(-), LINE@L1_Mur2(-), LINE@L1_Mus3(-)
sidd	chr4:143719544-143719674	LINE@L1Md_F2(-)
sidd	chr4:143731387-143731539	LINE@L1_Mur3(-), LINE@L1_Mus4(-)
sidd	chr4:143735522-143735634	LINE@L1Md_F2(-), LINE@L1Md_F2(-), LINE@L1Md_F(-)
sidd	chr4:143737073-143737230	LINE@L1Md_F2(+), LTR@RLTR10(-), LINE@L1Md_F2(+)
sidd	chr4:144206498-144206616	LINE@L1Md_F(-), LTR@MLTR11A(-)
sidd	chr4:144290315-144290450	LINE@L1_Mus1(-), LINE@L1_Mus1(-)
sidd	chr4:144483336-144483453	LINE@L1VL4(-), LINE@Lx5c(-)
sidd	chr4:144600777-144600882	LINE@L1Md_F2(+), LINE@L1Md_T(+)
sidd	chr4:144682735-144682869	LINE@L1Md_F2(+)
sidd	chr4:144740917-144741042	LINE@L1Md_A(+)
sidd	chr4:144789093-144789244	LINE@L1_Mus2(+), LINE@L1_Mur2(+)
sidd	chr4:144838198-144838304	LINE@Lx5(+)
sidd	chr4:144849137-144849253	LTR@MT2_Mm(+), LINE@L1Md_Gf(+)
sidd	chr4:144871635-144871767	LINE@L1_Mus2(-)
sidd	chr4:145199808-145199957	LINE@L1_Mus4(-)
sidd	chr4:145541812-145541985	LINE@L1_Mus1(-)
sidd	chr4:146053271-146053451	LINE@L1_Mus2(-)
sidd	chr4:146064016-146064236	LTR@IAPEY2_LTR(+)
sidd	chr4:147336555-147336737	LINE@L1_Mus1(-)
sidd	chr4:147342434-147342597	LTR@MTA_Mm-int(+), LTR@MTA_Mm(+)
sidd	chr4:147408380-147408535	LINE@L1VL4(+)
sidd	chr4:147468696-147468807	LTR@IAPEz-int(-)
sidd	chr4:147565063-147565251	LINE@Lx3B(-)
sidd	chr4:147741582-147741689	LTR@IAPEY2_LTR(-)
sidd	chr4:147977606-147977762	LTR@MTC(+)
sidd	chr4:151250192-151250381	LINE@L1MD(+)
sidd	chr4:152704685-152704792	LTR@RMER17C(-)
sidd	chr4:152789567-152789793	LTR@RLTR10B2(-), LTR@ORR1E(+)
sidd	chr4:152842582-152842768	LTR@MTC(-)
sidd	chr4:152853668-152853793	LTR@RMER12C(+)
sidd	chr4:152889710-152889852	LTR@MTD(+)
sidd	chr4:152906405-152906515	LINE@L2(+)
sidd	chr4:152936996-152937142	LTR@ORR1B1(+)
sidd	chr4:152943858-152944079	LTR@IAPEz-int(-), LTR@IAPEz-int(-)
sidd	chr4:153085865-153086018	LTR@MTC(+)
sidd	chr4:153218947-153219047	LTR@MTC(+)
sidd	chr4:153287777-153288019	LTR@RLTR17B_Mm(-)
sidd	chr4:153513775-153513926	LTR@MTC(+)
sidd	chr4:153571687-153571816	LTR@ORR1A1(+)
sidd	chr4:153703400-153703517	LTR@MTC(+), LTR@MTD(-), LTR@MER92B(-)
sidd	chr4:153741580-153741690	LTR@RMER17A2(+), LTR@RMER4B(+)
sidd	chr4:154075855-154075969	LTR@RMER12(+)
sidd	chr4:154187622-154187806	LTR@MTD(+), LTR@MTD(+)
sidd	chr4:154256803-154256909	LTR@ORR1A2(-)
sidd	chr4:154770502-154770746	LTR@RLTR20A4(+)
sidd	chr4:154900748-154900898	LTR@ORR1B1(+)
sidd	chr4:156100286-156100422	LINE@L1MD(-), LINE@L1_Mus3(+)
sidd	chr4:156158675-156158793	LTR@MMERVK10D3_I-int(-)
sidd	chr5:3033505-3033641	LINE@L1_Mus4(-)
sidd	chr5:3036482-3036600	LINE@L1_Mus4(-), LINE@L1_Mus4(-)
sidd	chr5:3147881-3148107	LINE@Lx9(+), LINE@L1_Mus3(-)
sidd	chr5:3231077-3231275	LINE@L1MEg(+), LINE@L1_Mus1(+), LINE@L1MEg(+)
sidd	chr5:3532415-3532521	LINE@L1_Mus4(+)
sidd	chr5:3872704-3872885	LTR@RLTR9E(-), LINE@Lx10(-), LINE@L1_Mus3(-)
sidd	chr5:4002764-4002933	LINE@L1_Mus4(-), LINE@L1_Mus4(+)
sidd	chr5:4003100-4003237	LINE@L1_Mus4(-), LINE@L1_Mus4(+)
sidd	chr5:4018315-4018436	LTR@MERVL-int(-), LTR@MT2C_Mm(-)
sidd	chr5:4026021-4026171	LINE@L1_Mus3(-)
sidd	chr5:4140911-4141058	LINE@L1_Mus2(+)
sidd	chr5:4147103-4147217	LINE@L1Md_T(+), LINE@L1Md_F2(+)
sidd	chr5:4301033-4301256	LINE@L1_Mus1(+), LTR@ORR1F(-)
sidd	chr5:4348583-4348700	LTR@RLTR20C1_MM(+)
sidd	chr5:4378512-4378663	LINE@Lx2(+), LINE@Lx2A1(+)
sidd	chr5:4435792-4435916	LINE@L1Md_F3(+), LINE@L1Md_F2(-)
sidd	chr5:4456757-4456878	LINE@L1Md_F2(+), LINE@L1Md_F2(+)
sidd	chr5:4844766-4844905	LINE@L1_Mus1(+), LINE@L1MA7(+)
sidd	chr5:5325637-5325739	LTR@ORR1A1(+), LTR@ORR1A1-int(+)
sidd	chr5:5627121-5627251	LINE@L1VL4(-), LINE@L1Md_F2(-)
sidd	chr5:5677929-5678128	LINE@L1_Mus4(-)
sidd	chr5:5783623-5783842	LTR@IAPLTR2b(-)
sidd	chr5:5880389-5880527	LINE@Lx3A(-)
sidd	chr5:5911126-5911326	LINE@L1Md_F2(-), LTR@ORR1F(-)
sidd	chr5:5999140-5999349	LTR@RLTR9E(+), LINE@MusHAL1(-), LTR@RLTR10B2(-)
sidd	chr5:6102190-6102327	LINE@Lx2B(+)
sidd	chr5:6243094-6243271	LINE@L1_Mus3(+), LINE@L1Md_F2(+), LINE@L1Md_F2(+), LTR@MTEb(+)
sidd	chr5:6473573-6473705	LTR@MMERVK9C_I-int(-), LTR@MMERVK9C_I-int(-)
sidd	chr5:6762566-6762763	LINE@L1_Mus3(+)
sidd	chr5:7136242-7136369	LINE@L1_Mus1(-), LINE@L1Md_F2(-)
sidd	chr5:7184007-7184159	LINE@Lx3_Mus(+)
sidd	chr5:7364429-7364592	LINE@L1_Mus1(+), LTR@RLTR9E(+)
sidd	chr5:7369494-7369646	LINE@L1MA5(-), LINE@L1Md_F2(-)
sidd	chr5:7582261-7582391	LINE@L1_Mus2(+), LINE@L1_Mus1(+), LINE@L1_Mus2(+)
sidd	chr5:7681382-7681527	LINE@L1Md_F2(-)
sidd	chr5:7736472-7736649	LINE@L1_Mus3(+), LINE@L1_Mus1(+)
sidd	chr5:7749132-7749265	LINE@L1Md_F2(-)
sidd	chr5:7766216-7766423	LINE@L1Md_F2(+)
sidd	chr5:7816454-7816571	LINE@L1Md_F3(+), LINE@L1Md_F2(+)
sidd	chr5:7910506-7910646	LINE@Lx3C(+), LINE@Lx3C(+)
sidd	chr5:8153865-8153987	LTR@RMER17A(+), LINE@Lx8(+), LTR@MLT1F2(+)
sidd	chr5:8163023-8163147	LINE@L2a(-), LTR@ORR1D1(-)
sidd	chr5:8212145-8212272	LINE@Lx3_Mus(-), LINE@Lx3_Mus(-)
sidd	chr5:8340603-8340748	LTR@RLTR13A1(+), LINE@L1_Mus3(-), LINE@L1Md_F2(+)
sidd	chr5:8430509-8430663	LINE@Lx2(-)
sidd	chr5:8435759-8435898	LINE@Lx2(-), LINE@L1_Mus3(-), LINE@Lx2(-)
sidd	chr5:8926870-8927002	LINE@Lx(-)
sidd	chr5:9214836-9215056	LTR@ORR1A4(+)
sidd	chr5:9311047-9311248	LINE@L1M5(-), LINE@L1Md_A(-)
sidd	chr5:9443419-9443558	LTR@MTD(+), LINE@Lx(-)
sidd	chr5:9562349-9562500	LTR@MTA_Mm-int(+), LTR@MTA_Mm(+), LTR@MTA_Mm(+)
sidd	chr5:9928131-9928266	LINE@L1Md_F2(+), LINE@L1Md_F2(+)
sidd	chr5:9983686-9983850	LINE@L1_Mur3(-)
sidd	chr5:10185435-10185570	LTR@RLTR20B2(-), LINE@Lx8(-), LTR@ORR1A0(+)
sidd	chr5:10259290-10259405	LINE@Lx4A(+), LINE@L1Md_F2(-)
sidd	chr5:10410298-10410433	LINE@Lx(-)
sidd	chr5:10420402-10420530	LINE@Lx(-)
sidd	chr5:10595026-10595190	LTR@MTD(-), LINE@Lx2(-), LINE@Lx2(-)
sidd	chr5:11859433-11859635	LTR@ORR1A2-int(-), LTR@RMER6B(-), LINE@L1_Mus4(-)
sidd	chr5:12480727-12480971	LTR@RLTR31D_MM(-)
sidd	chr5:12625360-12625473	LINE@L1Md_F2(+)
sidd	chr5:12625552-12625778	LINE@L1Md_F2(+)
sidd	chr5:12626568-12626708	LINE@L1Md_F2(+)
sidd	chr5:12629284-12629424	LINE@L1Md_F2(+), LINE@L1_Mus3(-)
sidd	chr5:12668866-12669022	LTR@RLTR9C(-)
sidd	chr5:12786747-12786880	LINE@L1_Mus2(+), LTR@RMER3D-int(+), LTR@RLTR31_Mm(+)
sidd	chr5:12796299-12796413	LINE@L1_Mus1(-), LINE@L1Md_A(-)
sidd	chr5:12801784-12801955	LTR@MTA_Mm-int(+), LTR@MTA_Mm(+)
sidd	chr5:12851696-12851856	LTR@RLTR9E(-), LINE@Lx2(-)
sidd	chr5:13464347-13464512	LINE@L1_Mus3(-)
sidd	chr5:13613566-13613744	LTR@RLTR21(-)
sidd	chr5:14430895-14431040	LINE@Lx7(-), LINE@L1Md_F2(-)
sidd	chr5:14619098-14619238	LINE@L1_Mus4(+), LINE@L1_Mus4(+), LINE@L1MA4(+)
sidd	chr5:14952721-14952854	LINE@Lx(-)
sidd	chr5:15007375-15007511	LINE@Lx(-)
sidd	chr5:15054587-15054775	LTR@RLTR10C(-)
sidd	chr5:15061057-15061206	LTR@MMERVK10C-int(-), LTR@MMERVK10C-int(-)
sidd	chr5:15607575-15607696	LINE@L1_Mus1(+)
sidd	chr5:15681564-15681738	LTR@RLTR10C(-)
sidd	chr5:15691747-15691882	LINE@Lx(-)
sidd	chr5:15705830-15705934	LINE@L1_Mus4(+)
sidd	chr5:16522577-16522788	LTR@RMER17C(+)
sidd	chr5:16675170-16675391	LTR@RMER16-int(+)
sidd	chr5:16719010-16719126	LTR@IAP1-MM_I-int(-)
sidd	chr5:16902841-16903038	LINE@L1_Mus4(+)
sidd	chr5:17104076-17104209	LINE@L1_Mus3(+)
sidd	chr5:17106335-17106468	LTR@MTA_Mm(-), LTR@MTA_Mm-int(-)
sidd	chr5:17183199-17183340	LINE@Lx3C(-)
sidd	chr5:17370104-17370237	LINE@L1_Mus1(+)
sidd	chr5:17640487-17640639	LINE@L1_Mus3(-)
sidd	chr5:18069384-18069536	LINE@Lx3A(-)
sidd	chr5:18471030-18471249	LTR@MTA_Mm(-)
sidd	chr5:18488374-18488525	LTR@RMER6C(+), LINE@L1_Mus3(-)
sidd	chr5:18549005-18549177	LINE@L1_Rod(-), LINE@L1_Mur2(+), LINE@L1_Mus3(-)
sidd	chr5:18586040-18586177	LINE@L1_Mus1(+), LINE@L1VL4(+)
sidd	chr5:18608742-18608868	LINE@L1_Mus3(-)
sidd	chr5:18734595-18734731	LINE@L1Md_A(+), LINE@L1_Mur2(+), LINE@L1Md_A(+)
sidd	chr5:18830149-18830349	LINE@L1Md_A(+), LTR@RLTR10-int(+)
sidd	chr5:18937661-18937846	LINE@Lx7(-), LINE@L1_Mus4(-)
sidd	chr5:18996224-18996411	LINE@L1_Mur3(-), LINE@L1Md_F2(-)
sidd	chr5:19105644-19105799	LINE@L1Md_F2(+)
sidd	chr5:19332872-19333017	LINE@L1_Mus2(-)
sidd	chr5:19533930-19534108	LINE@L1_Mus1(-)
sidd	chr5:19676464-19676630	LTR@RMER17D2(-), LTR@MT2A(-), LTR@MTC(-)
sidd	chr5:20371105-20371235	LTR@MTC(-), LINE@L1_Mus2(-), LTR@MTC(-)
sidd	chr5:20383127-20383290	LINE@L1_Mus4(-), LINE@L1_Mus2(-)
sidd	chr5:20618406-20618538	LINE@L1_Mus1(-)
sidd	chr5:20636312-20636455	LTR@MTC(-)
sidd	chr5:20732244-20732362	LINE@Lx2(-)
sidd	chr5:20738177-20738300	LINE@Lx5c(-)
sidd	chr5:21079785-21079932	LTR@MTB_Mm(+), LINE@L1_Mus2(-)
sidd	chr5:21161517-21161625	LTR@RLTR20C1_MM(+), LTR@RMER19B(-)
sidd	chr5:21403836-21404018	LTR@ORR1B2(-), LINE@L1Md_F2(-)
sidd	chr5:21655104-21655273	LTR@MTA_Mm(-), LTR@MTA_Mm-int(-)
sidd	chr5:22068070-22068212	LINE@L1Md_F2(-)
sidd	chr5:22589953-22590088	LTR@LTR16A(+), LINE@L1_Mus1(-)
sidd	chr5:22646860-22646964	LINE@L1_Mus3(-)
sidd	chr5:23010843-23010972	LINE@L1_Mus2(-)
sidd	chr5:23112959-23113082	LINE@L1_Mur3(-), LINE@L1_Mus1(-)
sidd	chr5:23266564-23266704	LTR@RMER12(-), LINE@L1MA4A(+)
sidd	chr5:23895373-23895495	LTR@RMER17C(+), LTR@RMER17C(+)
sidd	chr5:25035084-25035199	LTR@MLT1B(+), LINE@Lx2(+)
