Flipon	Coordinates	Gene Name	Gene Strand	Gene Feature	miRNA (+)	miRNA (-)	miRNA (intersection)	cCRE (+-200bp)	LINE/LTR (+-200bp)	Feature Group
sidd	chr3:112276991-112277174	Gm4859	+	Distal Intergenic	miR-186 (1), miR-340 (1)	miR-217 (1)				
sidd	chr3:112440495-112440708	Gm9317	-	Distal Intergenic	miR-218 (1), miR-544a (1)	miR-203a (1)			LINE@L1Md_F2(-)	LINE/LTR
sidd	chr3:112566638-112566805	Gm42526	+	Distal Intergenic	miR-496 (1)	miR-129 (1), miR-875 (1)			LINE@L1Md_T(-), LINE@Lx5c(+)	LINE/LTR
sidd	chr3:112636975-112637143	Gm42526	+	Distal Intergenic	miR-203a (2), miR-330 (1), miR-543 (1)	miR-146 (1), miR-23 (1)			LINE@Lx(+), LINE@L1_Mur2(+)	LINE/LTR
sidd	chr3:112887409-112887558	Gm43587	-	Distal Intergenic		miR-133 (1)			LINE@L1Md_F2(+), LINE@L1_Mus3(-)	LINE/LTR
sidd	chr3:113141528-113141649	Amy2b	-	Distal Intergenic	miR-135 (1), miR-203a (1), miR-216a (1)	miR-205 (1), miR-302abd (1), miR-302c (1)			LINE@L1Md_F2(+), LINE@Lx2B2(+)	LINE/LTR
sidd	chr3:113224339-113224551	Amy2-ps1	-	Distal Intergenic	miR-452 (1), miR-9 (1)				LINE@Lx(+)	LINE/LTR
sidd	chr3:113643347-113643506	Gm17954	-	Distal Intergenic	miR-136 (1), miR-148/152 (1), miR-196 (1)	miR-193 (1), miR-26 (1)			LTR@MERVL-int(+)	LINE/LTR
sidd	chr3:113669529-113669655	Gm17954	-	Distal Intergenic	miR-124 (2), miR-140 (2)	miR-873 (1)			LINE@L1Md_T(+)	LINE/LTR
sidd	chr3:113712680-113712912	Gm17775	+	Distal Intergenic	miR-374 (1), miR-411 (1), miR-448 (1), miR-653 (1)	miR-374 (1)	miR-374		LINE@L1Md_F3(-), LINE@L1Md_F2(+)	LINE/LTR
sidd	chr3:113855566-113855715	Gm18163	+	Promoter (<=1kb)	miR-124 (1), miR-142 (1), miR-299 (1)	miR-135 (1), miR-203a (2), miR-532 (1)			LINE@L1_Mus2(-)	LINE/LTR
sidd	chr3:114450942-114451083	Gm43749	-	Distal Intergenic	miR-154 (1), miR-670 (1), miR-760 (1)	miR-1197 (1), miR-203a (1), miR-24 (1)			LINE@Lx9(-), LINE@L1Md_F2(-)	LINE/LTR
sidd	chr3:114493497-114493642	Gm43749	-	Distal Intergenic		miR-129 (1), miR-141/200a (1), miR-144 (1), miR-203a (2), miR-448 (1)			LINE@L1Md_T(+)	LINE/LTR
sidd	chr3:114579789-114579945	Gm43749	-	Distal Intergenic	miR-30 (1)	miR-218 (1), miR-34/449 (1)				
sidd	chr3:114654569-114654702	Gm43749	-	Distal Intergenic	miR-124 (1)	miR-203a (2)			LINE@Lx5b(-), LINE@Lx5b(-), LINE@L1_Mus2(-), LINE@Lx5b(-)	LINE/LTR
sidd	chr3:115094526-115094666	Olfm3	+	Intron	miR-181 (1), miR-369 (1), miR-543 (1), miR-655 (1)	miR-203a (2)			LTR@ERVB7_2-LTR_MM(-)	LINE/LTR
sidd	chr3:115226246-115226388	Gm18429	-	Distal Intergenic	miR-203a (2)	miR-135 (1), miR-216b (1)			LINE@L1_Mus2(+)	LINE/LTR
sidd	chr3:115399924-115400116	Gm22337	+	Distal Intergenic	miR-203a (1), miR-494 (1)	miR-33 (1)			LINE@L1Md_A(+), LINE@L1M2(+)	LINE/LTR
sidd	chr3:115464157-115464305	Gm25347	-	Distal Intergenic	miR-495 (1), miR-653 (1), miR-802 (1)	miR-203a (1), miR-23 (1), miR-411 (1), miR-452 (1)			LINE@Lx(-), LINE@L1_Mus1(-)	LINE/LTR
sidd	chr3:115506322-115506451	Gm43669	+	Distal Intergenic	miR-483 (1)	miR-122 (1), miR-142 (1), miR-186 (1), miR-203a (2), miR-30 (1)			LINE@Lx6(-), LINE@Lx2(-), LINE@Lx2(-), LINE@Lx2(-)	LINE/LTR
sidd	chr3:115584951-115585112	Gm43669	+	Distal Intergenic	miR-154 (1), miR-483 (1), miR-539 (1)	miR-376c (1)			LTR@MTC(+), LINE@Lx7(-), LINE@Lx7(-), LTR@RMER15(+)	LINE/LTR
sidd	chr3:115618523-115618682	S1pr1	-	Distal Intergenic	miR-142 (1), miR-188 (1), miR-224 (1)	miR-185 (1)				
sidd	chr3:116220580-116220701	Gm31651	+	Distal Intergenic	miR-379 (1)	miR-340 (1)			LTR@ORR1A2(+)	LINE/LTR
sidd	chr3:116256792-116257000	Gpr88	-	Distal Intergenic	miR-203a (1), miR-374 (1)	miR-452 (1), miR-496 (1)			LTR@MT2C_Mm(+)	LINE/LTR
sidd	chr3:116468648-116468777	Gm26358	+	Promoter (2-3kb)	miR-26 (1)				LTR@ORR1B2(+), LINE@Lx(-)	LINE/LTR
sidd	chr3:116998755-116998894	Gm9332	-	Promoter (<=1kb)	miR-493 (1)	miR-493 (1), miR-495 (1)	miR-493		LINE@L1_Mus3(-)	LINE/LTR
sidd	chr3:117191359-117191493	Gm9632	+	Distal Intergenic	miR-411 (1)	miR-203a (2)			LINE@L1_Mus4(-)	LINE/LTR
sidd	chr3:117209185-117209321	Gm19243	-	Distal Intergenic	miR-299 (1)	miR-214 (1)			LTR@ETnERV-int(+)	LINE/LTR
sidd	chr3:117405546-117405687	Plppr4	-	Distal Intergenic	miR-203a (1)	miR-140 (1), miR-411 (1), miR-670 (1)			LINE@L1Md_F2(+)	LINE/LTR
sidd	chr3:118008402-118008530	4921521D15Rik	+	Distal Intergenic	miR-10 (1), miR-186 (1), miR-203a (1)	miR-145 (1), miR-296 (1), miR-342 (1), miR-377 (1), miR-670 (1)			LINE@L1Md_F3(+)	LINE/LTR
sidd	chr3:118068122-118068284	4921521D15Rik	+	Distal Intergenic	miR-1/206 (1)				LINE@Lx2B2(+)	LINE/LTR
sidd	chr3:118074171-118074312	4921521D15Rik	+	Distal Intergenic	miR-135 (1)				LTR@MTB_Mm(-), LTR@MTB_Mm(-)	LINE/LTR
sidd	chr3:118304602-118304748	Gm26871	+	Distal Intergenic	miR-452 (1)	miR-216a (1), miR-371 (290) (1)			LINE@Lx9(-)	LINE/LTR
sidd	chr3:118746744-118746908	Dpyd	+	Intron	miR-411 (1), miR-670 (1)	miR-203a (1)			LINE@L1VL4(-), LINE@L1Md_F3(-), LINE@L1VL4(-)	LINE/LTR
sidd	chr3:118936895-118937034	Gm43410	+	Intron		miR-186 (2), miR-203a (2)			LINE@L1_Mus2(-)	LINE/LTR
sidd	chr3:118952136-118952320	Gm43410	+	Intron	miR-136 (1), miR-376c (1)	miR-142 (1), miR-22 (1), miR-340 (1)			LINE@L1MA5(-), LINE@L1Md_F2(+)	LINE/LTR
sidd	chr3:119013975-119014216	Gm43410	+	Intron	miR-218 (1), miR-376c (1), miR-378a (1), miR-452 (1), miR-876 (1)	miR-132/212 (1), miR-142 (1), miR-188 (1), miR-203a (1), miR-330 (1), miR-455 (1), miR-495 (1), miR-873 (1)			LINE@L1_Mur3(-), LINE@L1_Mur3(-), LINE@L1_Mus1(-)	LINE/LTR
sidd	chr3:119098164-119098303	Gm43410	+	Intron		miR-203a (2), miR-374 (1)			LINE@L1_Mus4(-)	LINE/LTR
sidd	chr3:119271704-119271885	Gm23432	-	Intron	miR-340 (1), miR-448 (1)	miR-204/211 (1)			LINE@L1_Mus1(+), LTR@MTB(+)	LINE/LTR
sidd	chr3:119670721-119670850	Gm23432	-	Distal Intergenic	miR-143 (1), miR-324 (1)	miR-186 (1)			LINE@L1Md_F2(-)	LINE/LTR
sidd	chr3:119921822-119921954	Gm18384	+	Distal Intergenic	miR-340 (1), miR-374 (1)	miR-582 (1)			LTR@ORR1F(+), LINE@L1_Mus1(+), LTR@ORR1F(+)	LINE/LTR
sidd	chr3:119931468-119931595	Gm18384	+	Distal Intergenic	miR-330 (1)				LINE@L1_Mus3(-)	LINE/LTR
sidd	chr3:120068122-120068337	Gm18384	+	Distal Intergenic	miR-186 (1), miR-325 (1), miR-493 (1)	miR-128 (1), miR-141/200a (1), miR-199 (1), miR-493 (1)	miR-493		LTR@MTB_Mm(-)	LINE/LTR
sidd	chr3:120198202-120198356	Gm23733	-	Distal Intergenic	miR-495 (1)	miR-1/206 (1)			LINE@Lx(-)	LINE/LTR
sidd	chr3:120263343-120263498	Gm23733	-	Distal Intergenic	miR-203a (1), miR-876 (1)	miR-136 (1)			LINE@L1_Mus3(+)	LINE/LTR
sidd	chr3:120278405-120278573	Gm23733	-	Distal Intergenic	miR-188 (1), miR-204/211 (1), miR-325 (1)	miR-203a (2), miR-494 (1), miR-653 (1), miR-7 (1)			LINE@Lx(-)	LINE/LTR
sidd	chr3:120512829-120513078	Gm25013	-	Distal Intergenic	miR-137 (1)	miR-325 (1), miR-409 (1), miR-496 (1)			LINE@L1ME2(-), LINE@L1MEc(-), LINE@Lx2B(-)	LINE/LTR
sidd	chr3:120634249-120634426	Gm25013	-	Intron	miR-203a (2), miR-493 (1), miR-539 (2)	miR-204/211 (1), miR-493 (1), miR-670 (1)	miR-493		LINE@L1_Mus4(+)	LINE/LTR
sidd	chr3:120657063-120657305	Gm25013	-	Intron	miR-24 (1)	miR-137 (1), miR-21/590 (1)			LINE@L1Md_F2(+)	LINE/LTR
sidd	chr3:120715455-120715603	Gm42927	-	Intron	miR-204/211 (1), miR-670 (1)	miR-203a (2)			LINE@L1_Mus3(+), LINE@L1_Mus4(-)	LINE/LTR
sidd	chr3:120928829-120929018	6530403H02Rik	-	Distal Intergenic	miR-325 (1), miR-376ab (1), miR-382 (1)	miR-338 (1), miR-369 (1)			LTR@MTC(-), LINE@Lx7(+)	LINE/LTR
sidd	chr3:120978683-120978852	Gm43444	-	Distal Intergenic	miR-409 (1)	miR-582 (1)			LINE@Lx(+)	LINE/LTR
sidd	chr3:121039925-121040082	Gm42926	-	Distal Intergenic	miR-452 (1)	miR-137 (1), miR-216b (1)				
sidd	chr3:121490529-121490628	Slc44a3	-	Intron		miR-329/362 (1)				
sidd	chr3:121879368-121879516	Gm42593	+	Distal Intergenic		miR-155 (1), miR-381 (1)			LTR@RLTR17D_Mm(-)	LINE/LTR
sidd	chr3:122072886-122073007	Abca4	+	Promoter (1-2kb)	miR-455 (1)	miR-155 (1), miR-216a (1), miR-22 (1), miR-874 (1)		dELS@EM10E0742909, dELS (CTCF-bound)@EM10E0742910		cCRE & CTCF
sidd	chr3:122073189-122073303	Abca4	+	Promoter (1-2kb)	miR-129 (1), miR-216a (1), miR-223 (1)	miR-128 (1), miR-140 (1), miR-146 (1), miR-27 (1), miR-299 (1)		dELS@EM10E0742909, dELS (CTCF-bound)@EM10E0742910, dELS@EM10E0742911		cCRE & CTCF
sidd	chr3:122620238-122620341	Fnbp1l	-	Promoter (<=1kb)	miR-187 (1)			pELS@EM10E0743174, pELS (CTCF-bound)@EM10E0743175, pELS (CTCF-bound)@EM10E0743176		cCRE & CTCF
sidd	chr3:122673646-122673806	Gm5981	-	Distal Intergenic	miR-340 (1)	miR-203a (2)			LINE@L1_Mus3(-)	LINE/LTR
sidd	chr3:122695017-122695156	Pde5a	+	Distal Intergenic		miR-203a (2)			LTR@MTD(-), LTR@MTD(-), LINE@L1_Mus2(-), LTR@MTD(-)	LINE/LTR
sidd	chr3:122911456-122911609	Gm10959	-	Intron	miR-28/708 (1), miR-665 (1), miR-873 (1)				LINE@Lx(+), LINE@Lx(+)	LINE/LTR
sidd	chr3:123124873-123125014	Synpo2	-	Intron		miR-154 (1)			LINE@Lx6(-), LTR@ORR1A2(+)	LINE/LTR
sidd	chr3:123262572-123262787	Sec24d	+	Distal Intergenic	miR-30 (1)	miR-139 (1), miR-433 (1), miR-582 (1), miR-670 (1)			LTR@RMER4A(+), LTR@ORR1D1(+)	LINE/LTR
sidd	chr3:123751197-123751386	Gm24456	-	Distal Intergenic	miR-221/222 (1), miR-543 (1)	miR-142 (1), miR-153 (1), miR-185 (1)			LINE@Lx9(-)	LINE/LTR
sidd	chr3:123798841-123799053	Gm15400	+	Distal Intergenic	miR-196 (1), miR-382 (1), miR-499 (1)	miR-196 (1), miR-203a (2)	miR-196		LINE@L1_Mus4(-)	LINE/LTR
sidd	chr3:123826890-123827041	Gm15400	+	Distal Intergenic	miR-203a (2)	miR-196 (1)			LTR@MTD(-), LINE@L1_Mus3(+), LTR@MTD(-)	LINE/LTR
sidd	chr3:123889992-123890152	Gm15399	-	Distal Intergenic	miR-532 (1), miR-543 (1)	miR-1/206 (1), miR-122 (1)			LINE@Lx3_Mus(-), LINE@L1MEc(-)	LINE/LTR
sidd	chr3:123958972-123959120	Gm15399	-	Distal Intergenic	miR-203a (2), miR-382 (1)	miR-186 (1), miR-188 (1), miR-204/211 (1)			LINE@Lx(+), LINE@Lx8(-)	LINE/LTR
sidd	chr3:124094455-124094580	Gm15399	-	Distal Intergenic	miR-203a (2), miR-219 (1), miR-379 (1)	miR-532 (1)			LINE@Lx(+), LTR@MTD(+), LTR@MTD(+)	LINE/LTR
sidd	chr3:124171793-124172019	Gm43731	+	Distal Intergenic		miR-129 (1), miR-409 (1)			LINE@Lx2(+), LINE@L1_Rod(+)	LINE/LTR
sidd	chr3:124444857-124445007	1700006A11Rik	-	Distal Intergenic	miR-376ab (1)	miR-129 (1), miR-329/362 (1), miR-496 (1)			LINE@L1_Mur3(+), LINE@Lx2B(-)	LINE/LTR
sidd	chr3:124477811-124477940	Gm22900	+	Distal Intergenic	miR-134 (1), miR-155 (1), miR-758 (1)	miR-103/107 (1), miR-15/16/195/424/497 (1)			LINE@Lx3_Mus(+), LTR@MERVL_2A-int(+)	LINE/LTR
sidd	chr3:124669131-124669315	Gm9379	-	Distal Intergenic	miR-23 (1)	miR-203a (2), miR-340 (1)			LINE@L1_Mus1(-)	LINE/LTR
sidd	chr3:124693493-124693654	Gm9379	-	Distal Intergenic	miR-203a (1), miR-216a (1)				LINE@L1Md_F2(+)	LINE/LTR
sidd	chr3:125374278-125374434	Ndst4	+	Distal Intergenic	miR-143 (1), miR-200bc/429 (1), miR-330 (1)	miR-124 (1), miR-146 (1), miR-340 (1)			LINE@L1Md_F2(-)	LINE/LTR
sidd	chr3:125435648-125435780	Ndst4	+	Promoter (2-3kb)	miR-154 (1), miR-216b (1)	miR-9 (1)			LINE@L1_Mus2(+), LINE@Lx(+)	LINE/LTR
sidd	chr3:125508879-125509048	Ndst4	+	Intron	miR-139 (1), miR-582 (1)	miR-216b (1)			LTR@MTA_Mm-int(+), LTR@MTA_Mm(+)	LINE/LTR
sidd	chr3:125547388-125547545	Ndst4	+	Intron	miR-203a (2)	miR-9 (1)			LINE@L1_Mus1(+)	LINE/LTR
sidd	chr3:125669055-125669175	Ndst4	+	Intron	miR-203a (1)				LINE@L1_Mus3(+), LINE@Lx7(+)	LINE/LTR
sidd	chr3:125737024-125737148	Ndst4	+	Distal Intergenic	miR-655 (1)	miR-1197 (1), miR-203a (2)			LINE@Lx8(-), LINE@Lx2B(-), LINE@Lx2B(-)	LINE/LTR
sidd	chr3:125797062-125797201	Ndst4	+	Distal Intergenic	miR-135 (1), miR-325 (1)	miR-140 (1), miR-489 (1)			LINE@L1Md_F2(-)	LINE/LTR
sidd	chr3:125838914-125839039	Ugt8a	-	Distal Intergenic	miR-23 (1), miR-323a (1), miR-331 (1)				LINE@Lx5(-)	LINE/LTR
sidd	chr3:126074564-126074692	Gm26275	-	Distal Intergenic		miR-203a (2)			LINE@L1_Mus3(-)	LINE/LTR
sidd	chr3:126201674-126201782	Gm42827	+	Distal Intergenic	miR-143 (1), miR-203a (2)				LINE@Lx(-), LINE@Lx(+), LTR@RMER15-int(+)	LINE/LTR
sidd	chr3:126215836-126215983	Gm42827	+	Distal Intergenic	miR-493 (1), miR-496 (1)	miR-361 (1)			LINE@Lx3_Mus(+), LINE@MusHAL1(-)	LINE/LTR
sidd	chr3:126239157-126239277	Gm42827	+	Distal Intergenic	miR-185 (1), miR-194 (1), miR-203a (2), miR-296 (1), miR-379 (1)				LINE@L1_Mus3(+), LINE@Lx8b(+), LINE@L1_Mus4(-)	LINE/LTR
sidd	chr3:126371949-126372106	Arsj	+	Intron	miR-186 (1), miR-374 (1), miR-875 (1)	miR-203a (2), miR-340 (1)			LINE@L1_Mus1(-)	LINE/LTR
sidd	chr3:126466713-126466830	Gm20568	+	Distal Intergenic	miR-491 (1), miR-876 (1)				LINE@Lx2(+)	LINE/LTR
sidd	chr3:126483985-126484126	Gm20568	+	Distal Intergenic	miR-325 (1)				LINE@Lx6(+), LINE@Lx(-)	LINE/LTR
sidd	chr3:126563142-126563286	Camk2d	+	Distal Intergenic	miR-141/200a (1), miR-532 (1)	miR-137 (1)			LTR@ORR1C1(+)	LINE/LTR
sidd	chr3:126852472-126852668	Camk2d	+	Distal Intergenic	miR-26 (1), miR-431 (1), miR-433 (1), miR-670 (1)	miR-203a (1), miR-494 (1)			LTR@ORR1D1(+), LINE@L1Md_F3(-)	LINE/LTR
sidd	chr3:126866896-126867045	Ank2	-	Distal Intergenic	miR-376ab (1)	miR-203a (2)			LINE@L1_Mus3(-), LINE@L1Md_F2(-)	LINE/LTR
sidd	chr3:126899642-126899801	Ank2	-	Distal Intergenic	miR-146 (1), miR-154 (1)	miR-140 (1), miR-150 (1), miR-218 (1), miR-302abd (1), miR-325 (1)			LINE@L1_Mus2(+)	LINE/LTR
sidd	chr3:127050534-127050658	Gm43751	-	Promoter (1-2kb)	miR-423 (1)	miR-409 (1)			LINE@Lx2B2(+), LINE@Lx5c(-), LINE@Lx2B2(+), LTR@RMER15(+)	LINE/LTR
sidd	chr3:127148620-127148767	Gm42974	-	Intron	miR-377 (1), miR-448 (1)	miR-374 (1), miR-448 (1)	miR-448		LTR@ORR1B1(+)	LINE/LTR
sidd	chr3:127195853-127196090	C230031I18Rik	-	Intron	miR-330 (1), miR-379 (1), miR-421 (1), miR-544a (1)	miR-142 (1), miR-181 (1), miR-218 (1), miR-24 (1), miR-26 (1), miR-340 (1), miR-376c (1), miR-452 (1)			LTR@MTD(+)	LINE/LTR
sidd	chr3:127354692-127354843	Gm42969	-	Intron	miR-186 (1), miR-203a (2)	miR-188 (1), miR-204/211 (1), miR-23 (1), miR-325 (1), miR-493 (1)			LINE@Lx(+), LINE@Lx(+), LTR@MTC(-), LTR@ERVB7_2-LTR_MM(-)	LINE/LTR
sidd	chr3:127626413-127626580	Neurog2	+	Distal Intergenic		miR-340 (1), miR-375 (1)		dELS (CTCF-bound)@EM10E0743915, dELS@EM10E0743916		cCRE & CTCF
sidd	chr3:127632135-127632224	Neurog2	+	Promoter (<=1kb)	miR-155 (1)	miR-329/362 (1)		pELS (CTCF-bound)@EM10E0743925, pELS (CTCF-bound)@EM10E0743926		cCRE & CTCF
sidd	chr3:127733793-127733906	Gm23279	+	Promoter (2-3kb)	miR-185 (1)				LINE@Lx5(+), LINE@MusHAL1(+)	LINE/LTR
sidd	chr3:128019518-128019699	Gm10650	+	Distal Intergenic	miR-203a (1), miR-544a (1)	miR-342 (1), miR-361 (1), miR-381 (1), miR-495 (1)			LINE@L1MC(+)	LINE/LTR
sidd	chr3:128397629-128397759	Gm43656	-	Distal Intergenic		miR-203a (1)			LINE@L1_Mus3(-)	LINE/LTR
sidd	chr3:128432507-128432669	Gm22293	+	Distal Intergenic	miR-203a (1)	miR-186 (1), miR-203a (2)	miR-203a		LINE@Lx2(-)	LINE/LTR
sidd	chr3:128618656-128618814	Gm43824	+	Intron	miR-1251 (1), miR-203a (2)	miR-129 (1), miR-409 (1)			LINE@Lx(+)	LINE/LTR
sidd	chr3:128788663-128788822	Gm4410	+	Intron		miR-203a (2), miR-331 (1)			LINE@L1_Mus4(-)	LINE/LTR
sidd	chr3:128808751-128808906	Gm4410	+	Intron	miR-186 (1), miR-382 (1), miR-493 (1)	miR-143 (1), miR-203a (2), miR-33 (1)				
sidd	chr3:128930783-128930973	Gm9387	-	Distal Intergenic	miR-22 (1)				LINE@L1_Mus3(-)	LINE/LTR
sidd	chr3:129145416-129145543	Pitx2	+	Distal Intergenic	miR-193 (1), miR-325 (1)	miR-203a (2), miR-374 (1), miR-494 (1)			LINE@L1MA7(-), LINE@Lx(-)	LINE/LTR
sidd	chr3:129224444-129224529	Gm43697	-	Promoter (<=1kb)	miR-142 (2)	miR-185 (1), miR-760 (1)		pELS@EM10E0744182, pELS@EM10E0744183		cCRE
sidd	chr3:129242588-129242760	Gm43697	-	Distal Intergenic	miR-203a (2), miR-582 (1)	miR-19 (1)			LINE@L1_Mus3(+)	LINE/LTR
sidd	chr3:129266954-129267089	Enpep	-	Distal Intergenic	miR-140 (2), miR-149 (1), miR-203a (2), miR-876 (1)				LINE@Lx2(+)	LINE/LTR
sidd	chr3:129415091-129415248	Gm5712	+	Distal Intergenic	miR-1/206 (1), miR-101 (2), miR-144 (1), miR-21/590 (1)	miR-196 (1), miR-200bc/429 (1), miR-221/222 (1), miR-532 (1), miR-655 (2), miR-758 (1)			LTR@MT2B(-)	LINE/LTR
sidd	chr3:129435026-129435164	Gm5712	+	Promoter (1-2kb)	miR-325 (1)	miR-186 (1), miR-203a (2)			LINE@L1M2(-), LINE@L1_Mus3(-)	LINE/LTR
sidd	chr3:129457042-129457191	Rpl7a-ps7	+	Distal Intergenic	miR-216a (1), miR-217 (1), miR-221/222 (1), miR-448 (1), miR-873 (1)	miR-202 (1)			LTR@MERVL_2A-int(+)	LINE/LTR
sidd	chr3:130097355-130097489	Gm42663	+	Distal Intergenic		miR-186 (1), miR-26 (1), miR-410 (1)			LINE@L1_Mus1(-)	LINE/LTR
sidd	chr3:130342540-130342708	Col25a1	+	Intron	miR-376ab (1), miR-382 (1)	miR-190 (1), miR-203a (2), miR-369 (1), miR-374 (3), miR-655 (1)			LINE@Lx2A1(+)	LINE/LTR
sidd	chr3:130394597-130394731	Col25a1	+	Intron	miR-154 (1), miR-218 (1), miR-330 (1), miR-539 (1)	miR-134 (1)			LTR@MTD(-), LINE@Lx4A(-)	LINE/LTR
sidd	chr3:130657471-130657602	Etnppl	+	Distal Intergenic	miR-186 (1)	miR-1251 (1)			LINE@Lx2B2(+), LINE@Lx2(-), LINE@Lx2(+)	LINE/LTR
sidd	chr3:130670211-130670405	Ostc	-	Distal Intergenic	miR-186 (1), miR-203a (1)	miR-181 (1), miR-23 (1)			LINE@L1Md_F3(+)	LINE/LTR
sidd	chr3:130946497-130946601	2010110G14Rik	-	Distal Intergenic	miR-876 (1)	miR-670 (1)		dELS@EM10E0744616, dELS@EM10E0744617		cCRE
sidd	chr3:131034108-131034255	A430072C10Rik	-	Distal Intergenic		miR-138 (1), miR-203a (1)			LTR@ORR1A4(-)	LINE/LTR
sidd	chr3:131559471-131559618	Papss1	+	Distal Intergenic		miR-383 (1)			LTR@RLTR9F(-), LINE@L1MC3(-)	LINE/LTR
sidd	chr3:131835328-131835473	Olfr375-ps1	-	Intron	miR-203a (2), miR-382 (1)				LINE@L1_Mus3(+)	LINE/LTR
sidd	chr3:131875319-131875429	Olfr375-ps1	-	Intron	miR-203a (1), miR-29 (1)	miR-137 (1), miR-138 (1)			LINE@L1Md_A(+), LINE@L1Md_F3(+)	LINE/LTR
sidd	chr3:131907469-131907642	Olfr375-ps1	-	Intron	miR-374 (1)	miR-186 (1)			LINE@L2a(+), LTR@ORR1A2(-)	LINE/LTR
sidd	chr3:132010726-132010900	Gm22421	-	Intron	miR-493 (1), miR-496 (1), miR-670 (1)	miR-142 (1), miR-340 (1), miR-493 (1)	miR-493		LINE@L1Md_F2(-)	LINE/LTR
sidd	chr3:132299598-132299749	Gm42880	-	Distal Intergenic	miR-33 (1), miR-448 (1)	miR-142 (1), miR-217 (1)			LINE@L1Md_F2(+)	LINE/LTR
sidd	chr3:132319450-132319598	Gm42880	-	Distal Intergenic	miR-323a (1), miR-340 (1)	let-7/miR-98 (1), miR-190 (1)			LTR@ORR1A2(+)	LINE/LTR
sidd	chr3:132349581-132349716	Gm42880	-	Distal Intergenic	miR-122 (1), miR-146 (1), miR-194 (1), miR-490 (1)				LINE@Lx3A(+)	LINE/LTR
sidd	chr3:132617996-132618200	Gimd1	+	Distal Intergenic	miR-125 (1), miR-539 (1)	miR-142 (1), miR-190 (1), miR-296 (1), miR-448 (1), miR-494 (1)			LINE@Lx7(-)	LINE/LTR
sidd	chr3:132829103-132829260	Gm9403	+	Intron		miR-361 (1), miR-505 (1)			LINE@L1Md_T(-)	LINE/LTR
sidd	chr3:132941933-132942081	Gm23196	+	Promoter (2-3kb)	miR-488 (1), miR-670 (1)	miR-203a (1)			LTR@RLTR12A(+), LINE@L1Md_F2(-)	LINE/LTR
sidd	chr3:132994973-132995118	Gstcd	-	Intron	miR-203a (1)				LINE@L1Md_F2(+)	LINE/LTR
sidd	chr3:133103296-133103487	Ints12	+	Promoter (2-3kb)	miR-203a (1), miR-216b (1)	miR-186 (1), miR-203a (2), miR-544a (1)	miR-203a		LINE@L1_Mus2(-), LINE@L1_Mus3(+)	LINE/LTR
sidd	chr3:133174578-133174720	Arhgef38	-	Intron	miR-148/152 (1)	miR-203a (2)			LINE@Lx2(-)	LINE/LTR
sidd	chr3:133180580-133180712	Arhgef38	-	Intron	miR-1193 (1), miR-142 (1), miR-196 (1)	miR-192/215 (1), miR-203a (2), miR-758 (1), miR-876 (1)			LINE@L1_Mus3(-), LINE@L1_Mus3(+)	LINE/LTR
sidd	chr3:133273616-133273756	Gm43254	-	Distal Intergenic		miR-495 (2)			LINE@Lx(-)	LINE/LTR
sidd	chr3:133700382-133700503	Gm40153	-	Distal Intergenic	miR-185 (1)				LINE@L1VL4(+), LINE@L1_Mus4(+)	LINE/LTR
sidd	chr3:133845021-133845175	Gm30484	-	Intron	miR-338 (1), miR-876 (1)	miR-186 (1)			LINE@Lx(-), LINE@Lx(-)	LINE/LTR
sidd	chr3:134019922-134020055	Gm26691	-	Intron	miR-145 (1), miR-183 (1)	miR-203a (2)			LTR@ORR1F(-), LINE@Lx(-)	LINE/LTR
sidd	chr3:134035862-134035979	Gm26691	-	Intron	miR-361 (1), miR-382 (1)	miR-186 (2), miR-490 (1)			LINE@Lx(-)	LINE/LTR
sidd	chr3:134065312-134065424	Gm26691	-	Intron	miR-532 (1)	miR-203a (1)			LINE@L1Md_F(-), LINE@L1Md_A(-), LINE@L1Md_F(-), LINE@Lx7(-)	LINE/LTR
sidd	chr3:134162153-134162312	Gm43192	+	Promoter (1-2kb)	miR-325 (1), miR-409 (1), miR-493 (1), miR-875 (1)	miR-29 (1), miR-493 (1)	miR-493		LINE@Lx(-)	LINE/LTR
sidd	chr3:134162595-134162787	Gm43192	+	Promoter (2-3kb)	miR-203a (1)	miR-137 (1), miR-155 (1), miR-200bc/429 (1), miR-539 (1)			LINE@Lx(-)	LINE/LTR
sidd	chr3:134215226-134215353	Gm30648	+	Intron	miR-186 (2), miR-203a (1)	miR-1197 (1)			LINE@Lx3_Mus(+)	LINE/LTR
sidd	chr3:134236044-134236140	Cxxc4	+	Promoter (<=1kb)	miR-188 (1)			pELS@EM10E0745238, pELS@EM10E0745239		cCRE
sidd	chr3:134255304-134255447	Gm26691	-	Intron		miR-203a (2), miR-296 (1)			LINE@L1_Mus1(-), LINE@L1_Mus3(-)	LINE/LTR
sidd	chr3:134280560-134280775	Gm43559	-	Distal Intergenic	miR-188 (1), miR-204/211 (1), miR-378a (1), miR-760 (1)	miR-340 (1), miR-374 (1), miR-455 (1), miR-483 (1)			LINE@Lx3B(+), LTR@RMER17C(+)	LINE/LTR
sidd	chr3:134684467-134684609	Gm26820	-	Distal Intergenic	miR-203a (2)	miR-204/211 (1)			LINE@Lx(+), LINE@L1_Mur2(+), LINE@L1Md_A(+)	LINE/LTR
