Flipon	Coordinates	cCRE (+-200bp)
z-dna	chr11:115250072-115250087	dELS@EM10E0525532, dELS (CTCF-bound)@EM10E0525533
z-dna	chr11:115250209-115250227	dELS (CTCF-bound)@EM10E0525533
z-dna	chr11:115250236-115250250	dELS (CTCF-bound)@EM10E0525533
z-dna	chr11:115250496-115250512	dELS (CTCF-bound)@EM10E0525533, DNase-H3K4me3@EM10E0525534
z-dna	chr11:115266438-115266451	pELS@EM10E0525542
z-dna	chr11:115266732-115266747	pELS@EM10E0525542
z-dna	chr11:115348988-115349001	dELS@EM10E0525598
z-dna	chr11:115374293-115374308	dELS@EM10E0525609, dELS (CTCF-bound)@EM10E0525610
z-dna	chr11:115382294-115382307	pELS@EM10E0525617, pELS (CTCF-bound)@EM10E0525618
z-dna	chr11:115393867-115393886	dELS (CTCF-bound)@EM10E0525626
z-dna	chr11:115859468-115859481	pELS (CTCF-bound)@EM10E0526003, pELS (CTCF-bound)@EM10E0526004
z-dna	chr11:115859610-115859625	pELS (CTCF-bound)@EM10E0526003, pELS (CTCF-bound)@EM10E0526004
z-dna	chr11:115974968-115974988	PLS (CTCF-bound)@EM10E0526081
z-dna	chr11:115975095-115975113	PLS (CTCF-bound)@EM10E0526081, pELS@EM10E0526082
z-dna	chr11:116109539-116109554	pELS@EM10E0526194, pELS (CTCF-bound)@EM10E0526195
z-dna	chr11:116109609-116109624	pELS (CTCF-bound)@EM10E0526195
z-dna	chr11:116238058-116238073	PLS@EM10E0526283
z-dna	chr11:116334274-116334287	pELS@EM10E0526343, pELS@EM10E0526344
z-dna	chr11:116531874-116531889	PLS@EM10E0526512
z-dna	chr11:116533381-116533401	PLS (CTCF-bound)@EM10E0526516, pELS (CTCF-bound)@EM10E0526517
z-dna	chr11:116533555-116533570	pELS (CTCF-bound)@EM10E0526517
z-dna	chr11:116533911-116533924	pELS (CTCF-bound)@EM10E0526518
z-dna	chr11:116580828-116580847	pELS@EM10E0526553, pELS (CTCF-bound)@EM10E0526554
z-dna	chr11:116580913-116580934	pELS (CTCF-bound)@EM10E0526554
z-dna	chr11:116581053-116581076	pELS (CTCF-bound)@EM10E0526554, PLS@EM10E0526555
z-dna	chr11:116653974-116653987	PLS@EM10E0526624
z-dna	chr11:116654041-116654083	PLS@EM10E0526625, PLS@EM10E0526624
z-dna	chr11:116654376-116654393	PLS@EM10E0526625, pELS@EM10E0526626
z-dna	chr11:116654444-116654492	PLS@EM10E0526625, pELS@EM10E0526626
z-dna	chr11:116694385-116694402	pELS@EM10E0526664, pELS (CTCF-bound)@EM10E0526665, PLS (CTCF-bound)@EM10E0526666
z-dna	chr11:116694686-116694699	PLS (CTCF-bound)@EM10E0526666, PLS@EM10E0526667
z-dna	chr11:116918731-116918744	pELS (CTCF-bound)@EM10E0526781, PLS (CTCF-bound)@EM10E0526782
z-dna	chr11:116918959-116918974	PLS (CTCF-bound)@EM10E0526782, pELS@EM10E0526783
z-dna	chr11:116919002-116919018	PLS (CTCF-bound)@EM10E0526782, pELS@EM10E0526783
z-dna	chr11:116919291-116919304	pELS@EM10E0526783, pELS@EM10E0526784
z-dna	chr11:116919309-116919326	pELS@EM10E0526783, pELS@EM10E0526784
z-dna	chr11:116985709-116985724	dELS@EM10E0526814
z-dna	chr11:117156916-117156933	dELS@EM10E0526950
z-dna	chr11:117232039-117232054	pELS@EM10E0526995, PLS@EM10E0526996
z-dna	chr11:117415312-117415325	pELS@EM10E0527187, pELS@EM10E0527188
z-dna	chr11:117931173-117931191	dELS@EM10E0527514, dELS@EM10E0527515
z-dna	chr11:117931365-117931378	dELS@EM10E0527515
z-dna	chr11:118355089-118355102	pELS@EM10E0527811, PLS (CTCF-bound)@EM10E0527812
z-dna	chr11:118470560-118470583	dELS@EM10E0527890, dELS@EM10E0527891
z-dna	chr11:118491055-118491068	dELS (CTCF-bound)@EM10E0527907
z-dna	chr11:118503307-118503324	dELS@EM10E0527911
z-dna	chr11:118569710-118569731	dELS (CTCF-bound)@EM10E0527933
z-dna	chr11:118569864-118569882	dELS (CTCF-bound)@EM10E0527933
z-dna	chr11:118569975-118570022	dELS (CTCF-bound)@EM10E0527933
z-dna	chr11:118757914-118757933	dELS@EM10E0527982
z-dna	chr11:118793804-118793819	dELS@EM10E0527998
z-dna	chr11:118908611-118908624	pELS (CTCF-bound)@EM10E0528047, pELS (CTCF-bound)@EM10E0528048
z-dna	chr11:118908941-118908963	pELS (CTCF-bound)@EM10E0528048, pELS@EM10E0528049
z-dna	chr11:118909091-118909106	pELS@EM10E0528049, pELS@EM10E0528050
z-dna	chr11:118910131-118910146	pELS@EM10E0528052
z-dna	chr11:118957374-118957394	dELS@EM10E0528060
z-dna	chr11:119022532-119022550	pELS@EM10E0528085
z-dna	chr11:119023312-119023343	PLS (CTCF-bound)@EM10E0528086, pELS@EM10E0528087, pELS@EM10E0528088
z-dna	chr11:119023502-119023515	pELS@EM10E0528087, pELS@EM10E0528088, pELS@EM10E0528089
z-dna	chr11:119037248-119037266	DNase-H3K4me3@EM10E0528101, DNase-H3K4me3@EM10E0528102
z-dna	chr11:119037909-119037940	DNase-H3K4me3@EM10E0528103, DNase-H3K4me3@EM10E0528104
z-dna	chr11:119041547-119041562	pELS@EM10E0528109
z-dna	chr11:119041688-119041703	pELS@EM10E0528109, pELS@EM10E0528110
z-dna	chr11:119042582-119042595	pELS@EM10E0528112
z-dna	chr11:119045073-119045091	dELS@EM10E0528119, dELS (CTCF-bound)@EM10E0528120, dELS (CTCF-bound)@EM10E0528121
z-dna	chr11:119053428-119053444	dELS (CTCF-bound)@EM10E0528135, dELS (CTCF-bound)@EM10E0528136
z-dna	chr11:119058279-119058298	dELS@EM10E0528148, dELS (CTCF-bound)@EM10E0528149
z-dna	chr11:119058413-119058430	dELS@EM10E0528148, dELS (CTCF-bound)@EM10E0528149
z-dna	chr11:119058672-119058685	dELS (CTCF-bound)@EM10E0528149, dELS (CTCF-bound)@EM10E0528150
z-dna	chr11:119176411-119176457	dELS@EM10E0528238
z-dna	chr11:119227898-119227911	pELS@EM10E0528280
z-dna	chr11:119227988-119228001	pELS@EM10E0528280, pELS@EM10E0528281
z-dna	chr11:119315954-119315984	pELS (CTCF-bound)@EM10E0528330
z-dna	chr11:119515251-119515271	dELS (CTCF-bound)@EM10E0528391
z-dna	chr11:119546911-119546926	pELS@EM10E0528410
z-dna	chr11:119547555-119547578	pELS@EM10E0528411, PLS@EM10E0528412
z-dna	chr11:119547954-119547988	PLS@EM10E0528412, pELS@EM10E0528413
z-dna	chr11:119549721-119549736	pELS@EM10E0528417
z-dna	chr11:119603530-119603550	pELS@EM10E0528439, pELS@EM10E0528440
z-dna	chr11:119942672-119942697	pELS (CTCF-bound)@EM10E0528623, PLS (CTCF-bound)@EM10E0528624
z-dna	chr11:120012000-120012030	dELS (CTCF-bound)@EM10E0528667, dELS@EM10E0528668
z-dna	chr11:120013154-120013201	pELS (CTCF-bound)@EM10E0528671
z-dna	chr11:120047081-120047094	pELS@EM10E0528695, PLS@EM10E0528696, pELS@EM10E0528697
z-dna	chr11:120047174-120047194	pELS@EM10E0528695, PLS@EM10E0528696, pELS@EM10E0528697
z-dna	chr11:120065796-120065812	dELS (CTCF-bound)@EM10E0528708
z-dna	chr11:120067952-120067967	CTCF-only (CTCF-bound)@EM10E0528709
z-dna	chr11:120185451-120185470	dELS (CTCF-bound)@EM10E0528781, dELS@EM10E0528782
z-dna	chr11:120186029-120186046	dELS@EM10E0528782, dELS@EM10E0528783
z-dna	chr11:120186864-120186879	pELS@EM10E0528785
z-dna	chr11:120189404-120189421	pELS@EM10E0528791, pELS@EM10E0528792, pELS@EM10E0528793
z-dna	chr11:120189765-120189781	pELS@EM10E0528793, pELS (CTCF-bound)@EM10E0528794
z-dna	chr11:120190111-120190124	pELS (CTCF-bound)@EM10E0528794
z-dna	chr11:120230106-120230122	pELS@EM10E0528829
z-dna	chr11:120230993-120231010	pELS (CTCF-bound)@EM10E0528831
z-dna	chr11:120231434-120231449	PLS@EM10E0528832
z-dna	chr11:120233811-120233826	pELS@EM10E0528835, pELS@EM10E0528836
z-dna	chr11:120234019-120234039	pELS@EM10E0528836, pELS@EM10E0528837
z-dna	chr11:120234272-120234290	pELS@EM10E0528837
z-dna	chr11:120234833-120234852	pELS@EM10E0528838, pELS@EM10E0528839
z-dna	chr11:120236436-120236488	PLS@EM10E0528843
z-dna	chr11:120236642-120236672	PLS@EM10E0528843, PLS@EM10E0528844
z-dna	chr11:120236975-120236998	PLS@EM10E0528844, pELS@EM10E0528845
z-dna	chr11:120237690-120237703	pELS@EM10E0528846, pELS@EM10E0528847
z-dna	chr11:120280756-120280777	dELS (CTCF-bound)@EM10E0528900, dELS@EM10E0528901
z-dna	chr11:120305384-120305411	dELS (CTCF-bound)@EM10E0528918, dELS@EM10E0528919
z-dna	chr11:120305418-120305437	dELS (CTCF-bound)@EM10E0528918, dELS@EM10E0528919
z-dna	chr11:120305469-120305484	dELS (CTCF-bound)@EM10E0528918, dELS@EM10E0528919
z-dna	chr11:120530601-120530620	pELS@EM10E0529067, PLS@EM10E0529068
z-dna	chr11:120659858-120659877	pELS@EM10E0529165, pELS@EM10E0529166
z-dna	chr11:120660314-120660330	pELS@EM10E0529166, PLS (CTCF-bound)@EM10E0529167
z-dna	chr11:120660654-120660672	PLS (CTCF-bound)@EM10E0529167, PLS (CTCF-bound)@EM10E0529168
z-dna	chr11:120660684-120660697	PLS (CTCF-bound)@EM10E0529167, PLS (CTCF-bound)@EM10E0529168
z-dna	chr11:120721446-120721466	pELS (CTCF-bound)@EM10E0529215, PLS (CTCF-bound)@EM10E0529216
z-dna	chr11:120721597-120721614	PLS (CTCF-bound)@EM10E0529216, pELS (CTCF-bound)@EM10E0529217
z-dna	chr11:120721720-120721733	PLS (CTCF-bound)@EM10E0529216, pELS (CTCF-bound)@EM10E0529217
z-dna	chr11:120721771-120721788	PLS (CTCF-bound)@EM10E0529216, pELS (CTCF-bound)@EM10E0529217
z-dna	chr11:120949625-120949640	pELS@EM10E0529332
z-dna	chr11:121118409-121118425	pELS (CTCF-bound)@EM10E0529417
z-dna	chr11:121156793-121156810	DNase-H3K4me3@EM10E0529430, DNase-H3K4me3@EM10E0529431
z-dna	chr11:121388176-121388193	pELS (CTCF-bound)@EM10E0529492, PLS@EM10E0529493
z-dna	chr11:121702977-121702996	pELS@EM10E0529607
z-dna	chr12:3982019-3982038	dELS (CTCF-bound)@EM10E0529989
z-dna	chr12:4038483-4038504	pELS@EM10E0530014, pELS (CTCF-bound)@EM10E0530015
z-dna	chr12:4038562-4038579	pELS@EM10E0530014, pELS (CTCF-bound)@EM10E0530015, PLS (CTCF-bound)@EM10E0530016
z-dna	chr12:5374283-5374304	pELS@EM10E0530359
z-dna	chr12:5374599-5374616	pELS@EM10E0530359
z-dna	chr12:5374725-5374740	pELS@EM10E0530359, pELS@EM10E0530360
z-dna	chr12:5375563-5375577	pELS (CTCF-bound)@EM10E0530361, PLS@EM10E0530362
z-dna	chr12:5375872-5375885	PLS@EM10E0530362
z-dna	chr12:8298031-8298046	DNase-H3K4me3@EM10E0530508, DNase-H3K4me3@EM10E0530509
z-dna	chr12:8298530-8298545	DNase-H3K4me3@EM10E0530510
z-dna	chr12:8298630-8298645	DNase-H3K4me3@EM10E0530510, DNase-H3K4me3@EM10E0530511
z-dna	chr12:8298854-8298869	DNase-H3K4me3@EM10E0530511
z-dna	chr12:8301603-8301619	DNase-H3K4me3@EM10E0530518, PLS@EM10E0530519
z-dna	chr12:8772474-8772489	pELS@EM10E0530708, pELS (CTCF-bound)@EM10E0530709
z-dna	chr12:8948136-8948157	PLS (CTCF-bound)@EM10E0530820
z-dna	chr12:8948214-8948229	PLS (CTCF-bound)@EM10E0530820
z-dna	chr12:9579709-9579722	dELS (CTCF-bound)@EM10E0530910, dELS@EM10E0530911
z-dna	chr12:9580937-9580987	dELS@EM10E0530913, dELS@EM10E0530914
z-dna	chr12:9581361-9581376	dELS@EM10E0530914, dELS@EM10E0530915
z-dna	chr12:9584940-9584955	dELS@EM10E0530921
z-dna	chr12:9585011-9585027	dELS@EM10E0530921, dELS@EM10E0530922
z-dna	chr12:11150145-11150164	pELS@EM10E0531017, PLS (CTCF-bound)@EM10E0531018
z-dna	chr12:11150480-11150500	PLS (CTCF-bound)@EM10E0531018, PLS@EM10E0531019
z-dna	chr12:11150530-11150545	PLS (CTCF-bound)@EM10E0531018, PLS@EM10E0531019
z-dna	chr12:11438154-11438169	PLS@EM10E0531085
z-dna	chr12:11456089-11456102	PLS (CTCF-bound)@EM10E0531086, pELS (CTCF-bound)@EM10E0531087
z-dna	chr12:12904977-12905032	PLS@EM10E0531328, pELS@EM10E0531329
z-dna	chr12:12937361-12937376	dELS@EM10E0531339
z-dna	chr12:12941733-12941754	pELS@EM10E0531351, PLS (CTCF-bound)@EM10E0531352
z-dna	chr12:14149472-14149485	dELS@EM10E0531495, dELS@EM10E0531496, dELS@EM10E0531497
z-dna	chr12:14149748-14149764	dELS@EM10E0531497
z-dna	chr12:14150211-14150224	pELS (CTCF-bound)@EM10E0531498
z-dna	chr12:14152059-14152072	PLS@EM10E0531502
z-dna	chr12:16653849-16653862	PLS@EM10E0531817, pELS@EM10E0531818
z-dna	chr12:16653918-16653933	PLS@EM10E0531817, pELS@EM10E0531818
z-dna	chr12:16654068-16654086	pELS@EM10E0531818
z-dna	chr12:16800565-16800589	pELS@EM10E0531851, PLS (CTCF-bound)@EM10E0531852, PLS@EM10E0531853
z-dna	chr12:17175748-17175761	pELS@EM10E0532006, pELS@EM10E0532007
z-dna	chr12:17176345-17176361	pELS (CTCF-bound)@EM10E0532008, pELS (CTCF-bound)@EM10E0532009
z-dna	chr12:17176640-17176655	pELS (CTCF-bound)@EM10E0532009
z-dna	chr12:17324732-17324749	DNase-H3K4me3@EM10E0532054, PLS@EM10E0532055, DNase-H3K4me3@EM10E0532056
z-dna	chr12:17691131-17691147	PLS@EM10E0532193, pELS (CTCF-bound)@EM10E0532194
z-dna	chr12:17992625-17992640	DNase-H3K4me3 (CTCF-bound)@EM10E0532284
z-dna	chr12:17992884-17992903	DNase-H3K4me3 (CTCF-bound)@EM10E0532284
z-dna	chr12:17992963-17992983	DNase-H3K4me3 (CTCF-bound)@EM10E0532284
z-dna	chr12:17993026-17993042	DNase-H3K4me3 (CTCF-bound)@EM10E0532284
z-dna	chr12:18135671-18135686	DNase-H3K4me3 (CTCF-bound)@EM10E0532286, DNase-H3K4me3 (CTCF-bound)@EM10E0532287
z-dna	chr12:18135947-18135967	DNase-H3K4me3 (CTCF-bound)@EM10E0532287, PLS@EM10E0532288
z-dna	chr12:18136011-18136030	DNase-H3K4me3 (CTCF-bound)@EM10E0532287, PLS@EM10E0532288
z-dna	chr12:18387366-18387381	DNase-H3K4me3@EM10E0532295
z-dna	chr12:18387500-18387519	DNase-H3K4me3@EM10E0532295
z-dna	chr12:18387579-18387599	DNase-H3K4me3@EM10E0532295
z-dna	chr12:18387642-18387658	DNase-H3K4me3@EM10E0532295
z-dna	chr12:18391036-18391049	dELS@EM10E0532297
z-dna	chr12:18514569-18514588	PLS (CTCF-bound)@EM10E0532298
z-dna	chr12:18514631-18514647	PLS (CTCF-bound)@EM10E0532298
z-dna	chr12:19175634-19175649	pELS@EM10E0532305
z-dna	chr12:19175975-19175994	pELS@EM10E0532305, PLS@EM10E0532306
z-dna	chr12:19288553-19288572	PLS@EM10E0532309
z-dna	chr12:19288632-19288649	PLS@EM10E0532309
z-dna	chr12:19288694-19288710	PLS@EM10E0532309
z-dna	chr12:19606681-19606698	DNase-H3K4me3@EM10E0532313
z-dna	chr12:19606760-19606780	DNase-H3K4me3@EM10E0532313
z-dna	chr12:19606822-19606838	DNase-H3K4me3@EM10E0532313
z-dna	chr12:19704124-19704144	DNase-H3K4me3@EM10E0532315
z-dna	chr12:19882226-19882242	DNase-H3K4me3@EM10E0532319
z-dna	chr12:19882409-19882425	DNase-H3K4me3@EM10E0532319
z-dna	chr12:19882446-19882465	DNase-H3K4me3@EM10E0532319
z-dna	chr12:19882708-19882723	DNase-H3K4me3@EM10E0532319
z-dna	chr12:19954324-19954344	pELS@EM10E0532321
z-dna	chr12:19954386-19954402	pELS@EM10E0532321
z-dna	chr12:19954582-19954599	pELS@EM10E0532321
z-dna	chr12:20196403-20196418	DNase-H3K4me3@EM10E0532323
z-dna	chr12:20196672-20196687	DNase-H3K4me3@EM10E0532323
z-dna	chr12:20196747-20196767	DNase-H3K4me3@EM10E0532323
z-dna	chr12:20196810-20196826	DNase-H3K4me3@EM10E0532323
z-dna	chr12:20312261-20312280	DNase-H3K4me3@EM10E0532331, PLS@EM10E0532332
z-dna	chr12:20312593-20312606	PLS@EM10E0532332
z-dna	chr12:20815560-20815576	PLS@EM10E0532339
z-dna	chr12:20815619-20815639	PLS@EM10E0532339
z-dna	chr12:20815703-20815718	PLS@EM10E0532339
z-dna	chr12:21112121-21112138	pELS@EM10E0532357
z-dna	chr12:21784175-21784191	DNase-H3K4me3 (CTCF-bound)@EM10E0532524
z-dna	chr12:21784289-21784304	DNase-H3K4me3 (CTCF-bound)@EM10E0532524
z-dna	chr12:21784407-21784424	DNase-H3K4me3 (CTCF-bound)@EM10E0532524, DNase-H3K4me3 (CTCF-bound)@EM10E0532525
z-dna	chr12:21784485-21784507	DNase-H3K4me3 (CTCF-bound)@EM10E0532524, DNase-H3K4me3 (CTCF-bound)@EM10E0532525
z-dna	chr12:21899052-21899068	DNase-H3K4me3@EM10E0532526
z-dna	chr12:21899190-21899209	DNase-H3K4me3@EM10E0532526
z-dna	chr12:22156584-22156605	DNase-H3K4me3@EM10E0532528
z-dna	chr12:22745562-22745581	DNase-H3K4me3@EM10E0532529
z-dna	chr12:22745640-22745659	DNase-H3K4me3@EM10E0532529
z-dna	chr12:22745907-22745924	DNase-H3K4me3@EM10E0532529
z-dna	chr12:22906068-22906085	DNase-H3K4me3@EM10E0532530
z-dna	chr12:22906253-22906269	DNase-H3K4me3@EM10E0532530
z-dna	chr12:22906311-22906331	DNase-H3K4me3@EM10E0532530
z-dna	chr12:23009875-23009892	PLS@EM10E0532531
z-dna	chr12:23010116-23010135	PLS@EM10E0532531, PLS@EM10E0532532
z-dna	chr12:23010191-23010215	PLS@EM10E0532532
z-dna	chr12:23010457-23010473	PLS@EM10E0532532
z-dna	chr12:23189487-23189503	DNase-H3K4me3@EM10E0532534
z-dna	chr12:23189546-23189566	DNase-H3K4me3@EM10E0532534
z-dna	chr12:23189736-23189751	DNase-H3K4me3@EM10E0532534
z-dna	chr12:23189888-23189903	DNase-H3K4me3@EM10E0532534
z-dna	chr12:23800798-23800815	DNase-H3K4me3@EM10E0532536
z-dna	chr12:23801140-23801153	DNase-H3K4me3@EM10E0532536
z-dna	chr12:24096975-24096992	PLS@EM10E0532537
z-dna	chr12:24097119-24097136	PLS@EM10E0532537
z-dna	chr12:24097196-24097216	PLS@EM10E0532537
z-dna	chr12:24097462-24097477	PLS@EM10E0532537
z-dna	chr12:24252272-24252288	PLS@EM10E0532538
z-dna	chr12:24252332-24252349	PLS@EM10E0532538
z-dna	chr12:24252410-24252425	PLS@EM10E0532538, DNase-H3K4me3@EM10E0532539
z-dna	chr12:24252680-24252693	DNase-H3K4me3@EM10E0532539
z-dna	chr12:24680627-24680642	PLS (CTCF-bound)@EM10E0532605
z-dna	chr12:24680907-24680922	PLS (CTCF-bound)@EM10E0532605
z-dna	chr12:24831417-24831433	pELS (CTCF-bound)@EM10E0532652, PLS (CTCF-bound)@EM10E0532653
z-dna	chr12:24831590-24831603	pELS (CTCF-bound)@EM10E0532652, PLS (CTCF-bound)@EM10E0532653
z-dna	chr12:24831886-24831903	PLS (CTCF-bound)@EM10E0532653, pELS@EM10E0532654
z-dna	chr12:24831977-24831991	PLS (CTCF-bound)@EM10E0532653, pELS@EM10E0532654
z-dna	chr12:24832023-24832047	PLS (CTCF-bound)@EM10E0532653, pELS@EM10E0532654
z-dna	chr12:25098397-25098446	pELS@EM10E0532770, pELS@EM10E0532771
z-dna	chr12:25098555-25098568	pELS@EM10E0532770, pELS@EM10E0532771, pELS@EM10E0532772
z-dna	chr12:25098805-25098818	pELS@EM10E0532771, pELS@EM10E0532772
z-dna	chr12:25098956-25098975	pELS@EM10E0532772
z-dna	chr12:25099026-25099046	pELS@EM10E0532772, dELS@EM10E0532773
z-dna	chr12:25100766-25100785	dELS@EM10E0532778, dELS (CTCF-bound)@EM10E0532779, dELS (CTCF-bound)@EM10E0532780
z-dna	chr12:25101146-25101161	dELS (CTCF-bound)@EM10E0532780
z-dna	chr12:25119437-25119455	dELS@EM10E0532787
z-dna	chr12:25267016-25267029	dELS@EM10E0532872, dELS@EM10E0532873
z-dna	chr12:26414864-26414879	pELS@EM10E0533053, PLS (CTCF-bound)@EM10E0533054
z-dna	chr12:27339030-27339043	dELS@EM10E0533232, dELS@EM10E0533233
z-dna	chr12:27339113-27339130	dELS@EM10E0533232, dELS@EM10E0533233
z-dna	chr12:27339144-27339161	dELS@EM10E0533232, dELS@EM10E0533233
z-dna	chr12:27339358-27339386	dELS@EM10E0533233, dELS@EM10E0533234
z-dna	chr12:27341417-27341434	pELS@EM10E0533238, pELS@EM10E0533239, pELS@EM10E0533240
z-dna	chr12:27341606-27341627	pELS@EM10E0533239, pELS@EM10E0533240
z-dna	chr12:27341751-27341770	pELS@EM10E0533239, pELS@EM10E0533240
z-dna	chr12:27341903-27341917	pELS@EM10E0533240, pELS@EM10E0533241
z-dna	chr12:27342088-27342103	pELS@EM10E0533241, PLS@EM10E0533242
z-dna	chr12:27342437-27342453	PLS@EM10E0533242, pELS (CTCF-bound)@EM10E0533243
z-dna	chr12:27342497-27342518	PLS@EM10E0533242, pELS (CTCF-bound)@EM10E0533243
z-dna	chr12:27342680-27342700	PLS@EM10E0533242, pELS (CTCF-bound)@EM10E0533243
z-dna	chr12:27342910-27342940	pELS (CTCF-bound)@EM10E0533243, pELS (CTCF-bound)@EM10E0533244
z-dna	chr12:27343076-27343094	pELS (CTCF-bound)@EM10E0533243, pELS (CTCF-bound)@EM10E0533244, pELS@EM10E0533245
z-dna	chr12:27343140-27343156	pELS (CTCF-bound)@EM10E0533243, pELS (CTCF-bound)@EM10E0533244, pELS@EM10E0533245
z-dna	chr12:27343220-27343236	pELS (CTCF-bound)@EM10E0533244, pELS@EM10E0533245
z-dna	chr12:27343275-27343291	pELS (CTCF-bound)@EM10E0533244, pELS@EM10E0533245
z-dna	chr12:27357078-27357097	dELS@EM10E0533249, dELS (CTCF-bound)@EM10E0533250
z-dna	chr12:28607847-28607861	dELS@EM10E0533368, dELS (CTCF-bound)@EM10E0533369
z-dna	chr12:29534951-29534968	pELS (CTCF-bound)@EM10E0533590
z-dna	chr12:29535100-29535114	pELS (CTCF-bound)@EM10E0533590, pELS@EM10E0533591
z-dna	chr12:29937968-29937987	PLS (CTCF-bound)@EM10E0533673, pELS (CTCF-bound)@EM10E0533674
z-dna	chr12:29938006-29938019	PLS (CTCF-bound)@EM10E0533673, pELS (CTCF-bound)@EM10E0533674
z-dna	chr12:29938064-29938079	PLS (CTCF-bound)@EM10E0533673, pELS (CTCF-bound)@EM10E0533674
z-dna	chr12:29938100-29938113	PLS (CTCF-bound)@EM10E0533673, pELS (CTCF-bound)@EM10E0533674
z-dna	chr12:29938141-29938156	PLS (CTCF-bound)@EM10E0533673, pELS (CTCF-bound)@EM10E0533674
z-dna	chr12:30373152-30373171	pELS (CTCF-bound)@EM10E0533744, PLS (CTCF-bound)@EM10E0533745
z-dna	chr12:30373230-30373260	pELS (CTCF-bound)@EM10E0533744, PLS (CTCF-bound)@EM10E0533745
z-dna	chr12:30373290-30373305	pELS (CTCF-bound)@EM10E0533744, PLS (CTCF-bound)@EM10E0533745
z-dna	chr12:30373602-30373615	PLS (CTCF-bound)@EM10E0533745
z-dna	chr12:30884489-30884511	PLS@EM10E0533775, pELS@EM10E0533776
z-dna	chr12:30884708-30884723	PLS@EM10E0533775, pELS@EM10E0533776
z-dna	chr12:30884780-30884804	PLS@EM10E0533775, pELS@EM10E0533776
z-dna	chr12:31074038-31074051	PLS@EM10E0533805, pELS@EM10E0533806
z-dna	chr12:31265229-31265244	PLS@EM10E0533884
z-dna	chr12:31265768-31265786	pELS@EM10E0533885, pELS@EM10E0533886
z-dna	chr12:31266191-31266211	pELS@EM10E0533886, pELS@EM10E0533887
z-dna	chr12:31266257-31266290	pELS@EM10E0533886, pELS@EM10E0533887
z-dna	chr12:31559100-31559115	DNase-H3K4me3@EM10E0533988
z-dna	chr12:32060891-32060907	PLS (CTCF-bound)@EM10E0534153, PLS (CTCF-bound)@EM10E0534154
z-dna	chr12:32061084-32061099	PLS (CTCF-bound)@EM10E0534154, PLS@EM10E0534155
z-dna	chr12:32533582-32533598	CTCF-only (CTCF-bound)@EM10E0534307
z-dna	chr12:32929996-32930019	pELS@EM10E0534405, pELS@EM10E0534406
z-dna	chr12:33131519-33131548	dELS@EM10E0534495
z-dna	chr12:33957607-33957622	PLS@EM10E0534660
z-dna	chr12:33958341-33958358	pELS (CTCF-bound)@EM10E0534662, pELS@EM10E0534663
z-dna	chr12:33958862-33958894	pELS@EM10E0534664
z-dna	chr12:34040787-34040819	dELS@EM10E0534689
z-dna	chr12:34040833-34040865	dELS@EM10E0534689
z-dna	chr12:34906712-34906725	dELS@EM10E0534789, dELS@EM10E0534790
z-dna	chr12:34906937-34906963	dELS@EM10E0534790, dELS@EM10E0534791
z-dna	chr12:34906975-34906990	dELS@EM10E0534790, dELS@EM10E0534791
z-dna	chr12:34907207-34907226	dELS@EM10E0534791, dELS (CTCF-bound)@EM10E0534792
z-dna	chr12:34907386-34907409	dELS@EM10E0534791, dELS (CTCF-bound)@EM10E0534792, dELS (CTCF-bound)@EM10E0534793
z-dna	chr12:35331725-35331738	CTCF-only (CTCF-bound)@EM10E0534879
z-dna	chr12:37108697-37108715	PLS@EM10E0535118
z-dna	chr12:37109249-37109272	pELS (CTCF-bound)@EM10E0535119, pELS@EM10E0535120
z-dna	chr12:40134064-40134084	pELS (CTCF-bound)@EM10E0535324, PLS@EM10E0535325
z-dna	chr12:44328892-44328909	pELS@EM10E0535657, PLS@EM10E0535658
z-dna	chr12:44328918-44328934	PLS@EM10E0535658
z-dna	chr12:44328946-44328965	PLS@EM10E0535658, pELS (CTCF-bound)@EM10E0535659
z-dna	chr12:44329336-44329349	pELS (CTCF-bound)@EM10E0535659, pELS (CTCF-bound)@EM10E0535660
z-dna	chr12:44329573-44329594	pELS (CTCF-bound)@EM10E0535660, pELS (CTCF-bound)@EM10E0535661
z-dna	chr12:44330046-44330061	pELS (CTCF-bound)@EM10E0535661, pELS@EM10E0535662
z-dna	chr12:45043001-45043023	dELS@EM10E0535737
z-dna	chr12:45074010-45074027	pELS (CTCF-bound)@EM10E0535748, PLS@EM10E0535749
z-dna	chr12:45074069-45074084	pELS (CTCF-bound)@EM10E0535748, PLS@EM10E0535749, pELS (CTCF-bound)@EM10E0535750
z-dna	chr12:45074086-45074099	pELS (CTCF-bound)@EM10E0535748, PLS@EM10E0535749, pELS (CTCF-bound)@EM10E0535750
z-dna	chr12:45074229-45074242	PLS@EM10E0535749, pELS (CTCF-bound)@EM10E0535750
z-dna	chr12:45074340-45074357	PLS@EM10E0535749, pELS (CTCF-bound)@EM10E0535750
z-dna	chr12:46819183-46819208	PLS (CTCF-bound)@EM10E0535825, pELS@EM10E0535826, pELS@EM10E0535827
z-dna	chr12:46819223-46819237	PLS (CTCF-bound)@EM10E0535825, pELS@EM10E0535826, pELS@EM10E0535827
z-dna	chr12:46819245-46819262	PLS (CTCF-bound)@EM10E0535825, pELS@EM10E0535826, pELS@EM10E0535827
