"Flipon"	"Coordinates"	"miRNA (+)"	"miRNA (-)"	"miRNA (intersection)"
"z-dna"	"chr15:87487589-87487662"	""	""	""
"z-dna"	"chr15:87523521-87523547"	""	""	""
"z-dna"	"chr15:87544141-87544159"	""	""	""
"z-dna"	"chr15:87544245-87544276"	""	""	""
"z-dna"	"chr15:87544390-87544418"	"miR-183 (1), miR-744 (1)"	"miR-296 (1)"	""
"z-dna"	"chr15:87544422-87544440"	""	""	""
"z-dna"	"chr15:87544466-87544484"	""	""	""
"z-dna"	"chr15:87544697-87544717"	""	""	""
"z-dna"	"chr15:87624423-87624439"	""	""	""
"z-dna"	"chr15:87625494-87625512"	""	""	""
"z-dna"	"chr15:87625531-87625544"	""	""	""
"z-dna"	"chr15:87922641-87922664"	""	""	""
"z-dna"	"chr15:87922793-87922818"	""	""	""
"z-dna"	"chr15:87922863-87922890"	""	""	""
"z-dna"	"chr15:87922902-87922921"	""	""	""
"z-dna"	"chr15:88055267-88055291"	"miR-342 (1), miR-377 (1)"	"miR-210 (1)"	""
"z-dna"	"chr15:88055300-88055323"	""	"miR-210 (1)"	""
"z-dna"	"chr15:88259398-88259413"	""	""	""
"z-dna"	"chr15:88489365-88489390"	""	""	""
"z-dna"	"chr15:88489399-88489439"	""	""	""
"z-dna"	"chr15:88489450-88489470"	""	""	""
"z-dna"	"chr15:88678927-88678942"	""	""	""
"z-dna"	"chr15:88936275-88936359"	"miR-218 (1), miR-299 (1)"	""	""
"z-dna"	"chr15:89060009-89060037"	""	"miR-744 (1)"	""
"z-dna"	"chr15:89060170-89060183"	""	""	""
"z-dna"	"chr15:89060306-89060328"	""	""	""
"z-dna"	"chr15:89067737-89067750"	"miR-455 (1)"	""	""
"z-dna"	"chr15:89068680-89068693"	""	""	""
"z-dna"	"chr15:89068714-89068730"	""	""	""
"z-dna"	"chr15:89070563-89070576"	""	""	""
"z-dna"	"chr15:89140396-89140411"	"miR-1306 (1)"	""	""
"z-dna"	"chr15:89140519-89140537"	""	""	""
"z-dna"	"chr15:89160446-89160464"	""	""	""
"z-dna"	"chr15:89167261-89167278"	""	"miR-19 (1)"	""
"z-dna"	"chr15:89167510-89167525"	""	""	""
"z-dna"	"chr15:89379332-89379345"	""	""	""
"z-dna"	"chr15:89410200-89410218"	""	""	""
"z-dna"	"chr15:89454161-89454174"	""	"miR-1249 (1)"	""
"z-dna"	"chr15:89458452-89458470"	""	""	""
"z-dna"	"chr15:89498751-89498768"	""	""	""
"z-dna"	"chr15:89499457-89499471"	""	""	""
"z-dna"	"chr15:89499881-89499898"	""	""	""
"z-dna"	"chr15:89499974-89499993"	""	""	""
"z-dna"	"chr15:89500235-89500253"	""	""	""
"z-dna"	"chr15:89500747-89500761"	""	""	""
"z-dna"	"chr15:89500966-89501002"	""	""	""
"z-dna"	"chr15:89523622-89523637"	""	""	""
"z-dna"	"chr15:89523744-89523763"	""	""	""
"z-dna"	"chr15:89523969-89523984"	""	""	""
"z-dna"	"chr15:89533745-89533778"	""	"miR-377 (1)"	""
"z-dna"	"chr15:89547931-89547950"	""	""	""
"z-dna"	"chr15:89558017-89558036"	""	""	""
"z-dna"	"chr15:89558209-89558232"	""	""	""
"z-dna"	"chr15:89558288-89558305"	""	""	""
"z-dna"	"chr15:89559222-89559241"	""	""	""
"z-dna"	"chr15:89559245-89559268"	""	""	""
"z-dna"	"chr15:89710345-89710363"	""	""	""
"z-dna"	"chr15:89821968-89822009"	""	""	""
"z-dna"	"chr15:89841847-89841862"	""	""	""
"z-dna"	"chr15:89841867-89841881"	""	""	""
"z-dna"	"chr15:89841919-89841938"	""	""	""
"z-dna"	"chr15:90071666-90071687"	""	""	""
"z-dna"	"chr15:90071873-90071888"	""	"miR-218 (1)"	""
"z-dna"	"chr15:90071905-90071933"	"miR-342 (1), miR-377 (1)"	""	""
"z-dna"	"chr15:90085047-90085067"	""	"miR-431 (1)"	""
"z-dna"	"chr15:90089012-90089051"	""	""	""
"z-dna"	"chr15:90089151-90089195"	""	""	""
"z-dna"	"chr15:90089217-90089255"	""	""	""
"z-dna"	"chr15:90089261-90089291"	""	""	""
"z-dna"	"chr15:90089325-90089341"	""	""	""
"z-dna"	"chr15:91049286-91049305"	""	""	""
"z-dna"	"chr15:91049474-91049492"	""	""	""
"z-dna"	"chr15:91049663-91049679"	""	""	""
"z-dna"	"chr15:91049974-91049987"	""	""	""
"z-dna"	"chr15:91228834-91228851"	""	""	""
"z-dna"	"chr15:91292207-91292222"	""	""	""
"z-dna"	"chr15:91406130-91406154"	""	""	""
"z-dna"	"chr15:91406186-91406204"	""	""	""
"z-dna"	"chr15:91406280-91406314"	""	""	""
"z-dna"	"chr15:91477612-91477657"	"miR-329/362 (2)"	""	""
"z-dna"	"chr15:91477661-91477680"	""	""	""
"z-dna"	"chr15:91525276-91525344"	""	""	""
"z-dna"	"chr15:91525363-91525433"	"miR-210 (1)"	"miR-342 (1), miR-377 (1)"	""
"z-dna"	"chr15:91525442-91525465"	""	""	""
"z-dna"	"chr15:91525470-91525520"	""	""	""
"z-dna"	"chr15:91572552-91572568"	""	""	""
"z-dna"	"chr15:91572779-91572794"	""	""	""
"z-dna"	"chr15:91572879-91572894"	""	""	""
"z-dna"	"chr15:91572917-91572937"	""	""	""
"z-dna"	"chr15:92051692-92051709"	"miR-744 (1)"	""	""
"z-dna"	"chr15:92379677-92379705"	"miR-210 (1)"	""	""
"z-dna"	"chr15:92379742-92379767"	""	""	""
"z-dna"	"chr15:92379785-92379815"	""	""	""
"z-dna"	"chr15:92396995-92397014"	""	""	""
"z-dna"	"chr15:92397143-92397160"	""	""	""
"z-dna"	"chr15:92397324-92397342"	""	""	""
"z-dna"	"chr15:92397458-92397476"	""	""	""
"z-dna"	"chr15:9244787-9244801"	"miR-455 (1)"	""	""
"z-dna"	"chr15:92450832-92450858"	""	""	""
"z-dna"	"chr15:92450880-92450906"	"miR-329/362 (1)"	"miR-147 (1)"	""
"z-dna"	"chr15:92451004-92451048"	"miR-329/362 (1)"	"miR-147 (1)"	""
"z-dna"	"chr15:92451092-92451119"	""	""	""
"z-dna"	"chr15:92451150-92451173"	""	""	""
"z-dna"	"chr15:92451178-92451206"	""	""	""
"z-dna"	"chr15:92451459-92451493"	""	""	""
"z-dna"	"chr15:9268308-9268324"	""	""	""
"z-dna"	"chr15:92905487-92905527"	""	""	""
"z-dna"	"chr15:93214978-93215002"	""	""	""
"z-dna"	"chr15:9330005-9330028"	""	""	""
"z-dna"	"chr15:93519180-93519208"	""	""	""
"z-dna"	"chr15:93519389-93519408"	""	""	""
"z-dna"	"chr15:93519528-93519563"	""	""	""
"z-dna"	"chr15:93595691-93595708"	""	""	""
"z-dna"	"chr15:93595760-93595783"	""	""	""
"z-dna"	"chr15:93595813-93595826"	""	""	""
"z-dna"	"chr15:93595896-93595913"	""	""	""
"z-dna"	"chr15:93595971-93595986"	""	""	""
"z-dna"	"chr15:93595998-93596022"	"miR-128 (1)"	""	""
"z-dna"	"chr15:93655721-93655776"	""	""	""
"z-dna"	"chr15:93671947-93671981"	""	""	""
"z-dna"	"chr15:94041563-94041581"	""	""	""
"z-dna"	"chr15:94222400-94222429"	""	""	""
"z-dna"	"chr15:9436777-9436832"	"miR-377 (1)"	"miR-210 (2)"	""
"z-dna"	"chr15:94403667-94403694"	"miR-329/362 (1)"	"miR-210 (1)"	""
"z-dna"	"chr15:94403838-94403857"	""	""	""
"z-dna"	"chr15:94404302-94404330"	""	"miR-744 (1)"	""
"z-dna"	"chr15:94404382-94404397"	"miR-744 (1)"	""	""
"z-dna"	"chr15:94404485-94404511"	""	""	""
"z-dna"	"chr15:94445348-94445375"	""	"miR-539 (1)"	""
"z-dna"	"chr15:94445404-94445426"	""	"miR-377 (1)"	""
"z-dna"	"chr15:94493160-94493173"	""	""	""
"z-dna"	"chr15:94527396-94527414"	""	""	""
"z-dna"	"chr15:94628761-94628807"	""	""	""
"z-dna"	"chr15:94629111-94629125"	""	""	""
"z-dna"	"chr15:94629286-94629301"	""	""	""
"z-dna"	"chr15:94629339-94629356"	""	""	""
"z-dna"	"chr15:94822801-94822827"	""	""	""
"z-dna"	"chr15:94822987-94823013"	""	""	""
"z-dna"	"chr15:94993037-94993083"	""	""	""
"z-dna"	"chr15:9502629-9502643"	"miR-455 (1)"	""	""
"z-dna"	"chr15:95188687-95188722"	""	""	""
"z-dna"	"chr15:95190233-95190254"	""	""	""
"z-dna"	"chr15:95190307-95190328"	"miR-329/362 (2)"	"miR-218 (1)"	""
"z-dna"	"chr15:95190354-95190371"	"miR-329/362 (1)"	"miR-218 (1)"	""
"z-dna"	"chr15:95190391-95190423"	"miR-381 (1)"	"miR-218 (1)"	""
"z-dna"	"chr15:95528014-95528029"	""	""	""
"z-dna"	"chr15:95528056-95528073"	""	""	""
"z-dna"	"chr15:95528141-95528163"	""	""	""
"z-dna"	"chr15:95528201-95528227"	""	""	""
"z-dna"	"chr15:95528333-95528346"	""	""	""
"z-dna"	"chr15:95528484-95528500"	"miR-187 (1)"	""	""
"z-dna"	"chr15:95591390-95591410"	""	""	""
"z-dna"	"chr15:95654412-95654449"	""	""	""
"z-dna"	"chr15:95654572-95654588"	""	""	""
"z-dna"	"chr15:96188818-96188840"	""	""	""
"z-dna"	"chr15:9619177-9619192"	"miR-329/362 (1)"	""	""
"z-dna"	"chr15:96560417-96560441"	"miR-210 (1)"	""	""
"z-dna"	"chr15:96560449-96560478"	"miR-210 (1)"	""	""
"z-dna"	"chr15:96561364-96561379"	""	""	""
"z-dna"	"chr15:96561537-96561554"	""	""	""
"z-dna"	"chr15:96766831-96766848"	"miR-210 (1)"	""	""
"z-dna"	"chr15:97173448-97173461"	""	""	""
"z-dna"	"chr15:97173545-97173565"	""	""	""
"z-dna"	"chr15:97443228-97443245"	""	""	""
"z-dna"	"chr15:97486775-97486792"	""	""	""
"z-dna"	"chr15:97513131-97513149"	""	""	""
"z-dna"	"chr15:97521458-97521526"	"miR-210 (2)"	""	""
"z-dna"	"chr15:97521537-97521572"	""	"miR-329/362 (1)"	""
"z-dna"	"chr15:97521586-97521603"	""	""	""
"z-dna"	"chr15:97521801-97521862"	"miR-210 (2)"	"miR-329/362 (1)"	""
"z-dna"	"chr15:97557454-97557469"	""	"miR-455 (1)"	""
"z-dna"	"chr15:97566869-97566904"	"miR-329/362 (2)"	""	""
"z-dna"	"chr15:97566929-97566955"	"miR-329/362 (1)"	""	""
"z-dna"	"chr15:97566965-97566989"	""	""	""
"z-dna"	"chr15:97567028-97567072"	""	""	""
"z-dna"	"chr15:97625617-97625634"	""	""	""
"z-dna"	"chr15:97908700-97908717"	""	""	""
"z-dna"	"chr15:98111523-98111590"	"miR-199 (1), miR-210 (2)"	""	""
"z-dna"	"chr15:98168545-98168558"	""	""	""
"z-dna"	"chr15:98289426-98289458"	""	""	""
"z-dna"	"chr15:98296024-98296042"	""	""	""
"z-dna"	"chr15:98437408-98437426"	""	""	""
"z-dna"	"chr15:98441688-98441704"	""	""	""
"z-dna"	"chr15:98441711-98441751"	""	""	""
"z-dna"	"chr15:98441785-98441808"	""	""	""
"z-dna"	"chr15:98441849-98441870"	""	""	""
"z-dna"	"chr15:98441896-98441929"	"miR-210 (1)"	""	""
"z-dna"	"chr15:98441963-98441984"	""	""	""
"z-dna"	"chr15:98442041-98442062"	""	""	""
"z-dna"	"chr15:9848688-9848708"	""	""	""
"z-dna"	"chr15:98496528-98496564"	""	"miR-329/362 (1)"	""
"z-dna"	"chr15:98496628-98496667"	""	""	""
"z-dna"	"chr15:98496686-98496711"	""	"miR-329/362 (1)"	""
"z-dna"	"chr15:98496741-98496759"	""	""	""
"z-dna"	"chr15:98496806-98496823"	""	""	""
"z-dna"	"chr15:98496841-98496859"	""	""	""
"z-dna"	"chr15:98496874-98496919"	""	""	""
"z-dna"	"chr15:98496957-98496996"	""	""	""
"z-dna"	"chr15:98497011-98497048"	""	"miR-329/362 (1)"	""
"z-dna"	"chr15:98497080-98497108"	""	""	""
"z-dna"	"chr15:98497132-98497148"	""	""	""
"z-dna"	"chr15:98497165-98497203"	""	"miR-329/362 (1)"	""
"z-dna"	"chr15:98609256-98609272"	""	""	""
"z-dna"	"chr15:98609306-98609327"	""	""	""
"z-dna"	"chr15:98609564-98609582"	""	""	""
"z-dna"	"chr15:98609677-98609691"	""	""	""
"z-dna"	"chr15:98609962-98609977"	""	"miR-329/362 (1)"	""
"z-dna"	"chr15:98634811-98634829"	""	""	""
"z-dna"	"chr15:98635330-98635345"	""	""	""
"z-dna"	"chr15:98635409-98635428"	""	""	""
"z-dna"	"chr15:98789605-98789622"	""	""	""
"z-dna"	"chr15:98789720-98789739"	""	"miR-532 (1)"	""
"z-dna"	"chr15:98792472-98792490"	""	""	""
"z-dna"	"chr15:98792625-98792638"	""	""	""
"z-dna"	"chr15:98792791-98792814"	""	""	""
"z-dna"	"chr15:98792866-98792889"	""	"miR-210 (1)"	""
"z-dna"	"chr15:98805613-98805633"	""	""	""
"z-dna"	"chr15:98807325-98807345"	""	""	""
"z-dna"	"chr15:98807932-98808003"	"miR-210 (1), miR-214 (1)"	"miR-342 (1), miR-377 (1)"	""
"z-dna"	"chr15:98894025-98894042"	""	""	""
"z-dna"	"chr15:98894166-98894200"	""	""	""
"z-dna"	"chr15:98894249-98894262"	""	""	""
"z-dna"	"chr15:98965017-98965036"	""	""	""
"z-dna"	"chr15:9903089-9903104"	""	"miR-210 (1)"	""
"z-dna"	"chr15:99055624-99055642"	""	""	""
"z-dna"	"chr15:99087586-99087599"	""	""	""
"z-dna"	"chr15:99095265-99095281"	"miR-210 (1)"	""	""
"z-dna"	"chr15:99096540-99096553"	""	""	""
"z-dna"	"chr15:99096826-99096844"	""	""	""
"z-dna"	"chr15:99126248-99126278"	""	""	""
"z-dna"	"chr15:99126362-99126386"	""	""	""
"z-dna"	"chr15:99126414-99126431"	""	""	""
"z-dna"	"chr15:99126447-99126464"	""	""	""
"z-dna"	"chr15:99126471-99126499"	""	""	""
"z-dna"	"chr15:99126512-99126555"	""	""	""
"z-dna"	"chr15:99126636-99126651"	""	""	""
"z-dna"	"chr15:99127156-99127171"	"miR-147 (1)"	""	""
"z-dna"	"chr15:99223818-99223833"	""	""	""
"z-dna"	"chr15:99224759-99224784"	""	"miR-652 (1)"	""
"z-dna"	"chr15:99229573-99229619"	""	"miR-377 (1)"	""
"z-dna"	"chr15:99457190-99457203"	""	""	""
"z-dna"	"chr15:99457374-99457387"	""	""	""
"z-dna"	"chr15:99584139-99584158"	""	""	""
"z-dna"	"chr15:99590845-99590860"	""	""	""
"z-dna"	"chr15:99590890-99590903"	""	""	""
"z-dna"	"chr15:99590981-99590996"	""	""	""
"z-dna"	"chr15:99591003-99591023"	""	""	""
"z-dna"	"chr15:99591095-99591114"	"miR-744 (1)"	""	""
"z-dna"	"chr15:99591119-99591132"	""	""	""
"z-dna"	"chr15:99664443-99664462"	""	""	""
"z-dna"	"chr15:99664474-99664500"	"miR-377 (1)"	""	""
"z-dna"	"chr15:99665176-99665275"	""	"miR-210 (1)"	""
"z-dna"	"chr15:99670175-99670222"	"miR-455 (1)"	""	""
"z-dna"	"chr15:99670310-99670350"	"miR-329/362 (1)"	"miR-873 (1)"	""
"z-dna"	"chr15:99670353-99670387"	"miR-377 (1)"	"miR-210 (1)"	""
"z-dna"	"chr15:99670514-99670531"	""	""	""
"z-dna"	"chr15:99670553-99670577"	""	""	""
"z-dna"	"chr15:99670695-99670715"	""	""	""
"z-dna"	"chr15:99671157-99671207"	""	""	""
"z-dna"	"chr15:99875281-99875301"	""	""	""
"z-dna"	"chr15:99945976-99945991"	""	""	""
"z-dna"	"chr16:10100012-10100027"	""	"miR-455 (1)"	""
"z-dna"	"chr16:10187267-10187285"	""	""	""
"z-dna"	"chr16:10361849-10361874"	""	"miR-329/362 (1)"	""
"z-dna"	"chr16:10790421-10790478"	""	""	""
"z-dna"	"chr16:10901660-10901682"	"miR-448 (1)"	"miR-448 (1)"	"miR-448"
"z-dna"	"chr16:11935532-11935557"	"miR-210 (1)"	""	""
"z-dna"	"chr16:11935566-11935586"	""	""	""
"z-dna"	"chr16:11983782-11983801"	""	""	""
"z-dna"	"chr16:11984021-11984036"	""	""	""
"z-dna"	"chr16:11984372-11984387"	""	""	""
"z-dna"	"chr16:11984627-11984644"	"miR-455 (1)"	""	""
"z-dna"	"chr16:11984779-11984792"	""	""	""
"z-dna"	"chr16:12277151-12277175"	""	""	""
"z-dna"	"chr16:12504477-12504517"	""	"miR-377 (1)"	""
"z-dna"	"chr16:12839451-12839465"	"miR-455 (1)"	""	""
"z-dna"	"chr16:13024835-13024877"	""	"miR-210 (1)"	""
"z-dna"	"chr16:13024990-13025009"	""	""	""
"z-dna"	"chr16:13037778-13037824"	""	""	""
"z-dna"	"chr16:13037866-13037896"	""	""	""
"z-dna"	"chr16:13037947-13037965"	""	""	""
"z-dna"	"chr16:13182663-13182678"	""	""	""
"z-dna"	"chr16:13257042-13257059"	"miR-25/32/92/363/367 (1)"	""	""
"z-dna"	"chr16:13437239-13437263"	""	""	""
"z-dna"	"chr16:13437316-13437329"	""	""	""
"z-dna"	"chr16:13448120-13448136"	""	""	""
"z-dna"	"chr16:13553476-13553491"	""	""	""
"z-dna"	"chr16:13940725-13940740"	""	""	""
"z-dna"	"chr16:13940939-13940957"	""	""	""
"z-dna"	"chr16:14292374-14292393"	""	""	""
"z-dna"	"chr16:14657357-14657370"	""	""	""
"z-dna"	"chr16:14705946-14705968"	""	""	""
"z-dna"	"chr16:15217117-15217135"	""	""	""
"z-dna"	"chr16:15370828-15370877"	""	""	""
"z-dna"	"chr16:15757892-15757948"	""	""	""
"z-dna"	"chr16:15825727-15825743"	""	""	""
"z-dna"	"chr16:15887741-15887759"	""	""	""
"z-dna"	"chr16:16044790-16044805"	""	""	""
"z-dna"	"chr16:16160117-16160130"	""	""	""
"z-dna"	"chr16:16190168-16190183"	""	""	""
"z-dna"	"chr16:16198767-16198786"	""	""	""
"z-dna"	"chr16:16226103-16226119"	""	""	""
"z-dna"	"chr16:16599703-16599724"	""	""	""
"z-dna"	"chr16:16599958-16599975"	""	""	""
"z-dna"	"chr16:16635885-16635898"	""	""	""
"z-dna"	"chr16:17070440-17070456"	""	""	""
"z-dna"	"chr16:17208844-17208866"	""	""	""
"z-dna"	"chr16:17209264-17209281"	""	""	""
"z-dna"	"chr16:17209514-17209533"	""	""	""
"z-dna"	"chr16:17210147-17210162"	""	""	""
"z-dna"	"chr16:17210200-17210219"	""	""	""
"z-dna"	"chr16:17331964-17331984"	""	"miR-210 (1)"	""
"z-dna"	"chr16:17332162-17332179"	""	"miR-210 (1)"	""
"z-dna"	"chr16:17560133-17560155"	""	""	""
"z-dna"	"chr16:17574080-17574093"	""	""	""
"z-dna"	"chr16:17576693-17576709"	""	""	""
"z-dna"	"chr16:17797196-17797217"	"miR-744 (1)"	""	""
"z-dna"	"chr16:17797341-17797375"	""	"miR-744 (1)"	""
"z-dna"	"chr16:17797514-17797529"	""	""	""
"z-dna"	"chr16:17797547-17797563"	""	""	""
"z-dna"	"chr16:17802551-17802568"	"miR-210 (1)"	""	""
"z-dna"	"chr16:17802778-17802791"	""	""	""
"z-dna"	"chr16:17802872-17802899"	""	""	""
"z-dna"	"chr16:17802947-17802962"	""	""	""
"z-dna"	"chr16:17803209-17803227"	""	""	""
"z-dna"	"chr16:17804170-17804183"	""	""	""
"z-dna"	"chr16:17804508-17804525"	""	""	""
"z-dna"	"chr16:17806920-17806940"	""	""	""
"z-dna"	"chr16:17807224-17807247"	""	""	""
"z-dna"	"chr16:17807285-17807300"	""	""	""
"z-dna"	"chr16:17815484-17815499"	""	""	""
"z-dna"	"chr16:17815511-17815530"	""	"miR-140 (1)"	""
"z-dna"	"chr16:17815677-17815694"	""	""	""
"z-dna"	"chr16:17815714-17815729"	""	""	""
"z-dna"	"chr16:17815817-17815847"	""	""	""
"z-dna"	"chr16:17833595-17833616"	""	""	""
"z-dna"	"chr16:17833788-17833810"	""	""	""
"z-dna"	"chr16:17833834-17833852"	""	""	""
"z-dna"	"chr16:17833948-17833966"	""	""	""
"z-dna"	"chr16:17914735-17914754"	""	""	""
"z-dna"	"chr16:17914789-17914802"	""	""	""
"z-dna"	"chr16:17992227-17992241"	"miR-455 (1)"	""	""
"z-dna"	"chr16:17995486-17995500"	"miR-455 (1)"	""	""
"z-dna"	"chr16:18088838-18088852"	""	""	""
"z-dna"	"chr16:18127299-18127315"	""	""	""
"z-dna"	"chr16:18127389-18127410"	""	""	""
"z-dna"	"chr16:18127522-18127543"	""	""	""
"z-dna"	"chr16:18127696-18127712"	""	""	""
"z-dna"	"chr16:18127807-18127837"	""	""	""
"z-dna"	"chr16:18128026-18128039"	""	""	""
"z-dna"	"chr16:18151355-18151372"	""	"miR-299 (1)"	""
"z-dna"	"chr16:18218740-18218764"	""	""	""
"z-dna"	"chr16:18229779-18229798"	""	""	""
"z-dna"	"chr16:18348441-18348454"	""	""	""
"z-dna"	"chr16:18392535-18392553"	""	"miR-423 (1)"	""
"z-dna"	"chr16:18392901-18392920"	""	""	""
"z-dna"	"chr16:18581792-18581807"	""	""	""
"z-dna"	"chr16:18581974-18581996"	""	""	""
"z-dna"	"chr16:18582105-18582140"	""	""	""
"z-dna"	"chr16:18582360-18582378"	""	""	""
"z-dna"	"chr16:18582671-18582688"	""	""	""
"z-dna"	"chr16:18586497-18586521"	""	"miR-339 (1)"	""
"z-dna"	"chr16:18586657-18586670"	""	""	""
"z-dna"	"chr16:18587004-18587022"	""	""	""
"z-dna"	"chr16:18588157-18588182"	""	""	""
"z-dna"	"chr16:18588865-18588893"	""	""	""
"z-dna"	"chr16:18591428-18591443"	""	""	""
"z-dna"	"chr16:18591664-18591677"	""	""	""
"z-dna"	"chr16:18591923-18591940"	""	""	""
"z-dna"	"chr16:18602283-18602300"	""	""	""
"z-dna"	"chr16:18620784-18620815"	""	"miR-485 (1)"	""
"z-dna"	"chr16:18620911-18620931"	""	""	""
"z-dna"	"chr16:18621006-18621021"	""	""	""
"z-dna"	"chr16:18626071-18626088"	"miR-329/362 (1)"	""	""
"z-dna"	"chr16:18629774-18629794"	""	""	""
"z-dna"	"chr16:18629876-18629900"	"miR-744 (1)"	""	""
"z-dna"	"chr16:18629965-18629988"	""	""	""
"z-dna"	"chr16:18629999-18630017"	""	""	""
"z-dna"	"chr16:18630089-18630102"	""	""	""
"z-dna"	"chr16:19070577-19070594"	""	""	""
"z-dna"	"chr16:19160984-19160999"	""	""	""
"z-dna"	"chr16:19377927-19377982"	""	"miR-210 (2)"	""
"z-dna"	"chr16:19550774-19550787"	""	""	""
"z-dna"	"chr16:19652420-19652435"	""	""	""
"z-dna"	"chr16:20241071-20241087"	""	""	""
"z-dna"	"chr16:20241134-20241154"	""	""	""
"z-dna"	"chr16:20241318-20241354"	""	""	""
"z-dna"	"chr16:20578680-20578697"	""	""	""
"z-dna"	"chr16:20590183-20590198"	""	""	""
"z-dna"	"chr16:20590929-20590948"	"miR-329/362 (1)"	""	""
"z-dna"	"chr16:20591308-20591324"	""	""	""
"z-dna"	"chr16:20629785-20629804"	""	""	""
"z-dna"	"chr16:20716059-20716078"	""	""	""
"z-dna"	"chr16:20716121-20716140"	""	""	""
"z-dna"	"chr16:20791335-20791408"	""	""	""
"z-dna"	"chr16:21042877-21042894"	""	""	""
"z-dna"	"chr16:21107449-21107466"	""	""	""
"z-dna"	"chr16:21211135-21211148"	""	""	""
"z-dna"	"chr16:21248522-21248535"	""	""	""
"z-dna"	"chr16:21248794-21248812"	""	""	""
"z-dna"	"chr16:21409689-21409713"	""	""	""
"z-dna"	"chr16:21409804-21409831"	""	""	""
"z-dna"	"chr16:21624962-21624990"	""	""	""
"z-dna"	"chr16:21658371-21658385"	"miR-455 (1)"	""	""
"z-dna"	"chr16:21694022-21694042"	""	""	""
"z-dna"	"chr16:21694692-21694720"	""	""	""
"z-dna"	"chr16:21694761-21694777"	""	""	""
"z-dna"	"chr16:21695191-21695238"	""	""	""
"z-dna"	"chr16:21807586-21807603"	""	""	""
"z-dna"	"chr16:22161872-22161891"	"miR-147 (1)"	""	""
"z-dna"	"chr16:22161899-22161921"	""	""	""
"z-dna"	"chr16:22161948-22161964"	""	""	""
"z-dna"	"chr16:22163045-22163062"	""	""	""
"z-dna"	"chr16:22163169-22163187"	""	""	""
"z-dna"	"chr16:22163224-22163253"	""	""	""
"z-dna"	"chr16:22163260-22163293"	""	""	""
"z-dna"	"chr16:22163299-22163312"	""	""	""
"z-dna"	"chr16:22163333-22163353"	""	""	""
"z-dna"	"chr16:22163397-22163410"	""	""	""
"z-dna"	"chr16:22163414-22163433"	""	""	""
"z-dna"	"chr16:22163452-22163467"	""	""	""
"z-dna"	"chr16:22280035-22280049"	"miR-455 (1)"	""	""
"z-dna"	"chr16:22488028-22488050"	"miR-210 (1)"	""	""
"z-dna"	"chr16:22488068-22488096"	""	""	""
"z-dna"	"chr16:22628135-22628173"	""	""	""
"z-dna"	"chr16:22657054-22657069"	""	""	""
"z-dna"	"chr16:22657281-22657316"	"miR-329/362 (1)"	""	""
"z-dna"	"chr16:22657327-22657340"	""	""	""
"z-dna"	"chr16:22657347-22657380"	""	""	""
"z-dna"	"chr16:22906027-22906073"	""	"miR-377 (1)"	""
"z-dna"	"chr16:22942117-22942171"	""	""	""
"z-dna"	"chr16:23431250-23431269"	""	""	""
"z-dna"	"chr16:23483143-23483216"	"miR-210 (1)"	"miR-377 (1)"	""
"z-dna"	"chr16:23727174-23727233"	"miR-342 (1), miR-377 (1)"	""	""
"z-dna"	"chr16:23727255-23727281"	"miR-342 (1), miR-377 (1)"	""	""
"z-dna"	"chr16:23727305-23727330"	"miR-342 (1), miR-377 (1)"	""	""
"z-dna"	"chr16:23727333-23727359"	"miR-329/362 (1), miR-342 (1), miR-377 (1)"	""	""
"z-dna"	"chr16:23727494-23727522"	""	""	""
"z-dna"	"chr16:23927602-23927623"	""	""	""
"z-dna"	"chr16:24296668-24296684"	""	""	""
"z-dna"	"chr16:24296687-24296726"	"miR-210 (1)"	""	""
"z-dna"	"chr16:24325544-24325562"	""	""	""
"z-dna"	"chr16:25215612-25215628"	""	""	""
"z-dna"	"chr16:25429390-25429411"	""	""	""
"z-dna"	"chr16:25574186-25574201"	""	"miR-455 (1)"	""
"z-dna"	"chr16:26105339-26105354"	""	""	""
"z-dna"	"chr16:26105416-26105429"	""	""	""
"z-dna"	"chr16:26105438-26105454"	""	""	""
"z-dna"	"chr16:26563288-26563305"	""	""	""
"z-dna"	"chr16:26565029-26565042"	""	""	""
"z-dna"	"chr16:26967963-26967981"	""	""	""
"z-dna"	"chr16:27143164-27143186"	""	""	""
"z-dna"	"chr16:27463891-27463908"	""	""	""
"z-dna"	"chr16:27464900-27464915"	""	""	""
"z-dna"	"chr16:27524231-27524249"	""	""	""
"z-dna"	"chr16:27922590-27922656"	""	""	""
"z-dna"	"chr16:28146819-28146833"	"miR-455 (1)"	""	""
"z-dna"	"chr16:28446264-28446277"	""	""	""
"z-dna"	"chr16:28446297-28446312"	""	""	""
"z-dna"	"chr16:28446549-28446569"	""	""	""
"z-dna"	"chr16:28446648-28446665"	""	""	""
"z-dna"	"chr16:28446699-28446716"	""	""	""
"z-dna"	"chr16:28462233-28462248"	"miR-187 (1), miR-346 (1)"	""	""
"z-dna"	"chr16:28525712-28525735"	"miR-329/362 (1)"	""	""
"z-dna"	"chr16:28525824-28525854"	""	""	""
"z-dna"	"chr16:28564468-28564511"	"miR-342 (1), miR-377 (1)"	""	""
"z-dna"	"chr16:28565018-28565036"	""	""	""
"z-dna"	"chr16:28575098-28575121"	""	""	""
"z-dna"	"chr16:28575136-28575163"	""	""	""
