Gene ID	Transcript ID	Gene Name	Gene Type	Flipon	Flipons per promoter
ENSMUSG00000081153.1	ENSMUST00000117212.1	Gm11401	processed_pseudogene	h-dna	1
ENSMUSG00000081085.1	ENSMUST00000119020.1	Gm13463	processed_pseudogene	sidd	1
ENSMUSG00000099521.1	ENSMUST00000136302.2	Gm28309	processed_transcript	g4	1
ENSMUSG00000081068.1	ENSMUST00000121030.1	Gm12804	processed_pseudogene	sidd	1
ENSMUSG00000081062.1	ENSMUST00000118445.1	Gm13640	processed_pseudogene	sidd	1
ENSMUSG00000081014.1	ENSMUST00000117313.1	Gm13714	processed_pseudogene	sidd	1
ENSMUSG00000081000.1	ENSMUST00000121698.1	Gm11200	processed_pseudogene	sidd	1
ENSMUSG00000080979.3	ENSMUST00000120616.1	Gm13675	processed_pseudogene	h-dna	1
ENSMUSG00000099560.1	ENSMUST00000187741.1	Mrgprx3-ps	unprocessed_pseudogene	sidd	1
ENSMUSG00000080941.1	ENSMUST00000119293.1	Gm16056	processed_pseudogene	sidd	1
ENSMUSG00000099591.1	ENSMUST00000185706.1	Gm17969	processed_pseudogene	g4	1
ENSMUSG00000080906.1	ENSMUST00000121962.1	Gm12095	processed_pseudogene	g4	1
ENSMUSG00000080868.1	ENSMUST00000119807.1	Gm15745	processed_pseudogene	sidd	1
ENSMUSG00000080860.1	ENSMUST00000119963.1	Gm13815	processed_pseudogene	g4	1
ENSMUSG00000099662.1	ENSMUST00000117103.1	Ppp1r2-ps2	processed_pseudogene	g4	1
ENSMUSG00000099875.1	ENSMUST00000121422.1	Rbm3-ps	processed_pseudogene	g4	1
ENSMUSG00000099969.1	ENSMUST00000190117.1	Gm28960	antisense	g4	1
ENSMUSG00000078627.9	ENSMUST00000049995.9	Marchf10	protein_coding	z-dna	1
ENSMUSG00000078954.9	ENSMUST00000006029.10	Arhgap8	protein_coding	g4	1
ENSMUSG00000079157.4	ENSMUST00000110969.4	Fam155a	protein_coding	h-dna	1
ENSMUSG00000079157.4	ENSMUST00000110969.4	Fam155a	protein_coding	z-dna	1
ENSMUSG00000079056.12	ENSMUST00000088538.5	Kcnip3	protein_coding	g4	1
ENSMUSG00000079045.3	ENSMUST00000110279.3	Prox1os	antisense	h-dna	1
ENSMUSG00000079022.10	ENSMUST00000159993.7	Col22a1	protein_coding	g4	1
ENSMUSG00000079017.3	ENSMUST00000055071.8	Ifi27l2a	protein_coding	sidd	1
ENSMUSG00000078954.9	ENSMUST00000172307.8	Arhgap8	protein_coding	g4	1
ENSMUSG00000078920.3	ENSMUST00000109202.2	Ifi47	protein_coding	sidd	1
ENSMUSG00000099969.1	ENSMUST00000190117.1	Gm28960	antisense	h-dna	1
ENSMUSG00000100253.1	ENSMUST00000188956.1	1700020N18Rik	lincRNA	g4	1
ENSMUSG00000078815.8	ENSMUST00000108647.2	Cacng6	protein_coding	z-dna	1
ENSMUSG00000100314.6	ENSMUST00000189116.1	1700010J16Rik	lincRNA	g4	1
ENSMUSG00000078796.4	ENSMUST00000209369.1	Zfp541	protein_coding	g4	1
ENSMUSG00000078706.4	ENSMUST00000150490.2	Gm53	lincRNA	h-dna	1
ENSMUSG00000100320.1	ENSMUST00000188160.1	Gm29417	antisense	sidd	1
ENSMUSG00000078670.3	ENSMUST00000107456.3	Fam174b	protein_coding	z-dna	1
ENSMUSG00000079177.4	ENSMUST00000111154.3	Fam228a	protein_coding	sidd	1
ENSMUSG00000079215.8	ENSMUST00000111417.8	Zfp664	protein_coding	g4	1
ENSMUSG00000079215.8	ENSMUST00000111417.8	Zfp664	protein_coding	z-dna	1
ENSMUSG00000100209.1	ENSMUST00000190845.1	Gm28793	antisense	z-dna	1
ENSMUSG00000079450.11	ENSMUST00000113348.7	Cldn34c1	protein_coding	z-dna	1
ENSMUSG00000079410.4	ENSMUST00000166494.1	Gm2897	protein_coding	g4	1
ENSMUSG00000079396.4	ENSMUST00000170104.2	Gm3411	protein_coding	g4	1
ENSMUSG00000079396.4	ENSMUST00000170104.2	Gm3411	protein_coding	z-dna	1
ENSMUSG00000079388.9	ENSMUST00000165466.7	2610042L04Rik	protein_coding	g4	1
ENSMUSG00000079330.9	ENSMUST00000188169.6	Lemd1	protein_coding	g4	1
ENSMUSG00000079330.9	ENSMUST00000188169.6	Lemd1	protein_coding	sidd	1
ENSMUSG00000100037.1	ENSMUST00000191034.1	Gm29103	processed_transcript	g4	1
ENSMUSG00000079324.11	ENSMUST00000128259.8	4932414N04Rik	protein_coding	sidd	1
ENSMUSG00000079277.9	ENSMUST00000111983.8	Hoxd3	protein_coding	h-dna	1
ENSMUSG00000079277.9	ENSMUST00000111982.7	Hoxd3	protein_coding	g4	1
ENSMUSG00000100096.1	ENSMUST00000185995.1	Gm28760	lincRNA	g4	1
ENSMUSG00000079259.2	ENSMUST00000111816.2	Trim71	protein_coding	h-dna	1
ENSMUSG00000100209.1	ENSMUST00000190845.1	Gm28793	antisense	sidd	1
ENSMUSG00000079259.2	ENSMUST00000111816.2	Trim71	protein_coding	g4	1
ENSMUSG00000075416.5	ENSMUST00000134755.1	Gm14488	processed_transcript	sidd	1
ENSMUSG00000075390.5	ENSMUST00000121187.1	Rpl36-ps8	processed_pseudogene	z-dna	1
ENSMUSG00000071856.10	ENSMUST00000089874.8	Mcc	protein_coding	g4	1
ENSMUSG00000073514.4	ENSMUST00000097495.4	Dok6	protein_coding	z-dna	1
ENSMUSG00000102757.1	ENSMUST00000195851.1	Gm2756	processed_pseudogene	sidd	1
ENSMUSG00000102759.1	ENSMUST00000195772.1	Gm10463	TEC	g4	1
ENSMUSG00000073716.6	ENSMUST00000094493.4	Gm13241	processed_pseudogene	g4	1
ENSMUSG00000073699.3	ENSMUST00000143133.1	Gm833	lincRNA	h-dna	1
ENSMUSG00000102763.1	ENSMUST00000194871.1	Gm37257	TEC	g4	1
ENSMUSG00000073608.4	ENSMUST00000097632.4	Gal3st2c	protein_coding	z-dna	1
ENSMUSG00000102766.1	ENSMUST00000193885.1	Gm6420	TEC	z-dna	1
ENSMUSG00000102774.1	ENSMUST00000194881.1	Gm9748	antisense	z-dna	1
ENSMUSG00000102701.1	ENSMUST00000191908.1	9430083B18Rik	TEC	sidd	1
ENSMUSG00000073458.2	ENSMUST00000080647.4	Smok2a	protein_coding	z-dna	1
ENSMUSG00000073433.11	ENSMUST00000121959.2	Arhgdig	protein_coding	sidd	1
ENSMUSG00000073418.4	ENSMUST00000069507.8	C4b	protein_coding	z-dna	1
ENSMUSG00000073406.10	ENSMUST00000173080.9	H2-Bl	polymorphic_pseudogene	g4	1
ENSMUSG00000073403.11	ENSMUST00000174778.7	Gm10499	transcribed_unprocessed_pseudogene	g4	1
ENSMUSG00000102803.1	ENSMUST00000195215.1	Gm37477	TEC	sidd	1
ENSMUSG00000102803.1	ENSMUST00000195215.1	Gm37477	TEC	z-dna	1
ENSMUSG00000102705.2	ENSMUST00000191824.2	4632432E15Rik	TEC	z-dna	1
ENSMUSG00000073731.12	ENSMUST00000140726.1	AI507597	antisense	g4	1
ENSMUSG00000101803.1	ENSMUST00000189108.1	Gm28419	processed_pseudogene	sidd	1
ENSMUSG00000074006.3	ENSMUST00000098281.3	Omp	protein_coding	g4	1
ENSMUSG00000074203.4	ENSMUST00000098571.4	G430095P16Rik	protein_coding	g4	1
ENSMUSG00000102627.1	ENSMUST00000194059.1	Snurf	protein_coding	g4	1
ENSMUSG00000074121.3	ENSMUST00000058879.7	Ntf5	protein_coding	z-dna	1
ENSMUSG00000102629.1	ENSMUST00000193554.1	Gm29999	processed_transcript	h-dna	1
ENSMUSG00000102636.1	ENSMUST00000195457.1	Gm31466	lincRNA	sidd	1
ENSMUSG00000102661.1	ENSMUST00000193363.1	Gm34816	lincRNA	sidd	1
ENSMUSG00000074093.4	ENSMUST00000098414.4	Svip	protein_coding	g4	1
ENSMUSG00000073988.13	ENSMUST00000117632.7	Ttpa	protein_coding	g4	1
ENSMUSG00000102692.1	ENSMUST00000191829.1	Dchs2	protein_coding	g4	1
ENSMUSG00000102673.1	ENSMUST00000194451.1	Gm37437	TEC	z-dna	1
ENSMUSG00000102684.1	ENSMUST00000194954.1	Gm37374	TEC	h-dna	1
ENSMUSG00000073987.4	ENSMUST00000098242.3	Ggh	protein_coding	g4	1
ENSMUSG00000073987.4	ENSMUST00000098242.3	Ggh	protein_coding	z-dna	1
ENSMUSG00000073894.1	ENSMUST00000098135.1	Rbmxl2	protein_coding	z-dna	1
ENSMUSG00000073805.5	ENSMUST00000171394.2	Insyn2a	protein_coding	h-dna	1
ENSMUSG00000073805.5	ENSMUST00000171394.2	Insyn2a	protein_coding	g4	1
ENSMUSG00000073402.11	ENSMUST00000097335.3	Gm8909	protein_coding	g4	1
ENSMUSG00000073402.11	ENSMUST00000097335.3	Gm8909	protein_coding	z-dna	1
ENSMUSG00000073208.12	ENSMUST00000179506.1	Speer4c	protein_coding	h-dna	1
ENSMUSG00000072214.7	ENSMUST00000096987.6	Septin5	protein_coding	g4	1
ENSMUSG00000102963.1	ENSMUST00000192536.1	Gm37945	TEC	sidd	1
ENSMUSG00000072591.10	ENSMUST00000134673.7	Fzd10os	lincRNA	g4	1
ENSMUSG00000102972.1	ENSMUST00000193104.1	Gm37348	processed_pseudogene	sidd	1
ENSMUSG00000072487.11	ENSMUST00000071419.11	Mroh5	protein_coding	sidd	1
ENSMUSG00000072214.7	ENSMUST00000231956.1	Septin5	protein_coding	g4	1
ENSMUSG00000102997.1	ENSMUST00000192482.1	Gm17244	TEC	z-dna	1
ENSMUSG00000103015.1	ENSMUST00000194096.1	Gm37549	TEC	sidd	1
ENSMUSG00000072214.7	ENSMUST00000096987.6	Septin5	protein_coding	z-dna	1
ENSMUSG00000073207.1	ENSMUST00000101588.1	Ccdc160	protein_coding	g4	1
ENSMUSG00000103015.1	ENSMUST00000194096.1	Gm37549	TEC	z-dna	1
ENSMUSG00000103053.1	ENSMUST00000192296.1	Gm38271	TEC	h-dna	1
ENSMUSG00000072188.4	ENSMUST00000096953.4	Gm10354	protein_coding	g4	1
ENSMUSG00000072188.4	ENSMUST00000096953.4	Gm10354	protein_coding	h-dna	1
ENSMUSG00000103125.1	ENSMUST00000193984.1	Gm37388	protein_coding	z-dna	1
ENSMUSG00000071984.11	ENSMUST00000239425.1	Fndc1	protein_coding	g4	1
ENSMUSG00000071984.11	ENSMUST00000239425.1	Fndc1	protein_coding	z-dna	1
ENSMUSG00000072723.12	ENSMUST00000238229.1	Gm10044	transcribed_unprocessed_pseudogene	g4	1
ENSMUSG00000102934.1	ENSMUST00000194653.1	Gm38117	TEC	z-dna	1
ENSMUSG00000072769.6	ENSMUST00000100944.6	Gm10419	lincRNA	z-dna	1
ENSMUSG00000072769.6	ENSMUST00000197854.1	Gm10419	lincRNA	z-dna	1
ENSMUSG00000073197.9	ENSMUST00000063216.5	5730507C01Rik	protein_coding	z-dna	1
ENSMUSG00000073179.3	ENSMUST00000084451.5	Gm10478	pseudogene	h-dna	1
ENSMUSG00000073164.11	ENSMUST00000149246.7	2410018L13Rik	lincRNA	z-dna	1
ENSMUSG00000073158.4	ENSMUST00000101538.4	9030624G23Rik	protein_coding	g4	1
ENSMUSG00000102884.1	ENSMUST00000192412.1	Gm37281	processed_pseudogene	sidd	1
ENSMUSG00000073158.4	ENSMUST00000101538.4	9030624G23Rik	protein_coding	z-dna	1
ENSMUSG00000102885.1	ENSMUST00000194583.1	Gm37280	lincRNA	sidd	1
ENSMUSG00000073119.3	ENSMUST00000079447.3	Speer4a	protein_coding	sidd	1
ENSMUSG00000073094.9	ENSMUST00000101433.8	Smim9	protein_coding	sidd	1
ENSMUSG00000072966.11	ENSMUST00000113136.7	Gprasp2	protein_coding	z-dna	1
ENSMUSG00000072962.3	ENSMUST00000197463.1	Gm16401	antisense	z-dna	1
ENSMUSG00000072952.7	ENSMUST00000203386.1	Gm5878	lincRNA	g4	1
ENSMUSG00000072952.7	ENSMUST00000203386.1	Gm5878	lincRNA	z-dna	1
ENSMUSG00000102900.1	ENSMUST00000192416.1	Gm37811	TEC	g4	1
ENSMUSG00000072769.6	ENSMUST00000198585.1	Gm10419	lincRNA	g4	1
ENSMUSG00000074217.8	ENSMUST00000190457.1	Misp3	protein_coding	h-dna	1
ENSMUSG00000074217.8	ENSMUST00000190457.1	Misp3	protein_coding	sidd	1
ENSMUSG00000074274.7	ENSMUST00000098678.7	D930028M14Rik	lincRNA	g4	1
ENSMUSG00000074987.9	ENSMUST00000172701.7	Wt1os	antisense	g4	1
ENSMUSG00000102062.1	ENSMUST00000189221.1	Gm29246	antisense	g4	1
ENSMUSG00000075249.12	ENSMUST00000143764.8	Fsip2	protein_coding	sidd	1
ENSMUSG00000075120.4	ENSMUST00000104892.1	Olfr1196	protein_coding	g4	1
ENSMUSG00000102082.1	ENSMUST00000191096.1	Gm28675	lincRNA	sidd	1
ENSMUSG00000075015.3	ENSMUST00000099684.3	Gm10801	protein_coding	z-dna	1
ENSMUSG00000102126.1	ENSMUST00000189462.1	Gm29143	processed_pseudogene	z-dna	1
ENSMUSG00000074991.5	ENSMUST00000114341.3	Gabrr3	protein_coding	h-dna	1
ENSMUSG00000074934.3	ENSMUST00000099575.3	Grem1	protein_coding	g4	1
ENSMUSG00000074793.10	ENSMUST00000099349.9	Hspa12b	protein_coding	g4	1
ENSMUSG00000074923.10	ENSMUST00000110853.7	Pak6	protein_coding	g4	1
ENSMUSG00000074918.4	ENSMUST00000149978.1	Inafm2	protein_coding	z-dna	1
ENSMUSG00000074912.10	ENSMUST00000156538.7	Gm14207	processed_transcript	g4	1
ENSMUSG00000102147.1	ENSMUST00000195353.1	Gm38055	TEC	h-dna	1
ENSMUSG00000102147.1	ENSMUST00000195353.1	Gm38055	TEC	z-dna	1
ENSMUSG00000074847.2	ENSMUST00000099425.2	Gm10775	protein_coding	z-dna	1
ENSMUSG00000074796.10	ENSMUST00000099362.10	Slc4a11	protein_coding	g4	1
ENSMUSG00000075284.10	ENSMUST00000094681.10	Wipf1	protein_coding	g4	1
ENSMUSG00000102062.1	ENSMUST00000189221.1	Gm29246	antisense	h-dna	1
ENSMUSG00000075297.10	ENSMUST00000105522.8	H60b	protein_coding	g4	1
ENSMUSG00000101995.1	ENSMUST00000188589.1	Gm29480	antisense	g4	1
ENSMUSG00000075389.3	ENSMUST00000155681.1	2810410L24Rik	processed_transcript	g4	1
ENSMUSG00000075389.3	ENSMUST00000155681.1	2810410L24Rik	processed_transcript	z-dna	1
ENSMUSG00000101817.1	ENSMUST00000191019.1	Gm28288	unprocessed_pseudogene	h-dna	1
ENSMUSG00000075334.2	ENSMUST00000100089.2	Rprm	protein_coding	g4	1
ENSMUSG00000075334.2	ENSMUST00000100089.2	Rprm	protein_coding	z-dna	1
ENSMUSG00000075324.13	ENSMUST00000131615.8	Fign	protein_coding	g4	1
ENSMUSG00000075316.11	ENSMUST00000164384.8	Scn9a	protein_coding	g4	1
ENSMUSG00000075316.11	ENSMUST00000100064.8	Scn9a	protein_coding	z-dna	1
ENSMUSG00000101838.6	ENSMUST00000188688.6	Gm18800	transcribed_unprocessed_pseudogene	sidd	1
ENSMUSG00000101840.1	ENSMUST00000191154.1	Gm28294	antisense	g4	1
ENSMUSG00000101840.1	ENSMUST00000191154.1	Gm28294	antisense	h-dna	1
ENSMUSG00000101841.1	ENSMUST00000121861.1	Gm11993	processed_pseudogene	z-dna	1
ENSMUSG00000075304.2	ENSMUST00000100043.2	Sp5	protein_coding	g4	1
ENSMUSG00000101849.1	ENSMUST00000189147.1	Gm28386	lincRNA	g4	1
ENSMUSG00000101965.1	ENSMUST00000191121.1	Gm29129	lincRNA	sidd	1
ENSMUSG00000074796.10	ENSMUST00000099362.10	Slc4a11	protein_coding	z-dna	1
ENSMUSG00000102213.1	ENSMUST00000191883.1	Gm37489	processed_pseudogene	sidd	1
ENSMUSG00000074345.4	ENSMUST00000098760.4	Tnfaip8l3	protein_coding	z-dna	1
ENSMUSG00000102493.1	ENSMUST00000194128.1	Gm8010	unprocessed_pseudogene	g4	1
ENSMUSG00000074505.6	ENSMUST00000217308.2	Fat3	protein_coding	g4	1
ENSMUSG00000102424.2	ENSMUST00000194826.2	Paupar	lincRNA	z-dna	1
ENSMUSG00000102442.1	ENSMUST00000191830.1	Gm37103	processed_pseudogene	sidd	1
ENSMUSG00000102463.1	ENSMUST00000194834.1	1700003N22Rik	processed_pseudogene	sidd	1
ENSMUSG00000074480.4	ENSMUST00000172699.1	Mex3a	protein_coding	g4	1
ENSMUSG00000102493.1	ENSMUST00000194128.1	Gm8010	unprocessed_pseudogene	z-dna	1
ENSMUSG00000074480.4	ENSMUST00000172699.1	Mex3a	protein_coding	h-dna	1
ENSMUSG00000074480.4	ENSMUST00000172699.1	Mex3a	protein_coding	z-dna	1
ENSMUSG00000074766.10	ENSMUST00000184404.7	Ism1	protein_coding	g4	1
ENSMUSG00000074466.12	ENSMUST00000126926.1	Gm15417	antisense	g4	1
ENSMUSG00000074461.2	ENSMUST00000098916.2	Gm10699	TEC	z-dna	1
ENSMUSG00000074377.12	ENSMUST00000108520.3	Sult2a4	protein_coding	sidd	1
ENSMUSG00000102536.1	ENSMUST00000194370.1	1700039I01Rik	TEC	g4	1
ENSMUSG00000074346.6	ENSMUST00000130683.1	Kcnd3os	antisense	g4	1
ENSMUSG00000074346.6	ENSMUST00000130683.1	Kcnd3os	antisense	z-dna	1
ENSMUSG00000102564.1	ENSMUST00000194809.1	Gm37035	antisense	z-dna	1
ENSMUSG00000074575.4	ENSMUST00000109191.1	Kcng1	protein_coding	g4	1
ENSMUSG00000074575.4	ENSMUST00000109191.1	Kcng1	protein_coding	z-dna	1
ENSMUSG00000102391.1	ENSMUST00000192256.1	Gm37578	TEC	g4	1
ENSMUSG00000074607.11	ENSMUST00000165937.7	Tox2	protein_coding	sidd	1
ENSMUSG00000074766.10	ENSMUST00000099307.3	Ism1	protein_coding	g4	1
ENSMUSG00000074739.2	ENSMUST00000099266.2	Gm10750	TEC	sidd	1
ENSMUSG00000074736.10	ENSMUST00000109934.1	Syndig1	protein_coding	z-dna	1
ENSMUSG00000074676.2	ENSMUST00000099200.2	Foxs1	protein_coding	z-dna	1
ENSMUSG00000074665.11	ENSMUST00000109759.8	Bpifb4	protein_coding	sidd	1
ENSMUSG00000102215.1	ENSMUST00000194841.1	Gm2464	lincRNA	h-dna	1
ENSMUSG00000074653.10	ENSMUST00000108263.1	Lrrc31	protein_coding	sidd	1
ENSMUSG00000102244.1	ENSMUST00000194742.1	Gm37714	TEC	sidd	1
ENSMUSG00000102260.1	ENSMUST00000191632.1	D330025C20Rik	TEC	g4	1
ENSMUSG00000074651.3	ENSMUST00000092089.5	Mcidas	protein_coding	z-dna	1
ENSMUSG00000074647.4	ENSMUST00000029143.6	Fam83c	protein_coding	z-dna	1
ENSMUSG00000102260.1	ENSMUST00000191632.1	D330025C20Rik	TEC	z-dna	1
ENSMUSG00000074622.4	ENSMUST00000099126.4	Mafb	protein_coding	z-dna	1
ENSMUSG00000102377.1	ENSMUST00000193668.1	Gm37974	antisense	z-dna	1
ENSMUSG00000074607.11	ENSMUST00000165937.7	Tox2	protein_coding	z-dna	1
ENSMUSG00000081179.1	ENSMUST00000121031.1	Gm13136	processed_pseudogene	z-dna	1
ENSMUSG00000000031.16	ENSMUST00000136359.7	H19	lincRNA	h-dna	1
ENSMUSG00000047794.6	ENSMUST00000217432.1	Olfr685	protein_coding	sidd	1
ENSMUSG00000024812.11	ENSMUST00000099558.4	Tjp2	protein_coding	z-dna	1
ENSMUSG00000024793.14	ENSMUST00000035275.7	Tnfrsf25	protein_coding	g4	1
ENSMUSG00000024769.7	ENSMUST00000025681.7	Cdc42bpg	protein_coding	z-dna	1
ENSMUSG00000024754.13	ENSMUST00000096194.8	Cemip2	protein_coding	z-dna	1
ENSMUSG00000024743.16	ENSMUST00000169121.8	Syt7	protein_coding	z-dna	1
ENSMUSG00000024743.16	ENSMUST00000073899.5	Syt7	protein_coding	z-dna	1
ENSMUSG00000024727.9	ENSMUST00000040489.8	Trpm6	protein_coding	z-dna	1
ENSMUSG00000024713.16	ENSMUST00000050715.9	Pcsk5	protein_coding	h-dna	1
ENSMUSG00000024664.5	ENSMUST00000237672.1	Fads3	protein_coding	g4	1
ENSMUSG00000024663.20	ENSMUST00000238672.1	Rab3il1	protein_coding	g4	1
ENSMUSG00000024663.20	ENSMUST00000117641.7	Rab3il1	protein_coding	g4	1
ENSMUSG00000024647.14	ENSMUST00000169470.1	Cbln2	protein_coding	z-dna	1
ENSMUSG00000024647.14	ENSMUST00000122464.7	Cbln2	protein_coding	g4	1
ENSMUSG00000024619.8	ENSMUST00000025521.8	Cdx1	protein_coding	z-dna	1
ENSMUSG00000024598.9	ENSMUST00000025497.7	Fbn2	protein_coding	g4	1
ENSMUSG00000024598.9	ENSMUST00000025497.7	Fbn2	protein_coding	z-dna	1
ENSMUSG00000024593.15	ENSMUST00000075770.12	Megf10	protein_coding	z-dna	1
ENSMUSG00000024589.18	ENSMUST00000235743.1	Nedd4l	protein_coding	z-dna	1
ENSMUSG00000024565.10	ENSMUST00000238808.1	Sall3	protein_coding	g4	1
ENSMUSG00000024565.10	ENSMUST00000057950.8	Sall3	protein_coding	z-dna	1
ENSMUSG00000024793.14	ENSMUST00000035275.7	Tnfrsf25	protein_coding	z-dna	1
ENSMUSG00000024851.14	ENSMUST00000100022.3	Pitpnm1	protein_coding	z-dna	1
ENSMUSG00000024544.9	ENSMUST00000063775.4	Ldlrad4	protein_coding	g4	1
ENSMUSG00000024901.15	ENSMUST00000025834.14	Peli3	protein_coding	g4	1
ENSMUSG00000025089.15	ENSMUST00000026076.13	Gfra1	protein_coding	sidd	1
ENSMUSG00000025085.16	ENSMUST00000111544.7	Ablim1	protein_coding	z-dna	1
ENSMUSG00000025085.16	ENSMUST00000111524.7	Ablim1	protein_coding	g4	1
ENSMUSG00000025082.8	ENSMUST00000026068.7	Vwa2	protein_coding	g4	1
ENSMUSG00000025040.13	ENSMUST00000026016.12	Fundc1	protein_coding	sidd	1
ENSMUSG00000025020.11	ENSMUST00000025993.9	Slit1	protein_coding	g4	1
ENSMUSG00000025020.11	ENSMUST00000025993.9	Slit1	protein_coding	z-dna	1
ENSMUSG00000024998.17	ENSMUST00000182481.7	Plce1	protein_coding	z-dna	1
ENSMUSG00000024990.13	ENSMUST00000112335.3	Rbp4	protein_coding	g4	1
ENSMUSG00000024990.13	ENSMUST00000112335.3	Rbp4	protein_coding	z-dna	1
ENSMUSG00000024987.6	ENSMUST00000025946.6	Cyp26a1	protein_coding	z-dna	1
ENSMUSG00000024957.9	ENSMUST00000025908.7	Kcnk4	protein_coding	z-dna	1
ENSMUSG00000024940.11	ENSMUST00000081496.5	Ltbp3	protein_coding	g4	1
ENSMUSG00000024935.11	ENSMUST00000025875.4	Slc1a1	protein_coding	z-dna	1
ENSMUSG00000024922.2	ENSMUST00000025861.2	Ovol1	protein_coding	z-dna	1
ENSMUSG00000024913.16	ENSMUST00000025856.16	Lrp5	protein_coding	z-dna	1
ENSMUSG00000024909.15	ENSMUST00000236518.1	Efemp2	protein_coding	g4	1
ENSMUSG00000024909.15	ENSMUST00000070118.13	Efemp2	protein_coding	z-dna	1
ENSMUSG00000024907.7	ENSMUST00000237521.1	Gal	protein_coding	g4	1
ENSMUSG00000024558.12	ENSMUST00000091851.9	Mapk4	protein_coding	g4	1
ENSMUSG00000024544.9	ENSMUST00000063775.4	Ldlrad4	protein_coding	z-dna	1
ENSMUSG00000025089.15	ENSMUST00000169850.7	Gfra1	protein_coding	z-dna	1
ENSMUSG00000024347.16	ENSMUST00000115716.8	Psd2	protein_coding	g4	1
ENSMUSG00000024268.16	ENSMUST00000225477.1	Celf4	protein_coding	g4	1
ENSMUSG00000024268.16	ENSMUST00000225477.1	Celf4	protein_coding	z-dna	1
ENSMUSG00000024268.16	ENSMUST00000223704.1	Celf4	protein_coding	h-dna	1
ENSMUSG00000024268.16	ENSMUST00000115816.2	Celf4	protein_coding	h-dna	1
ENSMUSG00000024266.8	ENSMUST00000098361.3	Adad2	protein_coding	g4	1
ENSMUSG00000024254.15	ENSMUST00000170725.7	Abcg8	protein_coding	h-dna	1
ENSMUSG00000024247.14	ENSMUST00000170794.7	Pkdcc	protein_coding	z-dna	1
ENSMUSG00000024242.15	ENSMUST00000234133.1	Map4k3	protein_coding	g4	1
ENSMUSG00000024233.10	ENSMUST00000025076.9	Lyzl1	protein_coding	sidd	1
ENSMUSG00000024232.2	ENSMUST00000025075.2	Bambi	protein_coding	z-dna	1
ENSMUSG00000024219.16	ENSMUST00000139173.2	Anks1	protein_coding	sidd	1
ENSMUSG00000024186.15	ENSMUST00000122058.7	Rgs11	protein_coding	g4	1
ENSMUSG00000024186.15	ENSMUST00000025020.5	Rgs11	protein_coding	g4	1
ENSMUSG00000024176.10	ENSMUST00000025003.9	Sox8	protein_coding	z-dna	1
ENSMUSG00000024172.10	ENSMUST00000025000.3	St6gal2	protein_coding	g4	1
ENSMUSG00000024116.6	ENSMUST00000024928.3	Prss21	protein_coding	z-dna	1
ENSMUSG00000024112.16	ENSMUST00000159610.7	Cacna1h	protein_coding	z-dna	1
ENSMUSG00000024112.16	ENSMUST00000078496.11	Cacna1h	protein_coding	g4	1
ENSMUSG00000024109.18	ENSMUST00000174331.7	Nrxn1	protein_coding	z-dna	1
ENSMUSG00000024331.11	ENSMUST00000075214.8	Dsc2	protein_coding	g4	1
ENSMUSG00000024347.16	ENSMUST00000175734.1	Psd2	protein_coding	g4	1
ENSMUSG00000024538.8	ENSMUST00000025419.8	Ppic	protein_coding	z-dna	1
ENSMUSG00000024347.16	ENSMUST00000176873.7	Psd2	protein_coding	g4	1
ENSMUSG00000024535.16	ENSMUST00000165032.8	Snx24	protein_coding	z-dna	1
ENSMUSG00000024535.16	ENSMUST00000025417.8	Snx24	protein_coding	g4	1
ENSMUSG00000024535.16	ENSMUST00000025417.8	Snx24	protein_coding	sidd	1
ENSMUSG00000024535.16	ENSMUST00000025417.8	Snx24	protein_coding	z-dna	1
ENSMUSG00000024534.15	ENSMUST00000178011.7	Sncaip	protein_coding	g4	1
ENSMUSG00000024534.15	ENSMUST00000163742.8	Sncaip	protein_coding	h-dna	1
ENSMUSG00000024533.17	ENSMUST00000115050.9	Spire1	protein_coding	g4	1
ENSMUSG00000024530.8	ENSMUST00000025411.8	Prelid3a	protein_coding	g4	1
ENSMUSG00000024529.14	ENSMUST00000025409.8	Lox	protein_coding	g4	1
ENSMUSG00000024524.17	ENSMUST00000236551.1	Gnal	protein_coding	g4	1
ENSMUSG00000024511.15	ENSMUST00000117692.7	Rab27b	protein_coding	g4	1
ENSMUSG00000024501.20	ENSMUST00000025379.13	Dpysl3	protein_coding	z-dna	1
ENSMUSG00000024497.4	ENSMUST00000237247.1	Pou4f3	protein_coding	z-dna	1
ENSMUSG00000024497.4	ENSMUST00000025374.3	Pou4f3	protein_coding	z-dna	1
ENSMUSG00000024486.6	ENSMUST00000025363.6	Hbegf	protein_coding	z-dna	1
ENSMUSG00000024451.9	ENSMUST00000042944.8	Arap3	protein_coding	g4	1
ENSMUSG00000024420.9	ENSMUST00000234410.1	Zfp521	protein_coding	sidd	1
ENSMUSG00000024420.9	ENSMUST00000025288.8	Zfp521	protein_coding	g4	1
ENSMUSG00000024406.16	ENSMUST00000025271.16	Pou5f1	protein_coding	g4	1
ENSMUSG00000025089.15	ENSMUST00000129100.7	Gfra1	protein_coding	g4	1
ENSMUSG00000025090.9	ENSMUST00000069419.7	Ccdc172	protein_coding	g4	1
ENSMUSG00000022199.12	ENSMUST00000228495.2	Slc22a17	protein_coding	g4	1
ENSMUSG00000025964.15	ENSMUST00000087374.9	Adam23	protein_coding	g4	1
